index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),122387,123022,142335,150178,132879,131955,136008,124563,133609,136881,134658,127673,0,130807,147424,138034,0
Zysk (strata) z dzialal. oper. (tys. zl),12016,12845,13338,11770,12664,15175,13447,12275,15826,18993,30665,14369,0,19347,13652,11600,0
Zysk (strata) brutto (tys. zl),10241,11689,12074,11826,12374,14646,12330,11756,15786,19153,30395,13895,0,18857,13334,11145,0
Zysk (strata) netto (tys. zl),8473,9262,9294,9330,9635,11514,9626,9057,12380,15088,27011,10913,0,14852,10333,6429,0
Amortyzacja (tys. zl),30447,30525,29788,31060,28546,27571,29030,30465,31209,29765,28922,29602,0,29457,29680,34529,0
EBITDA (tys. zl),42463,43370,43126,42830,41210,42746,42477,42740,47035,48758,59587,43971,0,48804,43332,46129,0
Aktywa (tys. zl),1417081,1501204,1603056,1656158,1171116,1195572,1255445,1324315,1082239,1072946,1070635,1104539,1089579,1093817,1122708,1064130,1081186
Kapital wlasny (tys. zl),474726,483988,427784,437114,498696,510210,457196,466253,462102,477190,478147,489061,422608,437461,443293,449722,392562
Liczba akcji (tys. szt.),"11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840","11908,840"
Zysk na akcje (zl),"0,711","0,778","0,780","0,783","0,809","0,967","0,808","0,761","1,040","1,267","2,268","0,916","0,000","1,247","0,868","0,540","0,000"
Wartosc ksiegowa na akcje (zl),"39,863","40,641","35,922","36,705","41,876","42,843","38,391","39,152","38,803","40,070","40,151","41,067","35,487","36,734","37,224","37,764","32,964"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
