index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),35300,37313,49182,43427,33795,30448,39379,36426,33272,25524,29574,27603,38414,26722,32042,27513,32686,29161,29831,30706,30336,21312,-10574,21449,19513,18617,22949,22008,22156,24940,24094,19740,27256,24814,25704,19895,49394,41481,27659,21514,42392,39609,51585,47758,37872,34062,51022,47748,57241,46927,51534,42513,53741,36054,51747,58592,45103,38257,52589,56030,45846,36125,48740,47646,0,29595,37168,36233,46551,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),3267,3850,3362,6328,3553,2807,764,1769,2694,736,20,927,2390,640,191,-1097,2198,1902,44,548,5681,2435,4635,2565,-1898,-1197,-2482,416,-2130,-176,-1565,-2592,2059,595,-628,-2053,5652,3298,-4330,242,-349,2034,2878,517,2319,1906,5598,3818,2227,5662,3472,3112,3906,-983,3377,3467,-3432,-852,2309,2869,6892,198,-1493,-561,0,1188,2358,1801,2234,0,0,0
Zysk (strata) brutto (tys. zl),3182,3430,3201,5729,3048,2315,339,1307,2231,698,-171,902,1880,345,7,-1260,1882,1246,-284,40,5500,2023,4372,2707,-2420,-1758,-707,-1679,375,257,-3437,-4190,2463,392,-1294,-1488,4801,2741,73809,1647,-831,1567,2729,-3,1302,1453,4929,2766,1393,4962,2749,2125,-185,-1598,3215,2894,-5683,-2041,929,2049,5278,-667,-2762,-3020,0,686,1670,1400,898,0,0,0
Zysk (strata) netto (tys. zl),2606,2662,2517,4413,2523,1794,100,788,1624,527,-119,442,1324,283,-118,-1135,996,865,-114,-180,5216,1979,3405,2214,-2645,-1415,-884,-1406,540,329,-3134,-3992,1706,327,-1055,-1612,4305,2042,57406,1247,-854,1464,2319,-468,264,-783,4559,1349,161,3776,2506,2074,-1379,-1810,2567,2617,-5819,-2064,763,2120,3702,-821,-3037,-2988,0,708,1605,843,-50,0,0,0
Amortyzacja (tys. zl),1669,2226,1583,1649,1274,1684,1616,1412,1831,1560,1649,1694,1983,1807,1795,1758,1978,1788,1694,1864,1664,1690,1705,1945,1771,1661,1657,1662,1719,1607,1768,1719,1619,1627,1632,1624,3226,3062,2061,1591,2530,2751,2558,3084,3348,2413,3014,2765,3531,2336,2084,2414,1962,2066,2624,2110,2629,2133,2518,2289,408,3641,1419,2625,0,1582,2974,2728,1,0,0,0
EBITDA (tys. zl),4936,6076,4945,7977,4827,4491,2380,3181,4525,2296,1669,2621,4373,2447,1986,661,4176,3690,1738,2412,7345,4125,6340,4510,-127,464,-825,2078,-411,1431,203,-873,3678,2222,1004,-429,8878,6360,-2269,1833,2181,4785,5436,3601,5667,4319,8612,6583,5758,7998,5556,5526,5868,1083,6001,5577,-803,1281,4827,5158,7300,3839,-74,2064,0,2770,5332,4529,2235,0,0,0
Aktywa (tys. zl),220888,189889,174233,194307,188084,171445,171569,174256,154582,148997,138965,158725,159438,143373,129929,132119,156607,138302,127471,139523,126434,129126,123375,0,139751,129576,123123,0,149324,139236,129847,0,171630,149642,127440,0,219206,211243,237203,0,203350,194280,196668,0,213244,195617,199021,0,154379,200925,193086,0,139670,130382,129952,143215,136946,129419,129510,137557,130135,141953,138355,140883,98205,96982,97376,110219,159867,100081,113073,97408
Kapital wlasny (tys. zl),109136,111809,114223,118636,103867,105650,105790,106578,92942,101984,101657,102126,92343,92626,92439,91318,90362,91227,91198,91019,81690,84965,87074,0,80179,78764,77880,0,89621,89950,86816,0,88847,83680,78608,0,121356,123398,180804,0,113736,115200,117519,0,106937,107720,111918,0,62670,106252,105366,0,59152,57342,59871,62488,59712,57649,58411,60531,70868,69737,66700,63613,63728,64811,66323,67260,67040,63787,65578,66290
Liczba akcji (tys. szt.),"95000,000","95000,000","95000,000","95000,000","95000,000","95000,000","95000,000","95000,000","83000,000","95000,000","95000,000","95000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","83000,000","117000,000","117000,000","117000,000","83000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","117000,000","1170,000","117000,000","117000,000","117000,000"
Zysk na akcje (zl),"0,027","0,028","0,026","0,046","0,027","0,019","0,001","0,008","0,020","0,006","-0,001","0,005","0,016","0,003","-0,001","-0,014","0,012","0,010","-0,001","-0,002","0,063","0,024","0,041","0,027","-0,032","-0,017","-0,011","-0,017","0,007","0,004","-0,038","-0,048","0,015","0,003","-0,009","-0,019","0,037","0,017","0,491","0,011","-0,007","0,013","0,020","-0,004","0,002","-0,007","0,039","0,012","0,001","0,032","0,021","0,018","-0,012","-0,015","0,022","0,022","-0,050","-0,018","0,007","0,018","0,032","-0,007","-0,026","-0,026","0,000","0,006","0,014","0,007","-0,043","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,149","1,177","1,202","1,249","1,093","1,112","1,114","1,122","1,120","1,074","1,070","1,075","1,113","1,116","1,114","1,100","1,089","1,099","1,099","1,097","0,984","1,024","1,049","0,000","0,966","0,949","0,938","0,000","1,080","1,084","1,046","0,000","0,759","0,715","0,672","0,000","1,037","1,055","1,545","0,000","0,972","0,985","1,004","0,000","0,914","0,921","0,957","0,000","0,536","0,908","0,901","0,000","0,506","0,490","0,512","0,534","0,510","0,493","0,499","0,517","0,606","0,596","0,570","0,544","0,545","0,554","0,567","0,575","57,299","0,545","0,560","0,567"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
