index,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005, Q 0000,I Q 2004,II Q 2004,III Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),23699,23047,25636,21221,19469,21814,25737,30962,25582,16680,19253,24450,17337,14784,21067,24102,17337,24065,0,24065
Zysk (strata) z dzialal. oper. (tys. zl),-2700,1634,-7716,-92,-1090,-642,-427,3443,4892,3058,3594,4044,2845,2770,4568,5122,2845,4937,0,4937
Zysk (strata) brutto (tys. zl),-3788,508,-9369,-1200,-1405,-1501,-1373,2591,5286,3086,3813,2803,3221,3482,5329,5633,3221,5431,0,5431
Zysk (strata) netto (tys. zl),-3978,507,-8260,-1271,-843,-1516,-1519,2798,4584,2289,3102,1812,2573,2666,4284,4506,2573,4355,0,4355
Amortyzacja (tys. zl),2161,2167,2143,2288,2582,2050,2107,2085,1051,875,958,921,884,1015,1050,1022,1,870,0,870
EBITDA (tys. zl),-539,3801,-5573,2196,1492,1408,1680,5528,5943,3933,4552,4965,3729,3785,5618,6144,2846,5807,0,5807
Aktywa (tys. zl),214465,217423,212419,0,227744,227700,223828,0,166886,192811,210143,0,134860,135414,143874,0,134860,91968,87573,0
Kapital wlasny (tys. zl),125352,126518,117761,0,130834,129770,130982,0,131160,134159,133048,0,118513,121386,122314,0,118513,70040,65750,0
Liczba akcji (tys. szt.),"7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","7595,000","75950,000","64664,226","6466,423","6466,423"
Zysk na akcje (zl),"-0,524","0,067","-1,088","-0,167","-0,111","-0,200","-0,200","0,368","0,604","0,301","0,408","0,239","0,339","0,351","0,564","0,593","0,034","0,067","0,000","0,673"
Wartosc ksiegowa na akcje (zl),"16,505","16,658","15,505","0,000","17,226","17,086","17,246","0,000","17,269","17,664","17,518","0,000","15,604","15,982","16,105","0,000","1,560","1,083","10,168","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
