index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000,IV Q 1998,I Q 1999,II Q 1999,III Q 1999, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),699739,641952,629974,769134,670444,511049,607141,730646,639799,327149,641604,463000,955578,532566,606622,583765,1109894,903015,1219557,1032267,1186169,879709,1226141,1361994,1313527,771820,1034332,1172498,1218480,831629,1093590,1158031,1272241,918985,1078173,1085498,883823,665728,847741,934776,524806,416332,522005,661245,514500,379256,468231,477610,161739,135823,184529,417843,142436,99820,135914,167468,111017,113246,131157,157949,143720,115291,125921,113710,89771,103520,137312,160152,0,72344,91484,99646,523835,0
Zysk (strata) z dzialal. oper. (tys. zl),-1862,37558,-80974,18956,-180725,17487,41234,62492,-96270,-25023,-67244,-122760,-702131,32603,-77631,-32309,-233271,-166060,-6790,-310122,90312,29994,35878,14831,74146,31871,50348,46435,55393,57536,65810,67443,48727,59701,48992,64058,15186,44503,36362,30802,381,27070,30660,25581,1067881,16675,27439,28718,517,6963,14916,36809,-1525,8149,8340,18818,-10827,5808,7184,10420,-4601,1467,3738,6563,2846,6107,10544,13031,0,9168,10522,14801,-3169,0
Zysk (strata) brutto (tys. zl),-6411,29145,-85128,11583,-186904,10229,27942,57790,-113157,-27327,-75781,111344,-751630,-14255,-88709,-43397,-254173,-200967,-24523,-344471,67897,20335,15386,21861,57359,21672,41571,28731,25766,51250,55468,51550,43642,46325,39171,47645,14107,42961,34047,28768,5161,23949,27841,25519,1077549,13463,26431,19659,-743,6020,15663,31104,-3762,5872,7501,15574,-28265,4436,4238,8686,-4911,698,-1796,5213,1637,4321,7951,10654,0,7586,9891,11829,5066,0
Zysk (strata) netto (tys. zl),-5540,26308,-78971,6846,-184008,9887,27651,37638,-121247,-39244,-45347,115373,-760185,-23493,-72689,-44444,-174374,-152517,-40516,-289333,52702,12453,13315,14986,50469,16823,25881,17312,28120,34198,37938,33797,24909,29763,28924,33327,10275,27886,25639,21639,7169,14573,19679,18110,4796,8822,16645,10157,-3694,3375,11528,21782,-4472,5538,2987,9185,-20682,2839,1841,5722,-2998,-46,-4694,3488,1064,3127,4370,6658,0,4730,5272,6667,6947,0
Amortyzacja (tys. zl),4198,8485,8202,7844,9786,4897,13978,8479,16022,15193,15276,11812,25363,19469,16366,16657,20560,24486,25296,24201,15297,23746,24647,24098,20563,25858,22555,23995,18331,19428,21007,20970,12844,15708,18251,18100,10083,9646,10310,12248,7049,6671,6954,7521,5189,7528,5709,7745,5233,4185,4308,8874,5230,4084,4715,6429,3566,3818,3807,3941,2378,3362,3386,3162,3031,3837,3031,4681,0,2031,2115,2346,1,0
EBITDA (tys. zl),2336,46043,-72772,26800,-170939,22384,55212,70971,-80248,-9830,-51968,-110948,-676768,52072,-61265,-15652,-212711,-141574,18506,-285921,105609,53740,60525,38929,94709,57729,72903,70430,73724,76964,86817,88413,61571,75409,67243,82158,25269,54149,46672,43050,7430,33741,37614,33102,1073070,24203,33148,36463,5750,11148,19224,45683,3705,12233,13055,25247,-7261,9626,10991,14361,-2223,4829,7124,9725,5877,9944,13575,17712,0,11199,12637,17147,-3168,0
Aktywa (tys. zl),2727789,2648169,2720296,2657255,2691597,2658619,2690695,2802448,3143176,3312436,3485091,2800216,3850403,3307367,3270545,3432584,4480677,4370635,4375308,0,3923518,3874842,4262347,0,3807342,3470861,3844030,0,3416202,3620682,3876388,0,2799311,3052582,3124402,0,1631752,2233914,2276350,0,1106080,1081020,1229253,0,1080349,1105924,0,0,340382,350591,0,1057994,318883,315476,352874,332863,305599,307268,322679,337900,317043,313146,318840,324333,239706,292268,308893,343226,172999,183244,204662,227786,1046426,158093
Kapital wlasny (tys. zl),541512,566807,488802,496313,431558,438148,473599,510861,363202,317935,266660,611380,477288,505472,433506,386849,1299811,1544994,1138409,0,1449011,1460442,1449782,0,1222296,1249142,1269358,0,1033321,1051712,1141533,0,972981,1013908,1030220,0,354867,846909,924122,0,293149,317357,323377,0,252640,280837,0,0,110640,118960,0,171712,101397,106934,107522,116707,93570,102987,99410,105159,132810,131285,121930,114941,123889,129118,129497,140533,64910,69673,75807,83122,216039,52329
Liczba akcji (tys. szt.),"86618,802","86618,802","86618,802","86618,802","86618,803","86618,803","86618,803","86618,802","29347,366","29347,366","29347,366","29347,366","10423,082","26679,492","26679,492","26679,492","10423,082","10423,082","10423,082","10423,082","10418,364","10423,082","10423,082","10423,082","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","9287,113","7624,246","8140,698","9287,113","9287,113","7624,246","7624,246","7624,246","7624,246","9274,317","9274,317","7624,246","7624,246","4800,000","4800,000","4800,000","9274,317","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","4800,000","18548,633","4800,000"
Zysk na akcje (zl),"-0,064","0,304","-0,912","0,079","-2,124","0,114","0,319","0,435","-4,131","-1,337","-1,545","3,931","-72,933","-0,881","-2,725","-1,666","-16,730","-14,633","-3,887","-27,759","5,059","1,195","1,277","1,438","5,434","1,811","2,787","1,864","3,028","3,682","4,085","3,639","2,682","3,205","3,114","3,589","1,348","3,426","2,761","2,330","0,940","1,911","2,581","2,375","0,517","0,951","2,183","1,332","-0,770","0,703","2,402","2,349","-0,932","1,154","0,622","1,914","-4,309","0,591","0,384","1,192","-0,625","-0,010","-0,978","0,727","0,222","0,651","0,910","1,387","0,000","0,985","1,098","1,389","0,375","0,000"
Wartosc ksiegowa na akcje (zl),"6,252","6,544","5,643","5,730","4,982","5,058","5,468","5,898","12,376","10,834","9,086","20,833","45,791","18,946","16,249","14,500","124,705","148,228","109,220","0,000","139,082","140,116","139,093","0,000","131,612","134,503","136,680","0,000","111,264","113,244","122,916","0,000","104,767","109,174","110,930","0,000","46,545","104,034","99,506","0,000","38,450","41,625","42,414","0,000","27,241","30,281","0,000","0,000","23,050","24,783","0,000","18,515","21,124","22,278","22,400","24,314","19,494","21,456","20,710","21,908","27,669","27,351","25,402","23,946","25,810","26,900","26,979","29,278","13,523","14,515","15,793","17,317","11,647","10,902"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
