index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),57441,42844,42164,38781,80969,41116,49765,76737,39243,33167,45310,45596,23774,17489,29342,67300,36241,19611,25842,23997,29840,12980,22896,21564
Zysk (strata) z dzialal. oper. (tys. zl),273,3908,2743,2447,5083,4023,5200,6029,3834,3815,4019,3567,3167,1692,3267,6558,2324,1939,2948,1777,2233,1692,3648,3324
Zysk (strata) brutto (tys. zl),-528,3012,1726,1629,4511,3713,4151,5104,3087,3185,3538,3163,2855,1429,2983,6255,2347,1898,2512,1437,2259,1688,3483,2946
Zysk (strata) netto (tys. zl),280,2475,1592,1756,4200,2951,3102,3770,1968,2821,3048,3142,1966,1714,2520,4795,2502,1503,2374,1842,1894,1350,2818,2301
Amortyzacja (tys. zl),970,1065,1126,1158,1015,1102,319,892,879,991,1013,811,678,650,728,896,747,773,671,683,461,559,739,754
EBITDA (tys. zl),1243,4973,3869,3605,6098,5125,5519,6921,4713,4806,5032,4378,3845,2342,3995,7454,3071,2712,3619,2460,2694,2251,4387,4078
Aktywa (tys. zl),317705,317171,322774,328993,283541,313004,326859,337731,237886,227691,252546,264384,190982,195653,209781,220922,192953,184394,195971,195017,159475,160878,168429,0
Kapital wlasny (tys. zl),160550,163025,164020,165776,151065,158017,160416,164889,143702,146531,149580,152722,119461,121175,123695,141408,117570,118966,119490,121277,109043,110285,98015,0
Liczba akcji (tys. szt.),"26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","26774,179","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845","23377,845"
Zysk na akcje (zl),"0,010","0,092","0,059","0,066","0,157","0,110","0,116","0,141","0,074","0,105","0,114","0,117","0,084","0,073","0,108","0,205","0,107","0,064","0,102","0,079","0,081","0,058","0,121","0,098"
Wartosc ksiegowa na akcje (zl),"5,996","6,089","6,126","6,192","5,642","5,902","5,991","6,159","5,367","5,473","5,587","5,704","5,110","5,183","5,291","6,049","5,029","5,089","5,111","5,188","4,664","4,718","4,193","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
