index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),93106,36826,42902,48172,62585,27079,57235,89023,38445,32092,34614,46757,26318,27997,34112,39935,69467,35916,41017,33720,38443,24333,34182,50441,29849,22726,28738,29134,102982,64800,42077,33862,82742,80002,81387,100884,65021,60392,45968,48635,126778,54023,48786,84591,103594,120732,159202,191150,23011,16427,32028,66475,27860,24026,20451,16507,14605,6879,14117,17739,0,17381,18106,12321,0,0,0,0,102736,0
Zysk (strata) z dzialal. oper. (tys. zl),4395,1228,-23080,-398,-70,639,1963,2555,-4683,949,2628,2365,-949,458,1698,1790,5294,23,-2330,641,1468,-1041,653,2667,1387,194,1402,2097,3339,384,1296,393,9363,5688,5106,5244,2731,3639,2123,2037,1084,3557,2161,3922,4086,4998,4541,25489,1233,1754,2317,4217,1468,1098,219,660,-1324,-135,981,1173,0,437,-574,-330,0,0,0,0,4465,0
Zysk (strata) brutto (tys. zl),2041,1179,-25170,-176,301,1495,1115,2056,-3480,902,2336,1424,-1784,258,1474,997,5392,1215,-2243,288,1599,764,-1200,2606,1259,404,987,1835,4698,1477,501,-201,7848,5591,4937,5516,2116,4469,4505,3262,1847,4429,3006,3327,6513,4217,4006,21053,898,649,1909,7292,2856,-387,413,408,-1382,-18,1056,124,0,408,1708,-98,0,0,0,0,7474,0
Zysk (strata) netto (tys. zl),1222,925,-22794,697,139,856,97,2257,-2271,343,2031,1238,-1626,224,1118,895,3990,438,-3014,247,1723,637,-1630,1985,-1846,162,532,1425,2557,658,-658,276,3467,3655,3254,1948,1349,3040,3166,2700,2680,3503,2277,2477,5719,3006,3775,16553,1188,412,1882,4982,2255,-287,808,63,-694,-51,634,157,0,180,1497,19,0,0,0,0,5844,0
Amortyzacja (tys. zl),656,569,635,540,578,589,615,580,594,599,582,577,536,576,581,588,758,642,586,538,976,796,823,630,1111,1081,1054,975,1212,1198,1172,1076,1002,1114,1204,1269,1130,721,1076,913,725,750,758,1150,1523,1432,1624,928,1215,1397,1281,1434,1181,1229,1218,1212,297,569,834,1264,0,545,1051,247,0,0,0,0,1,0
EBITDA (tys. zl),5051,1797,-22445,142,508,1228,2578,3135,-4089,1548,3210,2942,-413,1034,2279,2378,6052,665,-1744,1179,2444,-245,1476,3297,2498,1275,2456,3072,4551,1582,2468,1469,10365,6802,6310,6513,3861,4360,3199,2950,1809,4307,2919,5072,5609,6430,6165,26417,2448,3151,3598,5651,2649,2327,1437,1872,-1027,434,1815,2437,0,982,477,-83,0,0,0,0,4466,0
Aktywa (tys. zl),214436,190484,183081,164494,202337,185816,201635,206412,189572,187087,196432,202231,186106,178388,206254,199460,218175,196675,194068,0,187006,170405,181367,0,186834,180536,180848,0,260987,233369,223977,0,223971,211108,213794,0,193325,183029,192008,0,255767,157729,160836,0,222728,224519,316348,0,110555,129006,157760,0,104161,108040,108145,106341,92097,95557,100995,101753,67678,62541,72850,78703,63036,75407,97806,80341,220112,69635
Kapital wlasny (tys. zl),116357,117318,89882,90569,113436,114281,113003,115365,107422,108822,111463,113017,110410,110288,108598,109776,112886,113643,111073,0,105626,103700,106124,0,98717,99856,104466,0,103022,103512,101844,0,93621,96996,97214,0,81092,84132,84288,0,73046,78217,76985,0,49843,53232,55129,0,37500,38087,38929,0,39728,39118,36527,36573,39599,39548,40203,39674,39103,41619,41486,41456,38104,40306,42912,42856,48029,34281
Liczba akcji (tys. szt.),"3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3895,000","3900,000","3900,000","3900,000","3895,000","3900,000","3900,000","3900,000","3900,000","3903,000","3903,000","3900,000","3900,000","3903,000","3903,000","3903,000","3903,000","3903,000","3903,000","3903,000","3903,000","3913,000","3913,000","3913,000","3903,000","4269,000","4269,000","4269,000","4269,000","4780,000","4780,000","4780,000","4780,000","5000,000","5000,000","5000,000","4780,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","3913,000","5000,000"
Zysk na akcje (zl),"0,314","0,237","-5,852","0,179","0,036","0,220","0,025","0,579","-0,583","0,088","0,521","0,318","-0,417","0,058","0,287","0,230","1,024","0,112","-0,774","0,063","0,442","0,164","-0,418","0,510","-0,473","0,042","0,136","0,366","0,656","0,169","-0,169","0,071","0,888","0,936","0,834","0,499","0,346","0,779","0,811","0,692","0,687","0,898","0,583","0,635","1,462","0,768","0,965","4,241","0,278","0,097","0,441","1,167","0,472","-0,060","0,169","0,013","-0,139","-0,010","0,127","0,033","0,000","0,036","0,299","0,004","0,000","0,000","0,000","0,000","1,493","0,000"
