index,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,III Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),47897,39027,54873,59659,53946,38820,58030,60649,41414,28958,34893,60617,29229,27436,43952,42703,30530,27404,36552,39185,12250,17071,29958,34835,11412,11619,14319,14344,9072,9036,10093,13928,9611
Zysk (strata) z dzialal. oper. (tys. zl),-845,1513,2280,3549,4222,3168,5968,7276,3417,2148,7658,6958,3296,3105,5570,5436,2625,4367,5331,8737,1569,5189,4216,4603,2496,1634,2042,2057,1346,2172,1414,3357,2147
Zysk (strata) brutto (tys. zl),-1884,1098,1199,2622,3607,2398,5262,6493,2708,1341,6694,6805,2943,4319,4038,4789,2561,3993,5207,6000,1390,5473,3126,4823,2517,1672,1907,1901,1632,2476,1629,3380,2458
Zysk (strata) netto (tys. zl),-1413,724,516,2198,3034,1704,3898,5375,2103,612,6104,5560,2144,3452,3149,3789,1861,3393,3902,4796,1129,4990,2913,3663,2217,1337,1397,1468,1297,1987,1251,2712,1952
Amortyzacja (tys. zl),2455,2600,2618,2554,2104,2277,2345,2326,2102,1934,1925,2424,1713,1745,1976,2288,1559,1646,1646,1658,1147,989,1492,1536,885,1038,1118,1103,564,562,545,860,0
EBITDA (tys. zl),1610,4113,4898,6103,6326,5445,8313,9602,5519,4082,9583,9382,5009,4850,7546,7724,4184,6013,6977,10395,2716,6178,5708,6139,3381,2672,3160,3160,1910,2734,1959,4217,2147
Aktywa (tys. zl),218632,223776,232492,234553,227520,225952,230095,235317,185222,182849,216686,226779,165959,196620,181350,181232,143580,151333,145351,0,81801,129124,137187,0,85792,84825,83230,0,66991,0,69836,0,0
Kapital wlasny (tys. zl),101816,102668,94337,96582,99972,101710,98177,103452,90207,90264,91368,97154,92011,97878,86628,89077,84165,87529,85198,0,59765,64787,76102,0,58606,59723,57472,0,55563,0,55503,0,0
Liczba akcji (tys. szt.),"25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25719,752","25190,204","25190,204","25719,752","25719,752","23951,610","23951,610","25691,088","25190,204","23951,610","23951,610","23951,610","23951,610","23951,610","23951,610","23951,610","23951,610","23951,610"
Zysk na akcje (zl),"-0,055","0,028","0,020","0,085","0,118","0,066","0,152","0,209","0,082","0,024","0,237","0,216","0,083","0,134","0,122","0,147","0,074","0,135","0,152","0,186","0,047","0,208","0,113","0,145","0,093","0,056","0,058","0,061","0,054","0,083","0,052","0,113","0,081"
Wartosc ksiegowa na akcje (zl),"3,959","3,992","3,668","3,755","3,887","3,955","3,817","4,022","3,507","3,510","3,552","3,777","3,577","3,806","3,368","3,463","3,341","3,475","3,313","0,000","2,495","2,705","2,962","0,000","2,447","2,493","2,400","0,000","2,320","0,000","2,317","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
