index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,II Q 2009,III Q 2009,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),21353,22448,16713,23224,14939,21226,15858,15386,12033,18898,15139,14687,7326,13690,8917,9319,113713,6641,13507,8896,15711,14537,18862,21475,30143,13073,11562,12527,0,0,0,17952,0
Zysk (strata) z dzialal. oper. (tys. zl),-3607,20050,23348,-2764,2857,-29597,16284,-1971,10835,2272,-27210,-289,24527,10291,2120,-9805,34777,-44689,4882,28678,4191,43793,32926,44998,-4347,-19279,94892,15374,0,0,0,-18362,0
Zysk (strata) brutto (tys. zl),-14493,12923,8797,1723,-12601,-21262,276,-12279,8625,-6004,-32919,-7453,20612,995,-12436,-10279,30230,-32667,-7149,32768,-784,39591,25375,16653,-379,-7927,72241,21049,0,0,0,-6225,0
Zysk (strata) netto (tys. zl),-3083,6812,5809,621,-17095,-17154,-9400,-21173,6794,-5697,-28086,-8817,19557,-176,-9953,-7634,56296,-25232,-6673,36038,13661,34613,19504,41257,-2270,-6483,66854,16939,0,0,0,-3075,0
Amortyzacja (tys. zl),182,125,122,123,213,137,140,183,317,290,413,108,377,364,358,336,258,342,357,360,231,237,252,260,564,509,-122,198,0,0,0,529,0
EBITDA (tys. zl),-3425,20175,23470,-2641,3070,-29460,16424,-1788,11152,2562,-26797,-181,24904,10655,2478,-9469,35035,-44347,5239,29038,4422,44030,33178,45258,-3783,-18770,94770,15572,0,0,0,-17833,0
Aktywa (tys. zl),969296,920751,938667,915125,1030448,1016951,980372,982596,1018904,1054840,1017334,985017,859385,898338,964953,977378,967556,880215,820224,0,853157,954315,965443,0,648359,634632,804782,0,301430,541960,666449,0,216352
Kapital wlasny (tys. zl),335987,341970,347670,347682,386221,369305,360421,338980,445340,439642,411493,402578,456309,460474,450521,442887,486638,461637,404903,0,345614,380227,388587,0,207509,201027,314198,0,128908,133747,212853,0,105640
Liczba akcji (tys. szt.),"37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","37183,550","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920","32501,920"
Zysk na akcje (zl),"-0,083","0,183","0,156","0,017","-0,460","-0,461","-0,253","-0,569","0,183","-0,153","-0,755","-0,237","0,526","-0,005","-0,268","-0,205","1,732","-0,776","-0,205","1,109","0,420","1,065","0,600","1,269","-0,070","-0,199","2,057","0,521","0,000","0,000","0,000","-0,095","0,000"
Wartosc ksiegowa na akcje (zl),"9,036","9,197","9,350","9,350","10,387","9,932","9,693","9,116","11,977","11,824","11,067","10,827","12,272","12,384","12,116","11,911","14,973","14,203","12,458","0,000","10,634","11,699","11,956","0,000","6,385","6,185","9,667","0,000","3,966","4,115","6,549","0,000","3,250"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
