index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,III Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),16274,15554,12816,757,20438,22311,20126,20745,25335,26458,25474,22430,27665,34546,29945,29608,35768,34696,32019,27190,27058,39809,37785,36434,23212,24649,36616,32554,23257,26424,26094,25119,22868,26151,23581,21380,23101
Zysk (strata) z dzialal. oper. (tys. zl),-11765,-331,-6774,-4005,-176,484,298,1157,222,1050,3191,967,-1104,2009,1656,885,3057,2356,1715,-35,4745,1423,1460,7643,-3055,-268,-6588,8041,-3458,-32,1001,4550,1427,2787,1533,1296,3012
Zysk (strata) brutto (tys. zl),-23492,-319,-8102,12721,-2260,-1727,-169,416,200,168,2104,-1028,-3565,857,549,753,416,1451,176,-533,4170,1618,830,6615,-4086,-1565,-7494,7763,-3425,-697,444,3932,1307,2501,612,1436,2842
Zysk (strata) netto (tys. zl),-21207,-613,-13492,17213,-2354,-1270,-325,-300,157,94,1536,-940,-3618,713,-358,540,489,1120,-200,-353,4683,1283,647,6570,-2879,-1287,-7130,6775,-2805,-1094,142,3679,888,2053,700,1348,2428
Amortyzacja (tys. zl),478,421,435,141,617,670,485,522,444,735,423,693,655,1164,1142,1035,929,1479,1488,1404,1338,1430,1450,1734,587,1157,1165,1091,1304,1222,1224,1296,657,694,700,775,644
EBITDA (tys. zl),-11287,90,-6339,-3864,441,1154,783,1679,666,1785,3614,1660,-449,3173,2798,1920,3986,3835,3203,1369,6083,2853,2910,9377,-2468,889,-5423,9132,-2154,1190,2225,5846,2084,3481,2233,2071,3656
Aktywa (tys. zl),146251,144716,129592,101167,172110,171321,172421,170501,181861,181561,177820,177830,186906,188635,191285,187532,190246,189399,191328,196613,164628,171485,168865,0,123898,125665,123594,0,119087,119924,0,0,84653,85696,0,0,0
Kapital wlasny (tys. zl),50823,49799,36497,38491,75633,73192,73186,71920,78802,78169,79547,78350,78512,79478,78627,78461,85311,84984,82435,81994,72333,73573,76906,0,68901,67496,60322,0,70774,69680,0,0,68783,70836,0,0,0
Liczba akcji (tys. szt.),"2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2550,000","2090,950"
Zysk na akcje (zl),"-8,316","-0,240","-5,291","6,750","-0,923","-0,498","-0,127","-0,118","0,062","0,037","0,602","-0,369","-1,419","0,280","-0,140","0,212","0,192","0,439","-0,078","-0,138","1,836","0,503","0,254","2,576","-1,129","-0,505","-2,796","2,657","-1,100","-0,429","0,056","1,443","0,348","0,805","0,275","0,529","1,161"
Wartosc ksiegowa na akcje (zl),"19,931","19,529","14,313","15,095","29,660","28,703","28,700","28,204","30,903","30,655","31,195","30,725","30,789","31,168","30,834","30,769","33,455","33,327","32,327","32,155","28,366","28,852","30,159","0,000","27,020","26,469","23,656","0,000","27,755","27,325","0,000","0,000","26,974","27,779","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
