index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),38,11,6,6,-35,41,25,24,2241,290,252,80,3461,1027,3901,1591,2915,2369,1967,2106,10238,2311,1817,1972,25399,18268,17410,3682,195917,115805,40749,11704,177061,151767,146097,167671,166236,134019,124852,124548,0,95604,92579,111902,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-370,-306,-57,-427,8311,-329,-337,-360,2514,336,-554,-375,-540,408,-2517,-295,6479,1358,-8513,-813,5260,2028,1283,-3662,-7184,-1506,-26065,3668,-13034,1051,-4525,-39895,7220,190,-2120,898,5470,825,1943,204,0,870,-20,-835,0,0
Zysk (strata) brutto (tys. zl),-1275,-1164,-1467,-5827,6015,-1075,-1159,-1222,841,-1348,-13872,-2062,-15053,-11652,-9916,-1681,2665,-9131,-7279,-4067,10527,3144,-207,-3796,-11364,-5128,-30992,2897,-37946,-12461,-21586,-61858,7348,631,4782,-1205,6769,1309,2138,431,0,943,531,-284,0,0
Zysk (strata) netto (tys. zl),-797,-677,-962,-5309,2980,-949,-637,-823,-3756,-13106,-1684,-2056,-16303,-14009,-5746,-1791,2460,-9174,72040,-5057,10293,3122,-162,-3579,-11118,-5029,-30969,2703,-35658,-12429,-23997,-61880,5879,317,3801,-940,5397,829,1821,318,0,939,561,-105,0,0
Amortyzacja (tys. zl),2,2,2,2,-12,3,2,2,42,11,10,9,989,947,863,793,959,906,970,1004,1124,1141,1002,985,1337,1324,1317,1278,948,1206,1353,1543,847,924,906,903,674,630,716,749,0,493,396,617,0,0
EBITDA (tys. zl),-368,-304,-55,-425,8299,-326,-335,-358,2556,347,-544,-366,449,1355,-1654,498,7438,2264,-7543,191,6384,3169,2285,-2677,-5847,-182,-24748,4946,-12086,2257,-3172,-38352,8067,1114,-1214,1801,6144,1455,2659,953,0,1363,376,-218,0,0
Aktywa (tys. zl),31697,32172,31921,32064,32263,32938,32370,32257,43484,36963,36196,35737,65511,55848,48879,47403,62274,64517,78427,0,61504,60960,64378,0,170631,169836,114573,71366,289370,261836,184648,0,229672,259550,268921,0,162056,156681,182231,0,120865,147374,153227,0,70250,84189
Kapital wlasny (tys. zl),-20730,-21407,-22369,-27678,-17524,-18473,-19110,-19933,-35336,-36665,-38349,-40405,-10109,-24220,-29970,-31754,-68661,-68597,11278,0,-81438,-76891,-70125,0,-56763,-63203,-92654,-88801,49248,35823,10591,0,84678,84924,85845,0,47272,48145,78461,0,40191,41703,44140,0,16375,21760
Liczba akcji (tys. szt.),"4772,040","4772,040","4772,040","4772,040","4772,040","4772,040","4772,040","4772,040","2692,039","2692,039","2692,039","2692,039","2692,039","2692,039","2692,039","2692,039","2353,125","2373,125","2692,039","2692,039","1259,075","1259,075","1985,075","2168,125","93,100","593,100","762,925","762,925","93,100","93,100","93,100","93,100","93,100","93,100","93,100","93,100","78,100","78,100","78,100","93,100","78,100","78,100","78,100","78,100","78,100","78,100"
Zysk na akcje (zl),"-0,167","-0,142","-0,202","-1,113","0,624","-0,199","-0,133","-0,172","-1,395","-4,868","-0,626","-0,764","-6,056","-5,204","-2,134","-0,665","1,045","-3,866","26,760","-1,879","8,175","2,480","-0,082","-1,651","-119,420","-8,479","-40,592","3,543","-383,008","-133,502","-257,755","-664,662","63,147","3,405","40,827","-10,097","69,104","10,615","23,316","3,416","0,000","12,023","7,183","-1,344","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"-4,344","-4,486","-4,688","-5,800","-3,672","-3,871","-4,005","-4,177","-13,126","-13,620","-14,245","-15,009","-3,755","-8,997","-11,133","-11,796","-29,179","-28,906","4,189","0,000","-64,681","-61,069","-35,326","0,000","-609,699","-106,564","-121,446","-116,395","528,980","384,780","113,759","0,000","909,538","912,180","922,073","0,000","605,275","616,453","1004,622","0,000","514,609","533,969","565,173","0,000","209,667","278,617"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
