index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),16782,15220,12563,13830,17078,13872,14856,17536,17263,16168,16955,14837,18469,14365,20330,15277,26313,19228,18645,18007,23712,18091,19354,19861,16428,18287,17378,21746,11251,8216,6811,8356,12703,12452,9161,9109,12665,11658,11138,12253,12576,11071,11214,11726,0,10049
Zysk (strata) z dzialal. oper. (tys. zl),-10527,-983,-1079,-618,119,-1051,-1450,-752,-603,-1119,-1447,28,-17246,-1446,-686,-175,-6307,-2186,-1554,-1775,1051,-1054,129,-2093,-6627,-1517,-492,272,-6599,-1248,-1011,-740,-467,161,-3481,-1496,796,6509,842,1307,-264,283,443,115,0,251
Zysk (strata) brutto (tys. zl),-10587,-905,-931,-533,-3406,-920,-1298,-608,-460,-844,-986,253,-17174,-1581,-722,55,-6466,-2289,-6461,-2487,504,-932,98,-2040,-5550,-1202,-74,205,-21743,-7422,2315,1542,-619,296,-2368,-759,699,6430,809,1096,-284,261,342,-30,0,56
Zysk (strata) netto (tys. zl),-8877,-463,-414,-141,-3335,-586,-1335,-391,18,-778,-895,288,-13412,-822,-670,265,0,-1513,0,-2696,0,-204,104,0,0,-1563,0,0,-18451,-7167,932,619,-803,296,-2439,-759,507,6481,530,966,551,129,248,148,0,65
Amortyzacja (tys. zl),452,378,362,320,524,519,506,487,899,908,856,-174,767,1033,946,980,1091,1037,1041,978,1035,1038,1045,1026,961,1011,1036,1024,744,705,787,733,386,369,991,744,680,594,544,876,661,506,919,706,0,605
EBITDA (tys. zl),-10075,-605,-717,-298,643,-532,-944,-265,296,-211,-591,-146,-16479,-413,260,805,-5216,-1149,-513,-797,2086,-16,1174,-1067,-5666,-506,544,1296,-5855,-543,-224,-7,-81,530,-2490,-752,1476,7103,1386,2183,397,789,1362,821,0,856
Aktywa (tys. zl),62369,61054,58552,60498,73948,75745,75938,76042,70972,73927,70278,73668,73653,74994,72805,73703,111268,111215,98205,94612,116632,118971,118107,0,120942,122863,118837,0,131409,121960,112687,0,82909,142942,136514,0,71058,81761,0,0,51399,70328,0,0,46828,48333
Kapital wlasny (tys. zl),36596,37620,35327,34083,47584,48176,47621,48331,49010,49443,48396,50298,49976,49154,48719,49130,74934,73553,67440,65187,81879,81848,81717,0,83054,81517,82133,0,92634,85456,86424,0,58835,59648,109681,0,51375,63908,0,0,37843,55856,0,0,37225,37478
Liczba akcji (tys. szt.),"8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","83528,750","8352,875","8352,875","83528,750","83528,750","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875","8352,875"
Zysk na akcje (zl),"-1,063","-0,055","-0,050","-0,017","-0,399","-0,070","-0,160","-0,047","0,002","-0,093","-0,107","0,034","-0,161","-0,010","-0,008","0,003","0,000","-0,018","0,000","-0,032","0,000","-0,002","0,001","0,000","0,000","-0,019","0,000","0,000","-0,221","-0,086","0,011","0,007","-0,096","0,035","-0,029","-0,009","0,061","0,776","0,063","0,116","0,066","0,015","0,030","0,018","0,000","0,008"
Wartosc ksiegowa na akcje (zl),"4,381","4,504","4,229","4,080","5,697","5,768","5,701","5,786","5,867","5,919","5,794","6,022","0,598","0,588","0,583","0,588","0,897","0,881","0,807","0,780","0,980","0,980","0,978","0,000","0,994","0,976","0,983","0,000","1,109","1,023","1,035","0,000","7,044","7,141","1,313","0,000","6,151","7,651","0,000","0,000","4,531","6,687","0,000","0,000","4,457","4,487"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
