index,III Q 2015, Q 2016, Q 2016, Q 2016,I Q 2015,II Q 2015,II Q 2015,III Q 2015,II Q 2014,III Q 2014,IV Q 2014,I Q 2015,II Q 2013,III Q 2013,IV Q 2013,I Q 2014,II Q 2012,III Q 2012,IV Q 2012,I Q 2013,II Q 2011,III Q 2011,IV Q 2011,I Q 2012,II Q 2010,III Q 2010,IV Q 2010,I Q 2011,II Q 2009,III Q 2009,IV Q 2009,I Q 2010,II Q 2008,III Q 2008,IV Q 2008,I Q 2009,II Q 2007,III Q 2007,IV Q 2007,I Q 2008,II Q 2006,III Q 2006,IV Q 2006,I Q 2007,II Q 2005,III Q 2005,IV Q 2005,I Q 2006,II Q 2004,III Q 2004,IV Q 2004,I Q 2005,II Q 2003,III Q 2003,IV Q 2003,I Q 2004,II Q 2002,IV Q 2002,I Q 2003,II Q 2003,II Q 2001,III Q 2001,IV Q 2001,I Q 2002, Q 0000,I Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),303801,46187,45017,52571,214414,42514,256928,46873,41227,44433,44025,43556,45821,44940,45661,41173,42633,44215,43260,40143,42515,44505,43666,41008,37262,43433,42837,41017,42888,45443,38282,38031,53078,55619,54264,47846,45276,50662,51173,50891,39318,45309,39084,41324,31990,30430,31472,31757,26241,28996,20821,24433,6410,7580,6805,19262,880372,0,4937,6410,765139,776213,597649,559201,20821,491014
Zysk (strata) z dzialal. oper. (tys. zl),27361,280,3629,2429,23016,2330,25346,2015,1079,2596,13921,4074,762,2010,288,1741,-4059,730,1179,-154,-3313,-201,-5610,-1505,-6489,-6260,-9143,-818,-1266,-6844,-16621,-6105,3871,1249,-69407,-2578,3726,4743,-2764,5134,6253,6320,5427,5272,4293,5106,2920,3745,3020,4229,2262,2405,1782,2199,-992,2274,116218,0,586,1782,21756,56581,-27567,19629,2262,13933
Zysk (strata) brutto (tys. zl),22279,8126,2365,1338,19190,1682,20872,1407,189,1689,13802,3150,-603,722,405,755,-4898,-924,-888,-1568,-5499,-1756,-7419,-3242,-6987,-8059,-12769,-2621,-8200,-9022,-21148,-9078,3022,-733,-77470,-8643,2957,3864,-4644,3837,5507,5566,4204,4464,3704,4638,1932,3410,2678,3900,1489,2009,1660,1958,-2438,1957,99057,0,464,1660,-21762,4545,-56162,2655,1489,-34316
Zysk (strata) netto (tys. zl),37980,4575,1800,1270,35555,1678,37233,746,43,1700,31972,971,-2107,41,548,869,-5406,-2004,-3061,-2219,-5602,-2437,-7255,-4463,-7169,-9161,-13637,-3740,-12247,-10308,-17079,-9920,921,-2402,-69620,-9733,1312,2098,-5605,1568,3510,3486,2749,2804,2119,3298,802,1984,1393,2235,512,889,1115,1391,-1957,888,81603,0,322,1115,-16508,-3177,-53531,-635,512,-32068
Amortyzacja (tys. zl),15332,2608,2510,2794,10727,2170,12897,2435,2156,2170,2029,2072,2383,2289,2297,2300,2694,2640,2225,2203,2708,2765,2694,2863,2140,2848,3397,2691,3510,6108,4024,3819,3724,4341,4134,4837,3741,3449,3356,4186,2773,2571,3065,2850,0,0,2881,0,0,0,0,0,1072,0,0,0,3548,0,0,0,3548,3548,3548,3548,559,3548
EBITDA (tys. zl),42693,2888,6139,5223,33743,4500,38243,4450,3235,4766,15950,6146,3145,4299,2585,4041,-1365,3370,3404,2049,-605,2564,-2916,1358,-4349,-3412,-5746,1873,2244,-736,-12597,-2286,7595,5590,-65273,2259,7467,8192,592,9320,9026,8891,8492,8122,4293,5106,5801,3745,3020,4229,2262,2405,2854,2199,-992,2274,119766,0,586,1782,25304,60129,-24019,23177,2821,17481
Aktywa (tys. zl),107010,114392,118480,120416,96867,104336,104336,107010,65452,65581,98312,96867,69702,69348,70683,63155,72242,69739,65212,68490,0,0,79808,73401,0,0,77053,76080,0,0,89578,100458,173782,173780,126932,121131,140388,141368,151696,172739,114967,120311,122003,120514,69674,71032,77633,79331,52740,58548,63964,59144,33654,37283,42618,48589,2098317,28370,29663,33654,2124285,1998869,1957683,1954476,63552,1899364
Kapital wlasny (tys. zl),-11672,8550,10890,11739,-14388,-12566,-12566,-11672,-50602,-48586,-15495,-14388,-54554,-54562,-53776,-50955,-52872,-54911,-55918,-55136,0,0,-43111,-46438,0,0,-63868,-68609,0,0,-81959,-66070,60173,57796,-15895,-26203,55600,64298,55763,63033,38616,42102,44852,47684,28278,32050,32852,36359,23013,8781,25471,27915,21297,8781,20731,23220,1120753,8360,8682,21297,453793,450616,1051585,1030233,25759,488830
Liczba akcji (tys. szt.),"26752,842","30252,842","30252,842","30252,842","26752,842","26752,842","26752,842","26752,842","26752,842","26752,842","26752,842","26752,842","26516,000","26516,000","26752,842","26752,842","22105,626","22105,626","22105,626","22105,626","14889,406","22105,626","22105,626","22105,626","14889,406","14889,406","14889,406","14889,406","9280,951","9280,951","9280,951","9280,951","9280,951","9280,951","9280,951","9280,951","8780,951","9280,951","9280,951","9280,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","8780,951","6318,424","8780,951","8780,951","8780,951","11335,454","6318,424","6318,424","8780,951","7392,686","7392,686","11335,454","11335,454","8780,951","7392,686"
Zysk na akcje (zl),"1,420","0,151","0,059","0,042","1,329","0,063","1,392","0,028","0,002","0,064","1,195","0,036","-0,079","0,002","0,020","0,032","-0,245","-0,091","-0,138","-0,100","-0,376","-0,110","-0,328","-0,202","-0,481","-0,615","-0,916","-0,251","-1,320","-1,111","-1,840","-1,069","0,099","-0,259","-7,501","-1,049","0,149","0,226","-0,604","0,169","0,400","0,397","0,313","0,319","0,241","0,376","0,091","0,226","0,159","0,255","0,058","0,101","0,176","0,158","-0,223","0,101","7,199","0,000","0,051","0,127","-2,233","-0,430","-4,722","-0,056","0,058","-4,338"
