index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),13389,13358,17237,15047,13729,13073,21425,17373,22868,27095,27565,32479,25612,32059,36888,29865,21219,29088,36413,32406,20857,25455,30739,30355,16645,20067,26696,25672,21515,15957,20413,21029,23348,27405,28262,27444,20565,23553,26247,25432,0,1916,2544
Zysk (strata) z dzialal. oper. (tys. zl),2617,4376,5964,4286,1718,1695,5508,4341,194,3848,4008,2803,478,4203,6667,5779,-2097,6844,7399,4801,3147,5619,12148,12241,-175,2845,6085,5581,-7230,-72,2039,2071,3257,3550,4248,2638,4472,4034,10271,2989,0,197,330
Zysk (strata) brutto (tys. zl),3337,2922,5025,4303,3196,1777,4655,6353,532,3779,3687,3112,689,4448,6243,6365,2289,7419,6792,5716,3628,7513,25043,10872,271,4214,5773,5741,-10420,-352,3092,1888,3665,3499,4497,1959,4694,4215,10228,3427,0,181,307
Zysk (strata) netto (tys. zl),2511,2159,3827,3131,666,-521,3277,5152,237,1890,3135,3406,1666,3527,4089,3093,11194,5333,4328,2824,2621,5089,15634,6915,326,2472,3697,3448,-10196,-2490,-821,517,1540,897,1157,539,2376,2139,7211,1056,0,164,307
Amortyzacja (tys. zl),555,442,436,474,679,656,687,597,730,699,796,871,652,629,632,638,1244,581,600,717,432,441,325,275,483,447,443,435,495,715,699,523,493,912,842,612,-195,630,444,440,0,0,86
EBITDA (tys. zl),3172,4818,6400,4760,2397,2351,6195,4938,924,4547,4804,3674,1130,4832,7299,6417,-853,7425,7999,5518,3579,6060,12473,12516,308,3292,6528,6016,-6735,643,2738,2594,3750,4462,5090,3250,4277,4664,10715,3429,0,197,416
Aktywa (tys. zl),53635,54072,59216,55159,67339,59771,58455,51143,76629,78581,82003,79114,75837,86221,86686,80945,68485,75924,0,0,65085,68691,0,0,54352,58047,0,0,77238,67959,0,0,69637,71364,0,0,0,54574,0,0,38192,3745,0
Kapital wlasny (tys. zl),40194,41116,40609,43583,46753,42454,40907,39981,52370,53487,54418,58404,51396,57441,55723,56981,42464,49725,0,0,42042,44423,0,0,31308,33493,0,0,40983,34351,0,0,46896,46132,0,0,0,31376,0,0,21254,1187,0
Liczba akcji (tys. szt.),"38000,000","38000,000","38000,000","38000,000","39000,000","39000,000","39000,000","39000,000","39400,000","39400,000","39400,000","39400,000","52533,333","52533,333","52533,333","52533,333","52666,667","52666,667","52666,667","52666,667","1320233,333","65833,333","65833,333","65833,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333","1333333,333"
Zysk na akcje (zl),"0,066","0,057","0,101","0,082","0,017","-0,013","0,084","0,132","0,006","0,048","0,080","0,086","0,032","0,067","0,078","0,059","0,213","0,101","0,082","0,054","0,002","0,077","0,237","0,105","0,000","0,002","0,003","0,003","-0,008","-0,002","-0,001","0,000","0,001","0,001","0,001","0,000","0,002","0,002","0,005","0,001","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,058","1,082","1,069","1,147","1,199","1,089","1,049","1,025","1,329","1,358","1,381","1,482","0,978","1,093","1,061","1,085","0,806","0,944","0,000","0,000","0,032","0,675","0,000","0,000","0,023","0,025","0,000","0,000","0,031","0,026","0,000","0,000","0,035","0,035","0,000","0,000","0,000","0,024","0,000","0,000","0,016","0,001","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
