index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,I Q 2015,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,II Q 2014,III Q 2014,IV Q 2014,IV Q 2011,IV Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),19193,17361,18083,27016,29221,120277,23516,20751,20995,0,24223,22144,0,0
Zysk (strata) z dzialal. oper. (tys. zl),4087,3345,3924,11841,11427,34499,5644,4123,5557,0,6132,5405,0,0
Zysk (strata) brutto (tys. zl),4171,3637,4214,11962,11548,35121,5758,4167,5611,0,6233,5441,0,0
Zysk (strata) netto (tys. zl),3313,2987,3353,9603,9282,22307,4624,3338,4456,0,4786,4301,0,0
Amortyzacja (tys. zl),159,107,101,97,154,727,148,156,127,0,160,142,0,0
EBITDA (tys. zl),4246,3452,4025,11938,11581,35226,5792,4279,5684,0,6292,5547,0,0
Aktywa (tys. zl),91931,93826,97900,110536,106681,106681,109625,112739,104882,84370,0,95750,75244,76690
Kapital wlasny (tys. zl),83381,86108,89343,98996,92921,92921,97658,101062,93406,72360,0,83346,68250,69895
Liczba akcji (tys. szt.),"8527,096","8527,096","8527,096","8527,096","8527,096","6822,000","8527,096","8527,096","8527,096","8527,096","8527,096","8527,096","8527,096","8527,096"
Zysk na akcje (zl),"0,389","0,350","0,393","1,126","1,089",,"0,542","0,391","0,523","0,000","0,561","0,504","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"9,778","10,098","10,478","11,610","10,897",,"11,453","11,852","10,954","8,486","0,000","9,774","8,004","8,197"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N
