index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),780,2063,982,1938,632,2442,510,2010,-4799,2028,927,2316,-28652,3091,2432,2935,4222,13269,15279,18358,13113,3684,4797,3975,1253,189,194,93,1834,1415,1203,454,1318,1164,1173,702,0,979,5511,1216,0
Zysk (strata) z dzialal. oper. (tys. zl),-613,-47,-372,-251,-1480,-17,-517,-33,-718,5,-159,70,-51122,-247,-665,-374,-305,52370,-1054,-1383,-403,-225,582,-366,-565,-372,-361,-434,-694,-613,-23,-855,-1565,-523,297,-720,0,154,4066,-254,0
Zysk (strata) brutto (tys. zl),-317,-54,-442,-278,-9808,-28,-560,-13,201,29,-121,83,-50325,-200,-1408,-325,-921,51059,-933,-1822,-62,-322,501,-1090,3871,2460,-3650,785,-11342,-6096,6056,-747,25084,-4066,-3052,-10276,0,7860,25803,-18346,0
Zysk (strata) netto (tys. zl),-2223,12,-632,-269,-7782,-5,-606,-89,122,161,-150,31,-41935,-454,-1423,-267,-1293,42371,-893,-1613,252,-369,450,-536,3057,1888,-3050,556,-9609,-5107,4813,-468,20113,-3292,-2381,-8218,0,6367,20918,-14886,0
Amortyzacja (tys. zl),31,30,31,26,34,30,44,31,35,36,38,29,-870,36,36,36,40,373,347,309,39,58,45,37,-23,40,40,39,93,54,77,72,48,47,58,45,0,32,34,39,0
EBITDA (tys. zl),-582,-17,-341,-225,-1446,13,-473,-2,-683,41,-121,99,-51992,-211,-629,-338,-265,52743,-707,-1074,-364,-167,627,-329,-588,-332,-321,-395,-601,-559,54,-783,-1517,-476,355,-675,0,186,4100,-215,0
Aktywa (tys. zl),29403,29289,28569,28924,31279,31284,30737,31010,40947,40780,33921,39107,46720,46283,43581,48867,48726,133386,131700,128801,50486,50353,50469,50045,50438,52473,49317,48616,53551,43022,48870,0,76227,83431,74310,63792,45272,34679,59760,41235,14585
Kapital wlasny (tys. zl),26288,26183,25312,25042,29714,29625,29103,29014,39471,39631,37502,37518,42424,42814,41385,41118,44949,87329,86439,84814,46439,46070,46778,46242,46780,48207,45619,45716,44229,39123,43936,0,50713,64190,61997,53753,16713,24579,45485,30599,6281
Liczba akcji (tys. szt.),"10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","8000,000","10000,000","10000,000","10000,000","8000,000","8000,000","8000,000","8000,000","8000,000"
Zysk na akcje (zl),"-0,222","0,001","-0,063","-0,027","-0,778","-0,001","-0,061","-0,009","0,012","0,016","-0,015","0,003","-4,194","-0,045","-0,142","-0,027","-0,129","4,237","-0,089","-0,161","0,025","-0,037","0,045","-0,054","0,306","0,189","-0,305","0,056","-0,961","-0,511","0,481","-0,047","2,514","-0,329","-0,238","-0,822","0,000","0,796","2,615","-1,861","0,000"
Wartosc ksiegowa na akcje (zl),"2,629","2,618","2,531","2,504","2,971","2,963","2,910","2,901","3,947","3,963","3,750","3,752","4,242","4,281","4,139","4,112","4,495","8,733","8,644","8,481","4,644","4,607","4,678","4,624","4,678","4,821","4,562","4,572","4,423","3,912","4,394","0,000","6,339","6,419","6,200","5,375","2,089","3,072","5,686","3,825","0,785"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
