index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2007,IV Q 2008,IV Q 2009,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),227383,215812,207920,214658,222795,221611,217198,208792,207344,213634,201193,202895,183240,187608,182955,183229,178230,173167,172387,159785,165751,164801,150913,150787,0,0,0,156377
Zysk (strata) z dzialal. oper. (tys. zl),6792,15437,6638,9821,3719,17635,9946,2067,12784,21127,10103,5075,2364,21728,18004,3375,11400,16908,15319,10877,10236,13260,11413,9952,0,0,0,13594
Zysk (strata) brutto (tys. zl),-2738,12289,16834,9979,1744,12706,18729,-1122,1050,15062,8326,4067,1800,21284,14037,1567,12199,13873,13878,13349,5184,12331,11059,9456,0,0,0,13290
Zysk (strata) netto (tys. zl),-2545,10442,15862,5323,32,9241,17663,-3045,-1445,12568,5564,2014,-793,17680,11177,1980,8969,11333,13256,11400,5599,10617,11067,7751,0,0,0,10649
Amortyzacja (tys. zl),6723,6800,6667,6662,6508,6606,6611,6386,6123,7593,6957,6744,7790,5410,5477,6262,6684,4585,4787,4833,5589,4230,4375,4443,0,0,0,0
EBITDA (tys. zl),13515,22237,13305,16483,10227,24241,16557,8453,18907,28720,17060,11819,10154,27138,23481,9637,18084,21493,20106,15710,15825,17490,15788,14395,0,0,0,13594
Aktywa (tys. zl),835627,832251,825246,833404,817363,843219,858394,852060,783963,799158,807468,820757,745418,782788,799060,787274,676588,676168,730270,0,625190,0,642169,0,428412,475877,540158,0
Kapital wlasny (tys. zl),405891,415279,422748,428028,371329,396151,413763,410257,359922,370468,368138,370438,345596,358598,363127,362025,319999,331171,334730,0,298232,0,303693,0,216907,217208,257543,0
Liczba akcji (tys. szt.),"134797,899","134797,899","134797,899","134797,899","132000,000","134797,899","134797,899","134797,899","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000","132000,000"
Zysk na akcje (zl),"-0,019","0,077","0,118","0,039","0,000","0,069","0,131","-0,023","-0,011","0,095","0,042","0,015","-0,006","0,134","0,085","0,015","0,068","0,086","0,100","0,086","0,042","0,080","0,084","0,059","0,000","0,000","0,000","0,081"
Wartosc ksiegowa na akcje (zl),"3,011","3,081","3,136","3,175","2,813","2,939","3,070","3,043","2,727","2,807","2,789","2,806","2,618","2,717","2,751","2,743","2,424","2,509","2,536","0,000","2,259","0,000","2,301","0,000","1,643","1,646","1,951","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
