index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),67437,65036,72607,82746,55676,54263,64974,75834,52638,49337,55215,62315,45890,43626,50449,59786,45246,39812,46845,52960,41795,39046,44242,51229,35884,35154,40078,48192,23929,30858,34335,37765,26817,33373,36380,38051,191871,179973,164240,170501,142813,167249,196884,180542,172355,184440,149183,144326,258451,297019,309481,227130,317336,272752,303966,290488,425018,370328,322007,295060,0,556616,468798,388620,0,0,0,0,173813,0
Zysk (strata) z dzialal. oper. (tys. zl),37969,55723,44839,56094,24393,28872,37761,65110,24264,24504,25694,32669,15450,18962,26713,45263,14671,5064,17723,27822,18271,6637,18250,23717,11680,10380,8777,24551,490,6423,12131,12635,12837,10477,23781,20186,-24062,5997,9743,12284,-97195,15083,5925,28973,-4269,16329,15136,16518,8578,25135,96168,12877,-176389,15142,45165,28036,-58856,-7039,-61357,13936,0,2432,-38218,56142,0,0,0,0,12828,0
Zysk (strata) brutto (tys. zl),32927,50566,39804,50544,18137,22963,32410,59817,15835,17715,18654,25937,-150,8786,17291,37486,3316,-4978,6823,16449,-7616,-4610,7390,9701,1576,1382,13040,12804,-5291,-3246,4761,5863,51790,7143,20502,17871,-53682,1506,-13677,11990,-111560,18112,3318,26159,-36357,12419,10769,4790,15221,22442,12482,23336,-61803,15931,48718,13266,-137856,24045,-232205,10954,0,-28569,-132663,12355,0,0,0,0,-1581,0
Zysk (strata) netto (tys. zl),24716,39949,30458,39941,14526,17402,24554,46927,10332,13194,12503,20274,-2262,6062,12885,29293,1484,-6027,4581,12310,-8224,-6456,4562,5697,1199,1383,7633,9456,-5440,-3969,3550,3007,48960,4865,16390,13766,-43000,2719,-18728,6983,-119661,22332,-379,19598,-34567,9909,7461,-97,14675,18677,9331,19395,-64838,13410,46166,9027,-106419,27416,-233271,8771,0,-14503,-108935,22977,0,0,0,0,-3451,0
Amortyzacja (tys. zl),12304,10941,11254,11636,11376,10298,10406,11065,10616,10302,10743,11075,9652,9867,9847,10232,10119,10329,10375,9644,9429,9606,9707,9853,8589,9258,9162,9315,6660,8610,8618,8638,5915,5071,5766,5831,5040,5322,6860,5380,2963,4906,4830,4903,2299,1951,2011,2055,9119,4771,4384,2512,16549,9156,9348,9135,20414,17988,-2905,10001,0,23856,77364,18545,0,0,0,0,2013,0
EBITDA (tys. zl),50273,66664,56093,67730,35769,39170,48167,76175,34880,34806,36437,43744,25102,28829,36560,55495,24790,15393,28098,37466,27700,16243,27957,33570,20269,19638,17939,33866,7150,15033,20749,21273,18752,15548,29547,26017,-19022,11319,16603,17664,-94232,19989,10755,33876,-1970,18280,17147,18573,17697,29906,100552,15389,-159840,24298,54513,37171,-38442,10949,-64262,23937,0,26288,39146,74687,0,0,0,0,14841,0
Aktywa (tys. zl),1375297,1371779,1413854,1420597,1315875,1303831,1335107,1361186,1247345,1257377,1291784,1309055,1295696,1264197,1257137,1256139,1368002,1353658,1291039,1289978,1382758,1382282,1410904,0,1077854,1082269,1099810,0,750967,1131199,744302,0,749032,741145,754733,0,719407,1068514,914880,0,782886,789445,0,0,654758,672290,603924,0,839160,765883,738008,0,878981,916557,878893,866000,1820218,1863279,1115645,1090859,2171699,2079288,1854064,1895436,2257218,2181375,2195484,2343566,643730,2121828
Kapital wlasny (tys. zl),418122,458574,490024,531182,300823,318744,346334,392555,244791,258142,268298,286849,182502,188791,204830,234689,175051,169756,173300,183452,176187,170445,171235,0,168820,166067,173241,0,332367,160225,356555,0,318097,322971,342140,0,86333,198174,270160,0,29357,51710,0,0,76795,82047,96178,0,124207,53294,57005,0,-246070,-227182,57636,74107,186479,238607,-30925,-29831,505637,346022,421903,375402,471213,395090,595130,604807,75726,476209
Liczba akcji (tys. szt.),"247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","247262,023","659365,395","659365,395","247262,023","247262,023","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","659365,395","420698,728","420698,728","659365,395","659365,395","287365,395","287365,395","287365,395","420698,728","287365,395","287365,395","287365,395","287365,395","287365,395","287365,395","287365,395","287365,395","34223,536","34223,536","34223,536","287365,395","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","34223,536","107762,023","34223,536"
Zysk na akcje (zl),"0,100","0,162","0,123","0,162","0,059","0,070","0,099","0,190","0,042","0,053","0,051","0,082","-0,009","0,025","0,052","0,118","0,006","-0,024","0,019","0,050","-0,012","-0,010","0,018","0,023","0,002","0,002","0,012","0,014","-0,008","-0,006","0,005","0,005","0,074","0,007","0,025","0,021","-0,102","0,006","-0,028","0,011","-0,416","0,078","-0,001","0,047","-0,120","0,034","0,026","0,000","0,051","0,065","0,032","0,067","-1,895","0,392","1,349","0,031","-3,110","0,801","-6,816","0,256","0,000","-0,424","-3,183","0,671","0,000","0,000","0,000","0,000","-0,032","0,000"
