index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005, Q 0000,I Q 2004,II Q 2004,III Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),173491,141930,218813,235534,189188,158743,152705,164949,210878,169791,181287,199926,243148,221319,226156,242295,216625,241614,213184,231318,160547,181741,200944,195944,121440,130806,166679,172719,122358,106792,108823,127465,134266,161772,196966,159961,145065,179338,130432,145713,112176,87959,137446,158442,122126,120174,111798,138034,122126,189128,158812,151903
Zysk (strata) z dzialal. oper. (tys. zl),-7823,-708,4642,-9325,-16709,1861,-206,-4193,5411,3417,2914,3866,3425,8605,7029,6263,11668,13731,9427,10179,9209,16730,19110,12317,2672,5206,14117,13395,-10009,2174,4911,8014,3186,8393,15938,11669,5563,8687,10200,6328,3713,3843,9443,12348,8336,8242,4295,7645,8336,14860,22233,12805
Zysk (strata) brutto (tys. zl),-8365,-1684,5304,-9272,-16200,1246,-388,-4164,4986,3519,2623,3540,2685,7624,6900,6506,10625,12668,7530,6950,7295,15939,17496,11674,2000,4763,11150,12856,-15179,3460,3570,6902,4490,5484,14751,9784,5659,8393,9902,4740,4853,4024,8999,13248,7687,8829,5350,8284,7687,16309,19869,11531
Zysk (strata) netto (tys. zl),-6256,-1396,2078,-10282,-11713,1716,-1311,-2830,3090,2048,2281,2535,7,4084,3934,4374,6812,8067,4257,3771,6859,11174,11506,7712,1400,3637,8546,9956,-12453,2723,2700,5374,3357,3940,11991,7696,5106,6392,8049,3886,3534,3179,7149,10359,6555,7269,4330,6917,6555,13006,15872,9305
Amortyzacja (tys. zl),2815,2812,2744,2698,2764,2701,2734,2771,2876,2811,2899,2800,2577,2645,2697,2675,2054,2103,2402,2529,1990,1854,1870,1899,1840,1781,2048,1702,1268,1281,1518,1603,997,1104,1136,1215,884,865,929,988,968,735,699,702,331,538,959,970,2013,282,293,295
EBITDA (tys. zl),-5008,2104,7386,-6627,-13945,4562,2528,-1422,8287,6228,5813,6666,6002,11250,9726,8938,13722,15834,11829,12708,11199,18584,20980,14216,4512,6987,16165,15097,-8741,3455,6429,9617,4183,9497,17074,12884,6447,9552,11129,7316,4681,4578,10142,13050,8667,8780,5254,8615,10349,15142,22526,13100
Aktywa (tys. zl),536475,543860,640987,588095,632992,609070,639445,591517,625129,640627,645523,642381,577814,651432,653278,634442,552921,609965,538773,603080,469664,514838,521057,0,372328,382628,402762,0,316736,325371,324740,0,340362,345175,370077,0,265420,308185,327559,0,201934,209359,206063,0,194764,216211,186819,0,194764,164581,172533,0
Kapital wlasny (tys. zl),256478,255082,256460,244509,266862,268578,263229,262691,277572,279621,271986,278451,264999,269083,267014,275097,253495,261562,261094,264865,220891,231942,239074,0,176066,179703,186324,0,166027,168750,169525,0,159583,163523,170784,0,143412,149804,152382,0,121868,125047,127671,0,105021,112539,111531,0,105021,77707,89168,0
Liczba akcji (tys. szt.),"17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","1750,000","17500,000","17500,000","17500,000"
Zysk na akcje (zl),"-0,357","-0,080","0,119","-0,588","-0,669","0,098","-0,075","-0,162","0,177","0,117","0,130","0,145","0,000","0,233","0,225","0,250","0,389","0,461","0,243","0,215","0,392","0,639","0,657","0,441","0,080","0,208","0,488","0,569","-0,712","0,156","0,154","0,307","0,192","0,225","0,685","0,440","0,292","0,365","0,460","0,222","0,202","0,182","0,409","0,592","0,375","0,415","0,247","0,395","3,746","0,743","0,907","0,532"
Wartosc ksiegowa na akcje (zl),"14,656","14,576","14,655","13,972","15,249","15,347","15,042","15,011","15,861","15,978","15,542","15,911","15,143","15,376","15,258","15,720","14,485","14,946","14,920","15,135","12,622","13,254","13,661","0,000","10,061","10,269","10,647","0,000","9,487","9,643","9,687","0,000","9,119","9,344","9,759","0,000","8,195","8,560","8,708","0,000","6,964","7,146","7,295","0,000","6,001","6,431","6,373","0,000","60,012","4,440","5,095","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
