index,III Q 2015,IV Q 2015,I Q 2016,II Q 2016,III Q 2014,IV Q 2014,I Q 2015,II Q 2015,III Q 2013,IV Q 2013,I Q 2014,II Q 2014,III Q 2012,IV Q 2012,I Q 2013,II Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,III Q 2008,IV Q 2008,I Q 2009,II Q 2009,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,III Q 2006,IV Q 2006,I Q 2007,II Q 2007,III Q 2005,IV Q 2005,I Q 2006,II Q 2006,III Q 2004,IV Q 2004,I Q 2005,II Q 2005,III Q 2003,IV Q 2003,I Q 2004,II Q 2004,III Q 2002,IV Q 2002,I Q 2003,II Q 2003,III Q 2001,IV Q 2001,I Q 2002,II Q 2002,II Q 2000,IV Q 2000,I Q 2001,II Q 2001,II Q 1998,IV Q 1998,II Q 1999,IV Q 1999, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),95755,139774,104518,86064,126333,144054,85662,103834,122995,148138,105809,120617,95717,165612,96691,95601,129224,218271,108135,100729,122198,178996,111987,106539,126841,164327,104188,118636,180574,334075,140376,141149,236910,371217,208782,295432,174203,420206,266302,360113,183873,362428,182493,150160,160259,233032,152762,159055,151629,195849,152064,210590,107632,156232,102170,132758,120111,193379,144998,125889,0,0,90897,120163,0,0,0,0,227582
Zysk (strata) z dzialal. oper. (tys. zl),-3919,7279,-75,1059,2528,7000,-1451,2316,1930,9792,3942,5671,-2989,9132,3671,3526,1363,5093,-3553,-2650,-8467,5317,1367,172,-4620,11342,-17454,-13692,9031,28350,-16125,-85398,-54579,54697,-24844,7047,3889,-7492,-21124,-54389,8322,9462,4665,-14413,9454,15879,8023,8262,7572,17300,7605,10721,3606,7387,1218,4992,8070,23830,5495,6988,0,0,4380,7186,0,0,0,0,18914
Zysk (strata) brutto (tys. zl),-5210,6432,-1222,472,2115,5384,-2421,1676,859,8560,2790,5006,-5083,7269,1874,2032,586,3382,-5396,-5485,-11690,2216,-944,-1054,-5978,8541,-19317,-14996,6018,25099,-17995,-87636,-57435,50465,-25118,5729,3389,-8602,-23733,-57551,5259,5626,82,-15548,6738,3434,5545,5102,4973,12315,5197,4920,3259,378,-415,1178,7351,27156,5068,5809,0,0,3658,5487,0,0,0,0,4907
Zysk (strata) netto (tys. zl),-10206,3399,-468,-1833,784,4139,373,1510,863,5943,2237,4003,-7091,7123,1085,1159,1304,6597,-6388,-6221,-12343,322,-1178,1354,-3726,6863,-17057,-13688,3728,19608,-17033,-75495,-50125,42279,-26315,8334,2359,-15615,-17411,-42874,3540,566,-935,-13404,4530,1227,3436,3908,3034,6412,3198,3355,1749,-1306,-551,-341,4359,14727,3029,5660,0,0,3384,5197,0,0,0,0,2343
Amortyzacja (tys. zl),3948,3837,4513,4256,3975,3936,3722,3538,4628,4245,4556,4286,0,4488,4370,4238,3079,3767,0,0,6276,6024,4500,4048,9080,8420,7473,7035,11645,10498,9827,7289,8197,18567,12087,11136,6483,49945,12934,11864,6200,5143,6163,5894,6355,6346,4974,5443,6717,6117,7070,6379,3914,4081,5999,6723,3372,3709,5128,4858,0,0,2944,3327,0,0,0,0,2013
EBITDA (tys. zl),29,11116,4438,5315,6503,10936,2271,5854,6558,14037,8498,9957,-2989,13620,8041,7764,4442,8860,-3553,-2650,-2191,11341,5867,4220,4460,19762,-9981,-6657,20676,38848,-6298,-78109,-46382,73264,-12757,18183,10372,42453,-8190,-42525,14522,14605,10828,-8519,15809,22225,12997,13705,14289,23417,14675,17100,7520,11468,7217,11715,11442,27539,10623,11846,0,0,7324,10513,0,0,0,0,20927
Aktywa (tys. zl),420974,454410,446614,439040,443676,513141,411937,412253,409910,434512,398846,432953,398401,452164,380947,380849,428788,438076,440070,432591,428205,479867,403766,403253,518234,522011,475366,465328,756296,773430,589816,580468,802986,862437,698625,789147,555535,979571,875678,999014,483994,634645,404125,380885,439383,479102,472940,456081,375822,446881,438684,459356,354496,381100,340683,371166,359429,395978,360944,364859,185290,266768,218614,304717,110484,192836,149632,222863,484668
Kapital wlasny (tys. zl),222368,225782,224013,222292,227552,231758,232022,232840,213552,219854,223451,226919,203210,210513,211780,213068,222739,229868,223511,217814,224920,217569,224112,225941,275617,268131,250802,237422,355013,372988,354935,281321,300236,343505,347407,348931,319595,304717,289749,349743,213323,215983,215711,199300,197059,198162,202716,208773,171277,176948,183715,191697,169294,168229,167664,166841,132327,140530,156506,166902,97448,115490,122544,127930,66388,71548,73362,89276,198618
Liczba akcji (tys. szt.),"11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11886,242","11885,742","11886,242","11886,242","11886,242","10776,704","10776,704","11885,742","11885,742","7970,832","7974,757","7974,757","10776,794","6864,650","6894,165","6914,290","6914,290","6841,300","6864,650","6864,650","6864,650","6758,913","6774,990","6786,640","6786,640","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6734,613","6864,650"
Zysk na akcje (zl),"-0,859","0,286","-0,039","-0,154","0,066","0,348","0,031","0,127","0,073","0,500","0,188","0,337","-0,597","0,599","0,091","0,098","0,110","0,555","-0,537","-0,523","-1,038","0,027","-0,099","0,114","-0,313","0,577","-1,435","-1,152","0,314","1,650","-1,433","-6,351","-4,651","3,923","-2,214","0,701","0,296","-1,958","-2,183","-3,978","0,516","0,082","-0,135","-1,939","0,662","0,179","0,501","0,569","0,449","0,946","0,471","0,494","0,260","-0,194","-0,082","-0,051","0,647","2,187","0,450","0,840","0,000","0,000","0,502","0,772","0,000","0,000","0,000","0,000","0,341"
Wartosc ksiegowa na akcje (zl),"18,708","18,995","18,846","18,702","19,144","19,498","19,520","19,589","17,966","18,497","18,799","19,091","17,096","17,711","17,817","17,926","18,739","19,339","18,804","18,325","18,923","18,304","18,855","19,009","23,188","22,558","21,100","19,975","29,869","31,380","29,861","23,668","27,860","31,875","29,229","29,357","40,096","38,210","36,333","32,453","31,076","31,328","31,198","28,824","28,804","28,867","29,530","30,413","25,341","26,118","27,070","28,246","25,138","24,980","24,896","24,774","19,649","20,867","23,239","24,783","14,470","17,149","18,196","18,996","9,858","10,624","10,893","13,256","28,933"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
