index,II Q 2003,III Q 2003,IV Q 2003,I Q 2004,II Q 2002,III Q 2002,IV Q 2002,I Q 2003, Q 0000,IV Q 2000,IV Q 2001,I Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),20533,13590,16865,12225,22679,25681,37367,27043,37367,16902,24450,27324
Zysk (strata) z dzialal. oper. (tys. zl),687,-176,1300,-47,2360,3011,4084,3533,4084,1103,1648,2600
Zysk (strata) brutto (tys. zl),912,-111,1327,-158,2118,2344,3849,3458,3849,1773,2049,2418
Zysk (strata) netto (tys. zl),571,-135,988,-200,1480,1620,2668,2420,2668,1261,1482,1688
Amortyzacja (tys. zl),993,914,907,930,1170,1012,944,942,2013,223,786,1150
EBITDA (tys. zl),1680,738,2207,883,3530,4023,5028,4475,6097,1326,2434,3750
Aktywa (tys. zl),50365,48835,51375,45888,50843,60800,56977,55136,56977,42990,49490,50701
Kapital wlasny (tys. zl),39509,39374,40359,40159,34630,36250,38918,41338,38918,31133,32062,33750
Liczba akcji (tys. szt.),"3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092","3000,092"
Zysk na akcje (zl),"0,190","-0,045","0,329","-0,067","0,493","0,540","0,889","0,807","0,889","0,420","0,494","0,563"
Wartosc ksiegowa na akcje (zl),"13,169","13,124","13,453","13,386","11,543","12,083","12,972","13,779","12,972","10,377","10,687","11,250"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N
