index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,IV Q 2012,II Q 2013,IV Q 2013,II Q 2014,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. SKK),0,0,0,0,9307,0,0,0,7400,12233,12150,8025,0,10412,9572,7767
Zysk (strata) z dzialal. oper. (tys. SKK),0,0,0,0,1185,0,0,0,-357,1423,2833,608,0,617,1361,-22
Zysk (strata) brutto (tys. SKK),0,0,0,0,5140,0,0,0,5320,2730,3471,954,0,2968,3302,1741
Zysk (strata) netto (tys. SKK),0,0,0,0,3047,0,0,0,986,2689,3483,967,0,2984,3296,1758
Amortyzacja (tys. SKK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. SKK),0,0,0,0,1185,0,0,0,-357,1423,2833,608,0,617,1361,-22
Aktywa (tys. SKK),359619,361171,360921,354914,319912,327559,345504,356603,315125,318479,317151,312348,300547,306364,304776,301429
Kapital wlasny (tys. SKK),102065,105841,101016,106271,276416,276408,101477,104248,272686,275375,272408,273364,269009,272000,269792,271549
Liczba akcji (tys. szt.),"6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198","6707,198"
Zysk na akcje (SKK),"0,000","0,000","0,000","0,000","0,454","0,000","0,000","0,000","0,147","0,401","0,519","0,144","0,000","0,445","0,491","0,262"
Wartosc ksiegowa na akcje (SKK),"15,217","15,780","15,061","15,844","41,212","41,211","15,130","15,543","40,656","41,057","40,614","40,757","40,108","40,553","40,224","40,486"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
