index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),432553,140216,338613,408734,562727,230511,334261,331855,495517,176029,403047,459871,359903,149288,285577,343840,748745,201204,381556,404013,217691,78112,590184,726545,186847,50296,100123,123053,5413,102906,228185,193686,9264,114780,214300,217727,166854,59288,150442,211490,0,0
Zysk (strata) z dzialal. oper. (tys. zl),27835,1512,23672,34043,33993,3133,20447,25311,6345,-942,21262,31531,-14405,-15669,28907,19128,76594,-6333,43137,5869,20111,-946,22889,13449,18848,4495,15688,3815,6414,-1964,29909,29859,7993,7140,20278,19617,7173,-518,12701,9388,0,0
Zysk (strata) brutto (tys. zl),26505,782,21736,33120,30249,2434,19695,24050,1922,-4988,16695,26858,-21466,-21435,24999,15768,48063,-8256,27969,2382,14524,-168,12939,-4805,21110,5557,16230,4669,17914,2633,35343,28706,10035,7095,21577,21390,8190,434,17137,9171,0,0
Zysk (strata) netto (tys. zl),12980,417,17736,28082,16747,1483,15949,19791,14983,-4537,13561,23766,-31245,-21085,21330,14680,91845,-7828,28264,-1119,13046,-416,9926,-6118,18580,3603,12847,3090,13543,1967,28207,22547,8069,5733,17885,17497,6025,-352,13909,6825,0,0
Amortyzacja (tys. zl),3542,5532,5889,5936,5842,6096,6134,6494,5862,5895,5901,6036,6668,5624,5690,5510,16586,6089,7432,6988,2779,2874,14029,14499,2721,2543,2699,2662,2094,2247,2542,2611,1769,2006,1817,1981,1356,1371,1366,1547,0,0
EBITDA (tys. zl),31377,7044,29561,39979,39835,9229,26581,31805,12207,4953,27163,37567,-7737,-10045,34597,24638,93180,-244,50569,12857,22890,1928,36918,27948,21569,7038,18387,6477,8508,283,32451,32470,9762,9146,22095,21598,8529,853,14067,10935,0,0
Aktywa (tys. zl),1327421,1201839,1334929,1423474,1445816,1241620,1326438,1390432,1497917,1359025,1626175,1684664,1327202,1250858,1516345,1644827,1919956,1621262,1381141,0,754365,662501,2031142,0,602144,529782,565763,0,754185,644757,674704,0,496447,431029,648168,0,377275,0,410761,0,237304,255727
Kapital wlasny (tys. zl),722341,722253,733635,754041,671910,661859,684676,706693,621112,628012,638860,652341,491851,577855,607308,622590,525842,510041,530681,0,404051,403494,667871,0,369415,375378,388207,0,311607,313885,326103,0,145455,151188,281905,0,120314,0,130551,0,78864,107028
Liczba akcji (tys. szt.),"51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","51399,548","29013,185","51399,548","51399,548","51399,548","29013,185","29013,185","29013,185","29013,185","20013,185","20013,185","29013,185","29013,185","20013,185","20013,185","20013,185","20013,185","20013,185","20013,185","20013,185","20013,185","16263,185","16263,185","20013,185","20013,185","16263,185","16263,185","16263,185","16263,185","16263,185","16263,185"
Zysk na akcje (zl),"0,253","0,008","0,345","0,546","0,326","0,029","0,310","0,385","0,292","-0,088","0,264","0,462","-1,077","-0,410","0,415","0,286","3,166","-0,270","0,974","-0,039","0,652","-0,021","0,342","-0,211","0,928","0,180","0,642","0,154","0,677","0,098","1,409","1,127","0,496","0,353","0,894","0,874","0,370","-0,022","0,855","0,420","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"14,053","14,052","14,273","14,670","13,072","12,877","13,321","13,749","12,084","12,218","12,429","12,692","16,953","11,242","11,815","12,113","18,124","17,580","18,291","0,000","20,189","20,161","23,020","0,000","18,459","18,757","19,398","0,000","15,570","15,684","16,294","0,000","8,944","9,296","14,086","0,000","7,398","0,000","8,027","0,000","4,849","6,581"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
