index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),46696,39511,46486,47799,48740,43025,47204,45485,52327,48174,48526,47052,65811,46239,52794,58111,85818,62962,65354,65265,60037,48971,72918,86783,49710,40267,55237,59809,53494,40312,43562,41861,61798,65174,60838,61999,50718,49138,55286,56345,28436,24670,36704,42164,21304,22493,24140,23649,16576,16705,19915,23519,15757,12151,14305,19914,17914,14108,18721,22797,0,17093,21099,21311,0,0,0,0,21594,0
Zysk (strata) z dzialal. oper. (tys. zl),5943,1259,3854,5358,3981,1211,471,1398,567,-6148,-2021,9,7215,-3344,2561,4124,23657,7940,9502,7947,13056,3939,18369,26543,4056,-2003,5986,10289,4430,-852,623,132,14811,16474,9934,10109,14325,15938,17084,18761,7743,5598,9592,15859,2451,4530,6223,7014,-5463,1188,3058,5354,2296,-1956,-1790,2634,589,-385,-994,1644,0,-309,674,1364,0,0,0,0,710,0
Zysk (strata) brutto (tys. zl),5351,848,4787,5130,3368,-175,642,1472,-58,-6827,-3001,107,5950,-4588,1858,3337,20755,5765,7442,6480,9196,787,15322,24075,914,-4738,1877,7125,968,-3631,-2036,-1826,13986,14635,7523,7340,13108,14412,15964,17770,6994,4934,8509,14512,2931,3753,5041,6503,-7156,981,3651,5442,-1295,-6170,-3052,1109,-163,-1262,-6670,795,0,-653,433,-1817,0,0,0,0,1867,0
Zysk (strata) netto (tys. zl),3873,431,3599,4287,2560,-367,529,1472,40,-6068,-2255,173,4829,-3744,1236,2561,16369,4543,5911,5144,7240,711,12645,19624,896,-3996,1421,5566,1371,-3205,-1982,-1193,11791,11969,6184,6330,10591,11581,12845,14664,5771,3788,6844,11706,2574,3266,4040,5104,-6826,918,3170,4391,-1331,-6283,-3498,1002,-1093,-1373,-5116,824,0,-877,460,-1108,0,0,0,0,1496,0
Amortyzacja (tys. zl),11887,11280,12222,12960,14628,14985,13825,12273,18470,17737,19290,16548,20599,20378,20717,19117,22069,21557,22084,21135,19445,19505,20207,21279,18346,18839,19261,19326,16676,16450,16530,16776,12280,13790,15522,16437,7815,9008,9735,10827,5184,5999,7072,8164,3890,4679,4645,4964,3528,3660,3907,4049,4109,3682,3656,3555,87,4297,4094,3695,0,5463,3704,5350,0,0,0,0,3748,0
EBITDA (tys. zl),17830,12539,16076,18318,18609,16196,14296,13671,19037,11589,17269,16557,27814,17034,23278,23241,45726,29497,31586,29082,32501,23444,38576,47822,22402,16836,25247,29615,21106,15598,17153,16908,27091,30264,25456,26546,22140,24946,26819,29588,12927,11597,16664,24023,6341,9209,10868,11978,-1935,4848,6965,9403,6405,1726,1866,6189,676,3912,3100,5339,0,5154,4378,6714,0,0,0,0,4458,0
Aktywa (tys. zl),328893,337252,334379,334482,332140,328579,327057,327697,385254,361885,359869,345247,454534,429588,424931,400164,507741,486741,479812,466844,511769,489944,519952,0,544581,533339,532353,0,492726,501084,496840,0,397889,460049,482592,0,243319,270725,355942,0,153866,170984,210740,0,116161,118113,126538,0,99832,97549,100092,0,120120,116973,115690,112597,130401,130452,124630,123849,117416,114992,130764,129979,79042,103251,121193,144063,114607,70516
Kapital wlasny (tys. zl),289163,288864,293645,297106,288154,285671,287126,286609,299128,288430,286096,286389,310156,306958,297955,299535,304630,308477,301140,305673,268154,268495,272666,0,256802,253370,256541,0,263910,261782,259238,0,241297,253186,259635,0,100768,112354,215053,0,68107,71881,78694,0,49753,53078,57265,0,37765,38783,43061,0,51908,45619,42138,43161,58898,57526,52410,53233,64169,63292,61101,59990,29150,45761,51128,48209,46755,24420
Liczba akcji (tys. szt.),"5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","5255,632","4890,632","4890,632","5255,632","5255,632","4890,632","4890,632","4890,632","4890,632","4890,632","4890,632","4890,632","4890,632","4425,632","4890,632","4890,632","4890,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4425,632","4890,632","4425,632"
Zysk na akcje (zl),"0,737","0,082","0,685","0,816","0,487","-0,070","0,101","0,280","0,008","-1,155","-0,429","0,033","0,919","-0,712","0,235","0,487","3,115","0,864","1,125","0,979","1,378","0,135","2,406","3,734","0,170","-0,760","0,270","1,059","0,261","-0,610","-0,377","-0,227","2,243","2,277","1,177","1,204","2,166","2,368","2,444","2,790","1,180","0,775","1,399","2,394","0,526","0,668","0,826","1,044","-1,542","0,188","0,648","0,898","-0,301","-1,420","-0,790","0,226","-0,247","-0,310","-1,156","0,186","0,000","-0,198","0,104","-0,250","0,000","0,000","0,000","0,000","0,306","0,000"
