index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),4464,4689,7022,6183,4574,5565,8144,7423,0,5067,6087,4752,0
Zysk (strata) z dzialal. oper. (tys. zl),679,973,2859,2875,1307,1732,3659,3546,0,1739,2396,1964,0
Zysk (strata) brutto (tys. zl),750,1002,3007,2756,1358,1292,3805,3677,0,1747,2270,1957,0
Zysk (strata) netto (tys. zl),734,964,2995,2744,1351,1267,3813,3653,0,1736,2254,1950,0
Amortyzacja (tys. zl),512,495,663,738,422,440,463,501,0,343,340,403,0
EBITDA (tys. zl),1191,1468,3522,3613,1729,2172,4122,4047,0,2082,2736,2367,0
Aktywa (tys. zl),38931,40536,37814,41869,33226,36125,35299,38414,28845,30952,26207,27274,27296
Kapital wlasny (tys. zl),30324,31287,29549,32292,24955,26213,25936,29589,19577,21313,16634,18583,16346
Liczba akcji (tys. szt.),"729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000","729,000"
Zysk na akcje (zl),"1,007","1,322","4,109","3,764","1,853","1,738","5,230","5,011","0,000","2,381","3,092","2,675","0,000"
Wartosc ksiegowa na akcje (zl),"41,597","42,918","40,533","44,297","34,232","35,957","35,577","40,588","26,855","29,236","22,818","25,491","22,422"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N
