index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),142397,175201,376576,315797,119727,138401,180779,168746,150530,147390,158781,158309,133896,109336,163600,164635,149429,154658,160520,156164,87003,91663,119147,135806,37619,38838,63411,72541,51780,38405,39132
Zysk (strata) z dzialal. oper. (tys. zl),2467,14253,31217,21183,1636,3574,24224,11424,7334,6795,7564,10500,4144,3125,11686,13206,5139,6416,11163,7318,-2517,916,3551,9115,-11548,-2700,-2781,2569,4842,4131,-3959
Zysk (strata) brutto (tys. zl),-244,12615,32280,19076,-9456,3979,21194,9347,5474,1914,6913,7947,3136,2058,7270,10615,6609,9478,8039,6989,-2211,-982,2558,3448,-11652,647,-6367,2114,-12828,-3732,-30
Zysk (strata) netto (tys. zl),20437,9986,22020,12657,6246,2852,20329,7245,5161,2588,7785,7859,3081,2050,7958,10646,6282,7015,7222,5567,-2500,-1405,2200,3291,-9881,447,-7294,543,-10434,-3124,-867
Amortyzacja (tys. zl),4140,4443,6276,6083,3634,3803,4034,4100,3627,3632,3636,3606,3782,3564,3835,3774,0,3043,3295,3441,2957,2674,2809,3012,2337,2738,2759,2889,1672,1787,1885
EBITDA (tys. zl),6607,18696,37493,27266,5270,7377,28258,15524,10961,10427,11200,14106,7926,6689,15521,16980,5139,9459,14458,10759,440,3590,6360,12127,-9211,38,-22,5458,6514,5918,-2074
Aktywa (tys. zl),489333,558519,815751,758199,394310,426054,493859,482737,375327,402224,433321,402758,378682,389616,427662,414993,381451,409847,432438,398956,319142,345672,374247,0,286454,278125,301400,0,321317,0,0
Kapital wlasny (tys. zl),216658,227030,238433,249782,193862,184917,174893,182968,174556,177037,168134,174986,162857,165206,158031,169137,152413,159527,154299,159870,142261,140914,142707,0,151219,151659,144099,0,175379,0,0
Liczba akcji (tys. szt.),"60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000","60375,000"
Zysk na akcje (zl),"0,339","0,165","0,365","0,210","0,103","0,047","0,337","0,120","0,085","0,043","0,129","0,130","0,051","0,034","0,132","0,176","0,104","0,116","0,120","0,092","-0,041","-0,023","0,036","0,055","-0,164","0,007","-0,121","0,009","-0,173","-0,052","-0,014"
Wartosc ksiegowa na akcje (zl),"3,589","3,760","3,949","4,137","3,211","3,063","2,897","3,031","2,891","2,932","2,785","2,898","2,697","2,736","2,617","2,801","2,524","2,642","2,556","2,648","2,356","2,334","2,364","0,000","2,505","2,512","2,387","0,000","2,905","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
