index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,II Q 2014,III Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),7252,7149,5134,5226,14830,5893,6341,3683,976,1001
Zysk (strata) z dzialal. oper. (tys. zl),2652,5556,1778,2234,13194,4831,4701,1578,-464,-43
Zysk (strata) brutto (tys. zl),3119,5587,2251,1699,13252,5085,4790,1686,-463,-15
Zysk (strata) netto (tys. zl),2011,4589,1535,1335,10914,4212,3790,1554,-463,-23
Amortyzacja (tys. zl),479,710,778,446,570,691,215,734,129,184
EBITDA (tys. zl),3131,6266,2556,2680,13764,5522,4916,2312,-335,141
Aktywa (tys. zl),32818,36745,37499,38821,21606,27689,27967,28612,7770,7764
Kapital wlasny (tys. zl),28676,33264,34937,36360,17022,21512,24644,26575,6929,6740
Liczba akcji (tys. szt.),"2217,199","2217,199","2217,199","2217,199","2217,199","2217,199","2217,199","2217,199","2217,199","2217,199"
Zysk na akcje (zl),"0,907","2,070","0,692","0,602","4,922","1,900","1,709","0,701","-0,209","-0,010"
Wartosc ksiegowa na akcje (zl),"12,934","15,003","15,757","16,399","7,677","9,702","11,115","11,986","3,125","3,040"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N
