index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,III Q 2009,IV Q 2009,I Q 2010,III Q 2010,IV Q 2007,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),10411,8589,9393,8155,4049,4225,5343,4814,8349,7039,6863,3682,10622,8082,8215,6927,7963,6161,9304,6037,5660,4475,7139,4331,2873,4455,3418,3434,0,0
Zysk (strata) z dzialal. oper. (tys. zl),2028,493,543,-681,-10653,645,632,-52,3214,1943,1708,-1193,3633,1874,2249,1217,3118,1750,3290,1101,1942,1314,3268,842,761,1180,1538,1238,0,0
Zysk (strata) brutto (tys. zl),2014,498,518,-710,-10553,704,744,19,3296,2011,1820,-1105,3746,1988,2285,1202,3462,1919,3485,1187,1968,1612,3611,1298,862,1104,1537,1188,0,0
Zysk (strata) netto (tys. zl),1626,398,418,-562,-8563,553,598,8,2659,1626,1466,-926,3035,1604,1830,984,2778,1556,2811,947,1617,1303,2897,1054,657,1015,1153,962,0,0
Amortyzacja (tys. zl),967,974,963,910,864,470,521,566,942,985,803,944,671,735,832,877,430,468,546,600,321,316,376,424,0,291,272,314,0,0
EBITDA (tys. zl),2995,1467,1506,229,-9789,1115,1153,514,4156,2928,2511,-249,4304,2609,3081,2094,3548,2218,3836,1701,2263,1630,3644,1266,761,1471,1810,1552,0,0
Aktywa (tys. zl),41410,42499,43461,42010,35924,33852,33483,33835,40738,42892,44152,43466,40777,42949,35494,36246,41086,42053,38336,0,38045,39731,39245,0,0,19256,0,0,17268,18608
Kapital wlasny (tys. zl),28429,28556,28974,28655,27293,27846,28444,28452,33690,35316,36782,35856,36649,38253,30047,31031,35974,37431,32936,0,32972,34274,32443,0,0,12782,0,0,13404,14963
Liczba akcji (tys. szt.),"4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","4063,500","3263,500","3263,500","3263,500","3263,500","3263,500","3263,500"
Zysk na akcje (zl),"0,400","0,098","0,103","-0,138","-2,107","0,136","0,147","0,002","0,654","0,400","0,361","-0,228","0,747","0,395","0,450","0,242","0,684","0,383","0,692","0,233","0,398","0,321","0,713","0,259","0,201","0,311","0,353","0,295","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"6,996","7,027","7,130","7,052","6,717","6,853","7,000","7,002","8,291","8,691","9,052","8,824","9,019","9,414","7,394","7,637","8,853","9,212","8,105","0,000","8,114","8,435","7,984","0,000","0,000","3,917","0,000","0,000","4,107","4,585"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
