index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),1490358,1036387,1187507,1091343,1638529,1346474,998492,1020940,1425009,1169365,1390575,1374961,1299526,1089239,1096025,1212195,1173396,759952,741591,892003,965240,716289,568494,678549,748017,537383,550812,676835,0,514716
Zysk (strata) z dzialal. oper. (tys. zl),20659,11454,5868,6308,18967,17715,20022,8118,27586,12203,21908,7470,27267,16311,14355,18906,35585,12278,7310,8699,21900,12968,5937,10363,22545,8928,7982,14217,0,4563
Zysk (strata) brutto (tys. zl),18718,9562,3908,4165,15758,15820,18091,6543,24402,9348,19095,4386,24625,13576,13443,16601,30053,9061,4195,6292,23225,17535,3305,8371,16027,6062,6712,12573,0,2314
Zysk (strata) netto (tys. zl),15038,7298,2949,2855,13321,12917,13925,4958,19707,6814,11162,1985,19508,10962,14319,14197,45761,6366,176,5024,18740,13706,3197,6004,11556,5040,5844,9735,0,1767
Amortyzacja (tys. zl),613,601,610,581,553,651,616,631,757,526,548,547,836,546,524,584,1022,758,834,841,1114,1095,1164,1253,815,856,841,855,0,850
EBITDA (tys. zl),21272,12055,6478,6889,19520,18366,20638,8749,28343,12729,22456,8017,28103,16857,14879,19490,36607,13036,8144,9540,23014,14063,7101,11616,23360,9784,8823,15072,0,5413
Aktywa (tys. zl),1068337,978053,1045570,1152326,948364,956742,911700,957288,916521,914539,943169,1001048,896407,825945,766845,843495,981872,823550,696509,743853,909333,756483,686648,0,583973,505538,579927,0,651724,0
Kapital wlasny (tys. zl),301224,311851,261743,267849,298589,310613,277796,284235,315712,322193,287543,289856,288258,295713,278428,297541,281114,282432,260491,267557,202828,219076,224488,0,126171,131324,188930,0,52309,0
Liczba akcji (tys. szt.),"125266,899","125266,899","125266,899","125266,899","125266,899","125266,899","125266,899","125266,899","125251,703","125259,301","125266,899","125266,899","125222,164","125222,164","125222,164","125222,164","121849,439","124728,308","124728,308","124728,308","121757,404","121757,404","121757,404","121757,404","99472,000","99472,000","121472,000","121472,000","99472,000","99472,000"
Zysk na akcje (zl),"0,120","0,058","0,024","0,023","0,106","0,103","0,111","0,040","0,157","0,054","0,089","0,016","0,156","0,088","0,114","0,113","0,376","0,051","0,001","0,040","0,154","0,113","0,026","0,049","0,116","0,051","0,048","0,080","0,000","0,018"
Wartosc ksiegowa na akcje (zl),"2,405","2,489","2,089","2,138","2,384","2,480","2,218","2,269","2,521","2,572","2,295","2,314","2,302","2,362","2,223","2,376","2,307","2,264","2,088","2,145","1,666","1,799","1,844","0,000","1,268","1,320","1,555","0,000","0,526","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
