index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),2412,1688,608,422,0,0,952,573,0,0,0,36
Zysk (strata) z dzialal. oper. (tys. zl),-4849,-3424,-4953,-4432,-3402,-2679,-3213,-2926,-2946,-3166,-2095,9919
Zysk (strata) brutto (tys. zl),-6918,-3873,-5944,-4946,-4407,-6404,-3618,-3161,-3972,-3579,-2563,9230
Zysk (strata) netto (tys. zl),-5657,-3189,-5018,-4311,-3204,-6117,-3054,-3476,-3555,-3444,-2101,10751
Amortyzacja (tys. zl),190,213,262,201,389,6,34,43,3,0,0,-7
EBITDA (tys. zl),-4659,-3211,-4691,-4231,-3013,-2673,-3179,-2883,-2943,-3166,-2095,9912
Aktywa (tys. zl),86122,79940,86288,100755,53918,60703,70364,67307,16545,0,0,0
Kapital wlasny (tys. zl),47634,49455,50578,62294,18687,21781,36368,33152,466,0,0,0
Liczba akcji (tys. szt.),"9070,180","9434,346","9434,346","9434,346","8070,180","8070,180","8070,180","8070,180","8070,180","8070,180","8070,180","8070,180"
Zysk na akcje (zl),"-0,624","-0,338","-0,532","-0,457","-0,397","-0,758","-0,378","-0,431","-0,441","-0,427","-0,260","1,332"
Wartosc ksiegowa na akcje (zl),"5,252","5,242","5,361","6,603","2,316","2,699","4,506","4,108","0,058","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N
