index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2009,IV Q 2010
Przychody z tytulu odsetek (tys. zl),632338,663242,693748,723921,765680,556125,596336,614421,415032,399011,436619,462008,375946,376470,369657,357007,275176,270206,312091,370513,0,0
Przychody z tytulu prowizji (tys. zl),140360,137970,137134,135490,134725,135582,124811,144977,140650,125281,138637,134965,141656,104150,114839,116291,165459,149039,151463,82897,0,0
Wynik na dzialalnoÅci bankowej (tys. zl),559301,568682,603340,645079,492798,506327,514699,534030,437101,410410,455243,482101,340614,327631,384029,363663,313329,297144,330228,332184,0,0
Zysk (strata) brutto (tys. zl),50909,106261,110803,117587,125988,117226,102973,114900,72536,85110,102442,87587,-78660,57158,104422,53572,83391,67087,82923,74563,0,0
Zysk (strata) netto (tys. zl),39626,80227,81661,86939,101038,91224,87811,90987,58003,68402,83233,70071,-87550,44595,83847,41457,71336,53729,79444,60528,0,0
Amortyzacja (tys. zl),-18478,24342,23161,23166,18330,66507,21697,16637,19331,18856,20420,17850,19101,17836,19093,18897,14024,15071,20325,18058,0,0
Aktywa (tys. zl),40003010,42025695,47041752,46581539,30167568,34886136,36466760,37304260,25549871,26517620,27124461,29156450,21181094,20875108,22822205,23268492,15483622,15007801,16507729,17556062,6260306,9311914
Kapital wlasny (tys. zl),3512859,3600477,5800370,5876623,3013163,3306922,3343661,3468875,2184732,2715331,2820193,2916463,1970970,2009951,2063501,2117516,1112481,1182913,1363958,1194703,1077006,975545
Liczba akcji (tys. szt.),"72707,463","72707,463","129257,712","129257,712","69978,366","72333,864","72681,196","72681,196","51250,000","69941,261","69941,261","69961,361","51250,000","51250,000","51250,000","51250,000","51250,000","51250,000","51250,000","51250,000","51250,000","51250,000"
Wartosc ksiegowa na akcje (zl),"48,315","49,520","44,874","45,464","43,058","45,717","46,004","47,727","42,629","38,823","40,322","41,687","38,458","39,219","40,263","41,317","21,707","23,081","26,614","23,311","21,015","19,035"
Zysk na akcje (zl),"0,545","1,103","0,632","0,673","1,444","1,261","1,208","1,252","1,132","0,978","1,190","1,002","-1,708","0,870","1,636","0,809","1,392","1,048","1,550","1,181","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
