index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005, Q 0000,I Q 2004,II Q 2004,III Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),168711,74626,93995,97119,165124,64649,80355,86808,167802,63011,80555,86785,188721,65808,90017,81830,187201,71247,86407,80006,185390,60206,82205,84262,181048,63547,74982,81931,193644,70173,80031,79331,220808,67433,74607,84923,194508,62531,89736,77112,149585,53639,76316,61379,142206,40801,59634,61057,142206,103012,65130,60904
Zysk (strata) z dzialal. oper. (tys. zl),31739,-3964,1748,5499,37330,-7790,-1636,4462,28643,-2833,-2681,6280,31881,-3092,-2158,7058,30666,-3210,-1012,5337,37493,-4138,-1654,4525,36598,799,-3483,6581,29453,-4580,-6212,5743,63851,-2225,2303,2325,58906,1491,18881,6967,48598,1504,2071,6358,41507,2375,12614,11385,26310,884,3459,3957
Zysk (strata) brutto (tys. zl),31176,-4513,871,5600,36599,-8939,-1302,3819,26866,-4493,-3694,5359,26618,-5220,-2803,5780,28754,-6169,-2305,3769,35030,-4420,-3934,4516,32539,-2421,-5338,4633,33352,-9505,-11180,2099,55421,-7189,193,-843,57094,1639,19895,2323,46438,1849,5153,4421,39505,1646,11844,10364,24308,-2314,3042,2014
Zysk (strata) netto (tys. zl),22350,-4449,-395,2578,24348,-6398,-1367,363,20282,-3396,5775,2434,20743,-3244,-2591,3386,20666,-4788,-2587,1623,23943,-4403,-3589,2741,23084,-3170,-5342,3192,24469,-7974,-9569,316,21766,-12608,-11329,-1832,23268,-5308,3633,-6641,18921,-3266,3830,-3172,16275,-2440,1689,1397,16275,-1597,1118,690
Amortyzacja (tys. zl),2970,2760,2807,2803,3075,2947,3158,2734,2645,2676,2649,2701,2611,2347,2863,2692,2686,2602,2779,2554,2417,2413,3029,2504,2654,2525,3163,2418,3051,3033,2857,2747,2910,3075,3035,2984,2942,3201,2919,2856,3081,3117,3419,3505,2193,2359,2640,2362,2578,3186,2467,2302
EBITDA (tys. zl),34709,-1204,4555,8302,40405,-4843,1522,7196,31288,-157,-32,8981,34492,-745,705,9750,33352,-608,1767,7891,39910,-1725,1375,7029,39252,3324,-320,8999,32504,-1547,-3355,8490,66761,850,5338,5309,61848,4692,21800,9823,51679,4621,5490,9863,43700,4734,15254,13747,28888,4070,5926,6259
Aktywa (tys. zl),509258,396824,411759,422616,524361,389135,395320,407006,536519,412987,418969,436143,559274,409610,419597,437042,571303,0,0,463570,528800,0,398725,431167,542338,0,407012,438474,597961,0,433876,451796,626018,0,460881,464134,552997,0,471057,500871,483574,0,0,416263,348430,0,261391,330214,348430,247248,213158,234257
Kapital wlasny (tys. zl),243375,239374,240295,242148,241245,233392,232616,233862,222486,219502,225784,228017,215837,213701,212385,214558,215538,0,0,207227,205538,0,199249,204055,195268,0,186509,189412,192396,0,176258,175574,189773,0,166497,164513,181794,0,183207,176008,165431,0,0,163729,91362,0,92142,150293,91362,62041,72340,76383
Liczba akcji (tys. szt.),"25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","25206,644","18906,644","18906,644","18906,644","25206,644","18906,644","18906,644","18906,644","18906,644"
Zysk na akcje (zl),"0,887","-0,177","-0,016","0,102","0,966","-0,254","-0,054","0,014","0,805","-0,135","0,229","0,097","0,823","-0,129","-0,103","0,134","0,820","-0,190","-0,103","0,064","0,950","-0,175","-0,142","0,109","0,916","-0,126","-0,212","0,127","0,971","-0,316","-0,380","0,013","0,864","-0,500","-0,449","-0,073","0,923","-0,211","0,144","-0,263","0,751","-0,130","0,152","-0,126","0,861","-0,129","0,089","0,055","0,861","-0,084","0,059","0,036"
Wartosc ksiegowa na akcje (zl),"9,655","9,496","9,533","9,607","9,571","9,259","9,228","9,278","8,826","8,708","8,957","9,046","8,563","8,478","8,426","8,512","8,551","0,000","0,000","8,221","8,154","0,000","7,905","8,095","7,747","0,000","7,399","7,514","7,633","0,000","6,993","6,965","7,529","0,000","6,605","6,527","7,212","0,000","7,268","6,983","6,563","0,000","0,000","6,495","4,832","0,000","4,874","5,962","4,832","3,281","3,826","4,040"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
