index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002, Q 0000,III Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),625159,573487,581510,649903,614579,475345,451068,538920,499356,427584,449882,535450,447919,346698,364330,445637,437558,360509,329539,427006,397867,311196,307519,404289,371009,305077,278689,377961,309277,264195,294552,387060,372915,292313,287342,350335,382404,293201,287657,362979,322142,263326,232945,337836,373680,262179,248379,291269,310830,268035,291829,309570,271347,191373,215526,293996,257077,225646,215734,279438,373680,233788
Zysk (strata) z dzialal. oper. (tys. zl),42400,40212,30096,45612,36284,34324,26284,43869,39509,25537,31437,36555,25987,18741,11574,26446,22497,11606,8738,28003,11666,5217,5699,19810,16602,3990,-1290,19549,3134,1433,1136,22704,10784,7411,1798,20516,-2988,2861,1462,11842,-510,6299,2903,8889,18882,12358,-1197,9446,11214,14162,8425,19080,4492,-3277,-7352,14643,8235,12729,5610,18500,18882,21215
Zysk (strata) brutto (tys. zl),36572,34878,25954,41822,29735,27115,22341,35836,33257,15801,26977,28034,22257,17053,7989,22746,19167,16151,1398,22695,10524,3653,-2933,24345,9591,-3267,1515,12932,-9669,-5211,-8182,13989,7097,1965,-3950,13914,-6829,-1240,-3874,7099,-6730,2605,151,5145,6871,3018,-4929,4467,5963,7119,3154,27970,-5613,-14842,-11310,11428,4649,2888,-6072,8772,6871,583
Zysk (strata) netto (tys. zl),24434,28735,21269,34703,22611,21839,17549,31658,29656,13091,22092,22009,16240,12932,5353,41425,60502,12270,277,17583,8071,2530,-2627,20554,5965,238,1195,0,-10782,-5338,-8709,12982,4994,561,-1850,13014,-6631,-1913,-4292,4681,-6278,768,458,4158,4641,-362,-2673,3523,7340,4754,761,23080,-3479,-13168,-9681,10726,7375,2628,-2249,5851,4641,3331
Amortyzacja (tys. zl),9500,10972,11016,12002,10597,8873,9114,9525,7397,8446,7734,8568,6920,6531,7787,7179,5950,5893,6022,6075,5075,5161,5020,5212,10159,9522,4719,4503,13324,10340,10200,10325,9054,10360,10762,8543,10496,9927,9864,10189,9157,9419,9672,10128,12361,8837,9069,9040,13271,9373,13569,15458,15635,12347,13229,12532,16058,15148,15112,15308,2578,16392
EBITDA (tys. zl),51900,51184,41112,57614,46881,43197,35398,53394,46906,33983,39171,45123,32907,25272,19361,33625,28447,17499,14760,34078,16741,10378,10719,25022,26761,13512,3429,24052,16458,11773,11336,33029,19838,17771,12560,29059,7508,12788,11326,22031,8647,15718,12575,19017,31243,21195,7872,18486,24485,23535,21994,34538,20127,9070,5877,27175,24293,27877,20722,33808,21460,37607
Aktywa (tys. zl),1416160,1410918,1498497,1532327,1093863,1149504,1189279,1192230,933112,1000056,1086775,1138962,838837,833939,907231,1002727,796893,818498,849160,864880,780154,793101,786724,0,940423,796601,739632,0,976180,934503,935831,0,925581,905986,932768,0,947765,933386,925038,0,867993,839194,849027,932467,766799,840947,787217,839071,726004,719155,765309,837724,727941,698006,707777,764343,644951,695951,702836,764332,749363,685879
Kapital wlasny (tys. zl),594848,624993,616352,650931,535218,579542,557892,572391,472217,481356,471982,523244,421619,439157,402826,447258,361141,374887,377610,402011,304977,306914,281677,0,275310,290109,277684,0,243752,208726,229036,0,302634,304336,310149,0,293244,292810,287269,0,292274,293304,288901,297517,296173,295227,295594,299168,223383,238847,294978,275813,220012,209297,201352,213498,198375,188822,183735,188723,279419,193066
Liczba akcji (tys. szt.),"7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","7775,273","8737,500","8737,500","8737,500","7775,273","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500","8737,500"
Zysk na akcje (zl),"3,143","3,696","2,735","4,463","2,908","2,809","2,257","4,072","3,814","1,684","2,841","2,831","2,089","1,663","0,688","5,328","7,781","1,578","0,036","2,261","1,038","0,325","-0,338","2,644","0,683","0,027","0,137","0,000","-1,234","-0,611","-0,997","1,486","0,572","0,064","-0,212","1,489","-0,759","-0,219","-0,491","0,536","-0,719","0,088","0,052","0,476","0,531","-0,041","-0,306","0,403","0,840","0,544","0,087","2,641","-0,398","-1,507","-1,108","1,228","0,844","0,301","-0,257","0,670","0,531","0,381"
Wartosc ksiegowa na akcje (zl),"76,505","80,382","79,271","83,718","68,836","74,537","71,752","73,617","60,733","61,909","60,703","67,296","54,226","56,481","51,809","57,523","46,447","48,215","48,565","51,704","39,224","39,473","36,227","0,000","31,509","33,203","31,781","0,000","27,897","23,889","26,213","0,000","34,636","34,831","35,496","0,000","33,562","33,512","32,878","0,000","33,451","33,568","33,064","34,051","33,897","33,788","33,831","34,240","25,566","27,336","33,760","31,567","25,180","23,954","23,045","24,435","22,704","21,611","21,028","21,599","31,979","22,096"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
