index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007,II Q 2008,III Q 2008,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),22988,21794,24188,26559,22282,18242,24676,22459,19704,16739,24411,25890,22819,17817,20383,22199,19715,15396,20554,23280,15121,13623,15634,20339,11764,10642,15251,18766,13502,9279,11352,12763,0,0,0,11088,0
Zysk (strata) z dzialal. oper. (tys. zl),3933,3780,5021,4715,3128,3128,5481,4447,4679,3318,5281,5320,4008,3385,4698,5480,3758,3265,4590,6200,3480,2570,3924,6115,2271,1488,2685,4382,2095,832,1934,3815,0,0,0,3083,0
Zysk (strata) brutto (tys. zl),3778,4039,5630,4523,1821,3272,5650,3928,4485,3332,5403,5182,4250,3755,4852,5486,1806,3437,4750,6390,3445,2613,4139,5737,2525,1707,2853,4432,2187,859,1829,3853,0,0,0,3049,0
Zysk (strata) netto (tys. zl),3301,3391,4676,3663,1927,2540,4567,3302,3460,2498,4267,3937,3461,2978,3842,4191,2124,2688,3681,4865,2662,2044,3315,4526,1849,1286,2224,3510,1717,671,1435,3050,0,0,0,2366,0
Amortyzacja (tys. zl),1482,1440,1530,1590,1304,1323,1370,1422,1040,1124,1212,1350,1058,943,990,996,995,798,1019,820,796,870,1028,789,526,664,782,602,721,597,617,471,0,0,0,429,0
EBITDA (tys. zl),5415,5220,6551,6305,4432,4451,6851,5869,5719,4442,6493,6670,5066,4328,5688,6476,4753,4063,5609,7020,4276,3440,4952,6904,2797,2152,3467,4984,2816,1429,2551,4286,0,0,0,3512,0
Aktywa (tys. zl),139231,144765,153394,158167,130925,135466,138413,138693,135754,136205,143337,143023,121725,123623,128227,131402,106532,107491,112635,117404,87853,91864,96770,0,74764,76519,81619,0,58955,56205,71288,0,40589,45006,49605,0,33754
Kapital wlasny (tys. zl),130446,135772,137675,141877,119065,122851,123566,127105,119491,122840,123888,128052,106601,110668,110836,115512,94012,97035,97568,103106,80418,82771,85921,0,69283,70875,73658,0,48498,49341,65042,0,37316,41013,44645,0,30845
Liczba akcji (tys. szt.),"13202,954","13202,954","13202,954","13202,954","13469,524","13693,398","13202,954","13202,954","13236,729","13469,524","13469,524","13469,524","13016,015","13236,729","13236,729","13236,729","12849,349","12849,349","12849,349","12849,349","12739,116","12739,116","12739,116","12739,116","12500,000","12500,000","12540,928","12540,928","10000,000","10000,000","12500,000","12500,000","10000,000","10000,000","10000,000","10000,000","10000,000"
Zysk na akcje (zl),"0,250","0,257","0,354","0,277","0,143","0,185","0,346","0,250","0,261","0,185","0,317","0,292","0,266","0,225","0,290","0,317","0,165","0,209","0,286","0,379","0,209","0,160","0,260","0,355","0,148","0,103","0,177","0,280","0,172","0,067","0,115","0,244","0,000","0,000","0,000","0,237","0,000"
Wartosc ksiegowa na akcje (zl),"9,880","10,283","10,428","10,746","8,840","8,972","9,359","9,627","9,027","9,120","9,198","9,507","8,190","8,361","8,373","8,727","7,316","7,552","7,593","8,024","6,313","6,497","6,745","0,000","5,543","5,670","5,873","0,000","4,850","4,934","5,203","0,000","3,732","4,101","4,465","0,000","3,085"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
