index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),25360,21891,22436,22377,26382,25922,25181,22676,29621,29202,27990,26009,29440,32007,29139,28637,25895,26576,26206,27055,10144,17038,23182,23654,7839,8478,10160,11523,3380,4149,5002,5875,1173,1023,1362,2131,0,1026,1096,1049,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-3241,-2516,-2726,-1962,-71,1797,223,-1956,1032,2868,1012,543,3237,4730,4544,2277,2007,2713,881,3576,174,1382,1498,3040,218,1104,1462,813,-1082,-169,-416,492,-816,-579,-1629,-1388,0,-241,-217,-351,0,0,0
Zysk (strata) brutto (tys. zl),-1692,-2628,-2850,-908,-992,921,-699,4725,5474,1501,-1,7714,1231,2942,8955,923,101,581,3202,1490,-344,-70,-157,1067,-957,21,-6021,-886,-1120,-315,-444,156,-965,-496,-1707,-1291,0,-209,-114,-170,0,0,0
Zysk (strata) netto (tys. zl),-1418,-2628,-2719,-908,-720,573,-453,4985,4529,989,78,7659,508,2942,7865,386,100,581,2267,1491,-398,-70,-284,1067,-810,21,-6604,-886,-664,-315,-858,156,-629,-496,-1409,-1291,0,-209,-200,-234,0,0,0
Amortyzacja (tys. zl),3467,3233,3046,2827,4477,4376,4371,3656,4697,4545,4555,4489,4315,4492,4567,4601,4116,4352,4620,4412,1790,2435,3773,3936,1201,1248,1323,1765,682,820,967,1054,53,203,580,513,0,34,42,46,0,0,0
EBITDA (tys. zl),226,717,320,865,4406,6173,4594,1700,5729,7413,5567,5032,7552,9222,9111,6878,6123,7065,5501,7988,1964,3817,5271,6976,1419,2352,2785,2578,-400,651,551,1546,-763,-376,-1049,-875,0,-207,-175,-305,0,0,0
Aktywa (tys. zl),315833,311218,310404,301968,498418,477359,478634,387893,499491,482339,476916,473679,493270,499220,510214,490197,496795,491625,501510,485109,169380,177935,286709,0,129309,123743,128789,0,52750,52967,71443,0,54302,44864,46770,0,44902,45117,0,0,24970,34076,39020
Kapital wlasny (tys. zl),281009,278381,273277,272369,351776,352334,342321,347306,348545,349534,344842,352501,342330,345272,348401,348787,334044,334666,335641,337132,27471,47238,136076,0,40072,40093,33490,0,41899,41584,40726,0,42753,42257,43929,0,44025,43816,0,0,24719,33816,38405
Liczba akcji (tys. szt.),"191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","191610,386","189898,300","189898,300","189898,300","189898,300","44687,754","64585,422","96085,422","96085,422","44687,754","44687,754","44687,754","44687,754","44687,754","44687,754","44687,754","44687,754","42794,500","42794,500","44687,754","44687,754","42794,500","42794,500","42794,500","42794,500","42794,500","42794,500","42794,500"
Zysk na akcje (zl),"-0,007","-0,014","-0,014","-0,005","-0,004","0,003","-0,002","0,026","0,024","0,005","0,000","0,040","0,003","0,015","0,041","0,002","0,001","0,003","0,012","0,008","-0,009","-0,001","-0,003","0,011","-0,018","0,000","-0,148","-0,020","-0,015","-0,007","-0,019","0,003","-0,015","-0,012","-0,032","-0,029","0,000","-0,005","-0,005","-0,005","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,467","1,453","1,426","1,421","1,836","1,839","1,787","1,813","1,819","1,824","1,800","1,840","1,787","1,802","1,818","1,820","1,759","1,762","1,767","1,775","0,615","0,731","1,416","0,000","0,897","0,897","0,749","0,000","0,938","0,931","0,911","0,000","0,999","0,987","0,983","0,000","1,029","1,024","0,000","0,000","0,578","0,790","0,897"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
