index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),28562,10862,13248,18113,31428,13372,22828,23617,26129,12552,17129,26086,18597,7934,9080,18842,0,11638,20707,14268
Zysk (strata) z dzialal. oper. (tys. zl),3367,-2667,-1252,531,6672,-1296,1578,1208,6355,-739,855,4633,2099,-1359,-1602,4262,0,-186,5381,2728
Zysk (strata) brutto (tys. zl),3222,-2882,-1222,196,6721,-1135,1482,729,6181,-1178,746,4368,1975,-1389,-1677,4092,0,-812,5048,2402
Zysk (strata) netto (tys. zl),2584,-2840,-1225,222,5336,-1108,1050,514,4794,-1149,633,3493,1195,-1350,-1544,3637,0,-761,4196,1964
Amortyzacja (tys. zl),504,493,507,693,437,504,572,518,450,489,455,511,328,415,431,435,0,240,258,256
EBITDA (tys. zl),3871,-2174,-745,1224,7109,-792,2150,1726,6805,-250,1310,5144,2427,-944,-1171,4697,0,54,5639,2984
Aktywa (tys. zl),65244,58633,66173,75693,58071,56368,60204,67242,49185,47598,50687,57986,32297,30803,37708,43370,28665,27930,31417,31265
Kapital wlasny (tys. zl),40880,38273,36393,36761,31778,30808,30954,39087,25342,24282,24101,28139,15180,13821,16801,20724,8660,7402,11912,14014
Liczba akcji (tys. szt.),"27847,280","28185,494","28185,494","28185,494","26117,280","26117,280","26117,280","27847,280","25910,000","26117,280","26117,280","26117,280","25910,000","25910,000","25910,000","25910,000","25910,000","25910,000","25910,000","25910,000"
Zysk na akcje (zl),"0,093","-0,101","-0,043","0,008","0,204","-0,042","0,040","0,018","0,185","-0,044","0,024","0,134","0,046","-0,052","-0,060","0,140","0,000","-0,029","0,162","0,076"
Wartosc ksiegowa na akcje (zl),"1,468","1,358","1,291","1,304","1,217","1,180","1,185","1,404","0,978","0,930","0,923","1,077","0,586","0,533","0,648","0,800","0,334","0,286","0,460","0,541"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
