index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),710408,778560,721265,759981,700817,771103,688249,730700,734894,804492,693135,728242,615106,822339,763668,784000,673655,680420,640287,680723,598302,634632,577487,641415,432768,479360,582948,627122,339120,475625,446481,454211,0,0,300500
Zysk (strata) z dzialal. oper. (tys. zl),-5624,41377,33705,48036,30297,50959,11865,43038,-49759,19325,26185,59107,-10542,312,-95148,-7046,8829,23311,7749,10502,25877,-1163,-15190,10640,30909,12726,-22247,1326,18015,50297,48923,49179,0,0,25152
Zysk (strata) brutto (tys. zl),-9631,33675,20439,38842,19713,37630,12871,31277,-57701,11468,18788,48078,-19757,-5471,-103465,-16082,13624,9781,1611,-1140,23273,-7857,-40137,34499,28364,1849,-5743,-12027,10139,52668,36499,35518,0,0,25364
Zysk (strata) netto (tys. zl),-64502,8346,1535,24523,10775,-3652,-3529,425,-29571,5702,8395,25587,967,-4132,-86372,-12191,28086,9611,8039,-1483,34991,-8465,-41647,34093,31147,670,85,-6929,6450,39389,29917,31946,0,0,23638
Amortyzacja (tys. zl),30597,29501,30109,28830,35412,31204,29205,28051,27026,29064,28602,28844,31230,32055,31845,30595,31863,30424,30288,31345,61197,31661,31738,32363,17285,19648,23690,24079,14794,16168,15613,18198,0,0,14145
EBITDA (tys. zl),24973,70878,63814,76866,65709,82163,41070,71089,-22733,48389,54787,87951,20688,32367,-63303,23549,40692,53735,38037,41847,87074,30498,16548,43003,48194,32374,1443,25405,32809,66465,64536,67377,0,0,39297
Aktywa (tys. zl),1813235,1793672,1750212,1826014,1762790,1800860,1832862,1808457,1784458,1767140,1725072,1766464,2045599,2057546,1959915,1869263,1924531,1830513,1847778,1811301,1910769,1907650,1773083,0,1180310,1673529,1819336,0,1120710,1242162,1200490,0,886236,873142,0
Kapital wlasny (tys. zl),476113,483855,496530,519386,543612,535573,535922,530542,515761,515037,519108,549702,606420,670278,569532,561212,675337,659727,674157,672768,667719,652959,604332,0,617810,668134,625067,0,374760,429907,452736,0,426033,10654,0
Liczba akcji (tys. szt.),"69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","69287,783","55403,500","69287,783","69287,783","69287,783","554035,000","554035,000","554035,000","554035,000","554035,000","554035,000","554035,000","554035,000","524035,000","554035,000","554035,000","554035,000","443035,000","443035,000","443035,000","443035,000","443035,000","443035,000","443035,000"
Zysk na akcje (zl),"-0,931","0,120","0,022","0,354","0,156","-0,053","-0,051","0,006","-0,427","0,082","0,121","0,369","0,017","-0,060","-1,247","-0,176","0,051","0,017","0,015","-0,003","0,063","-0,015","-0,075","0,062","0,059","0,001","0,000","-0,013","0,015","0,089","0,068","0,072","0,000","0,000","0,053"
Wartosc ksiegowa na akcje (zl),"6,872","6,983","7,166","7,496","7,846","7,730","7,735","7,657","7,444","7,433","7,492","7,934","10,946","9,674","8,220","8,100","1,219","1,191","1,217","1,214","1,205","1,179","1,091","0,000","1,179","1,206","1,128","0,000","0,846","0,970","1,022","0,000","0,962","0,024","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
