index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. SKK),60891,39163,36199,35749,39891,27705,29404,37147,29162,26611,26746,24563,40284,31680,21346,21787,43650,30111,32612,31433,35764,32036,27328,30471,46462,27910,32747,30843,1553644,28921,25430,29462,1188447,28242,967196,33118,441072,332306,405821,553547,345503,297987,299620,377684,178241
Zysk (strata) z dzialal. oper. (tys. SKK),5954,3170,2986,3143,3762,3310,2911,2894,786,2676,3524,2052,3549,4543,2820,5451,3748,5016,4492,4565,5654,7475,3506,3272,4566,2274,4054,4184,217217,2375,3407,3667,192024,3056,121162,3456,31452,55061,38364,79225,9910,54382,44403,73169,48514
Zysk (strata) brutto (tys. SKK),5904,3202,2984,3205,4151,3394,2910,2898,516,2656,3512,2048,3483,4662,2976,5588,4015,4905,4409,4747,5398,7552,3838,3412,4825,2406,4380,4070,256490,2279,3725,3767,185696,3029,132515,3516,11490,58094,46621,86617,11094,50110,37976,66198,49189
Zysk (strata) netto (tys. SKK),4312,2329,2431,2484,3337,2597,2226,2143,1023,2015,5413,1770,2801,3468,2366,4429,3237,3806,3749,3857,3823,5760,3071,2826,3310,1450,663,3479,167287,1995,2857,2587,83893,1880,104713,2784,28371,39186,39418,67264,7994,38560,28969,48340,39843
Amortyzacja (tys. SKK),1009,981,1016,1083,1131,968,889,991,2827,2791,2689,1130,2790,2826,2836,2845,2359,2481,2575,2506,1353,2230,2257,2413,1445,1700,1451,2364,83675,1469,1584,1569,32159,1127,36490,1214,16464,16699,18781,23136,2789,13848,15647,14894,2197
EBITDA (tys. SKK),6963,4151,4002,4226,4893,4278,3800,3885,3613,5467,6213,3182,6339,7369,5656,8296,6107,7497,7067,7071,7007,9705,5763,5685,6011,3974,5505,6548,300892,3844,4991,5236,224183,4183,157652,4670,47916,71760,57145,102361,12699,68230,60050,88063,50711
Aktywa (tys. SKK),168247,163032,148237,140880,142781,146623,135459,146748,157519,178265,140532,138587,160116,155813,146415,146424,175619,164533,143271,143969,155569,158843,154950,0,144027,144523,134759,0,174821,154684,145634,0,3368323,134606,151451,0,1651734,1647272,1498812,0,537409,672823,666789,0,0
Kapital wlasny (tys. SKK),109502,100690,102869,105620,109599,102917,105122,104126,101622,108566,105974,107649,104185,106254,98279,103128,101969,108400,97658,101263,94273,102432,101654,0,89997,89109,85811,0,89321,80814,85009,0,1238434,49365,84305,0,1107918,990921,1029970,0,283036,205680,239574,0,0
Liczba akcji (tys. szt.),"21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","21360,000","1584,000","1584,000","21360,000","21360,000","1584,000","1584,000","1584,000","1584,000","1584,000","1584,000","1584,000","1584,000","1584,000"
Zysk na akcje (SKK),"0,202","0,109","0,114","0,116","0,156","0,122","0,104","0,100","0,048","0,094","0,253","0,083","0,131","0,162","0,111","0,207","0,152","0,178","0,176","0,181","0,179","0,270","0,144","0,132","0,155","0,068","0,031","0,163","7,832","0,093","0,134","0,121","52,963","1,187","4,902","0,130","17,911","24,739","24,885","42,465","5,047","24,343","18,289","30,518","25,153"
Wartosc ksiegowa na akcje (SKK),"5,126","4,714","4,816","4,945","5,131","4,818","4,921","4,875","4,758","5,083","4,961","5,040","4,878","4,974","4,601","4,828","4,774","5,075","4,572","4,741","4,414","4,796","4,759","0,000","4,213","4,172","4,017","0,000","4,182","3,783","3,980","0,000","781,840","31,165","3,947","0,000","699,443","625,581","650,234","0,000","178,684","129,848","151,246","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
