index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,III Q 2013,IV Q 2013,II Q 2014,III Q 2014,IV Q 2011,II Q 2012,IV Q 2012,II Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),44495,117959,136699,195829,74719,51275,57140,73937,25919,86183,0,245606,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),2485,27763,27792,51145,12037,11762,10756,15755,-17424,41872,0,95887,0,0,0,0
Zysk (strata) brutto (tys. zl),1576,26773,26170,52600,11105,10113,9519,15391,7184,11840,0,94495,0,0,0,0
Zysk (strata) netto (tys. zl),17634,21866,21941,42653,8598,8885,7813,12959,7698,9647,0,77939,0,0,0,0
Amortyzacja (tys. zl),250,334,315,374,220,236,254,231,0,0,0,213,0,0,0,0
EBITDA (tys. zl),2735,28097,28107,51519,12257,11998,11010,15986,-17424,41872,0,96100,0,0,0,0
Aktywa (tys. zl),1209992,1361058,1404793,1417472,786868,0,1014197,1114103,761016,761016,755429,731182,472281,521529,572645,693859
Kapital wlasny (tys. zl),622741,644607,642868,685521,436402,0,593396,605272,297332,299890,332586,419147,236909,248764,266750,274873
Liczba akcji (tys. szt.),"38714,610","38714,610","38714,610","38714,610","32214,610","32214,610","38714,610","38714,610","32214,610","32214,610","32214,610","32214,610","32214,610","32214,610","32214,610","32214,610"
Zysk na akcje (zl),"0,455","0,565","0,567","1,102","0,267","0,276","0,202","0,335","0,239","0,299","0,000","2,419","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"16,085","16,650","16,605","17,707","13,547","0,000","15,327","15,634","9,230","9,309","10,324","13,011","7,354","7,722","8,280","8,533"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
