index,III Q 2008,IV Q 2008,I Q 2009,II Q 2009,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,III Q 2006,IV Q 2006,I Q 2007,II Q 2007,III Q 2005,IV Q 2005,I Q 2006,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),33199,47432,38171,28472,33175,54076,39632,28709,28383,53717,41909,27475,30726,46336,32966,23940
Zysk (strata) z dzialal. oper. (tys. zl),531,1488,2392,-717,71,1985,2842,-140,-1378,98,2089,-2380,1180,3496,1699,37
Zysk (strata) brutto (tys. zl),-249,123,2111,-1405,-868,2161,2336,-1157,-1962,-83,1236,-3100,1105,3204,1604,395
Zysk (strata) netto (tys. zl),-454,-322,1566,-1436,-1024,2343,1907,-1081,-1463,-152,989,-2274,888,2612,1367,210
Amortyzacja (tys. zl),535,673,518,518,597,532,542,546,321,592,498,513,177,440,324,278
EBITDA (tys. zl),1066,2161,2910,-199,668,2517,3384,406,-1057,690,2587,-1867,1357,3936,2023,315
Aktywa (tys. zl),0,98862,96110,82033,0,108291,107906,0,0,129256,116828,0,0,72211,75423,0
Kapital wlasny (tys. zl),0,32975,34541,32353,0,32853,34771,0,0,47306,48295,0,0,45665,47040,0
Liczba akcji (tys. szt.),"6091,904","6091,904","6091,904","6091,904","6091,904","6091,904","6091,904","6091,904","6000,000","6091,904","6091,904","6091,904","6000,000","6000,000","6000,000","6000,000"
Zysk na akcje (zl),"-0,075","-0,053","0,257","-0,236","-0,168","0,385","0,313","-0,177","-0,244","-0,025","0,162","-0,373","0,148","0,435","0,228","0,035"
Wartosc ksiegowa na akcje (zl),"0,000","5,413","5,670","5,311","0,000","5,393","5,708","0,000","0,000","7,765","7,928","0,000","0,000","7,611","7,840","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
