index,II Q 2012,III Q 2012,IV Q 2012,I Q 2013,II Q 2011,III Q 2011,IV Q 2011,I Q 2012,II Q 2010,III Q 2010,IV Q 2010,I Q 2011,II Q 2009,III Q 2009,IV Q 2009,I Q 2010,III Q 2002,IV Q 2002,I Q 2003,II Q 2003,III Q 2001,IV Q 2001,I Q 2002,II Q 2002,III Q 2000,IV Q 2000,I Q 2001,II Q 2001,III Q 1999,IV Q 1999,I Q 2000,II Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),6574,-4578,3698,883,173,2500,-1202,1947,0,113,85,97,0,0,0,524,2356,13945,791,1321,5433,5719,7996,62,12068,19884,7996,6486,17370,17472,10674,11936,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),15590,1982,603,711,-135,1866,-3308,81,-176,-98,-484,-152,0,-54,12,-630,-1598,10266,-1909,354,-2301,-6825,-2152,-664,-1526,-749,-2152,-2352,-1638,-2824,-1428,-3126,0,0,0,0
Zysk (strata) brutto (tys. zl),12389,24975,-24308,2514,-18,12012,-8353,462,591,8936,2539,-3421,0,-54,779,12697,-2159,10271,-2652,968,-5870,3932,-2629,-5433,-2865,-1871,-2629,-2489,-2992,-4147,-141,-5026,0,0,0,0
Zysk (strata) netto (tys. zl),-10323,22185,-22277,2954,2253,11744,-9151,1084,639,7220,464,-1425,0,-52,797,8886,-2087,9428,-2634,903,-5648,4142,-2471,-5243,-2731,-1909,-2471,-2365,-2894,-4200,-115,-5021,0,0,0,0
Amortyzacja (tys. zl),230,-59,104,8,43,43,582,179,22,42,47,43,0,0,0,175,569,-296,483,70,987,-95,815,4401,581,889,815,1164,842,889,887,672,0,0,0,0
EBITDA (tys. zl),15820,1923,707,719,-92,1909,-2726,260,-154,-56,-437,-109,0,-54,12,-455,-1029,9970,-1426,424,-1314,-6920,-1337,3737,-945,140,-1337,-1188,-796,-1935,-541,-2454,0,0,0,0
Aktywa (tys. zl),268371,0,239681,161291,0,0,101439,171443,5773,0,26609,61281,356,0,1059,19909,32352,44936,42282,40990,53818,38731,36008,19770,66291,66415,60794,56454,70503,66283,68835,67784,0,59187,82065,73900
Kapital wlasny (tys. zl),171835,0,170902,158835,0,0,63722,98589,2124,0,18395,19263,-1211,0,-463,13725,15484,22154,19995,20855,17983,24367,20666,15042,30318,28493,25938,23695,40956,36789,38852,33750,0,42215,48618,43861
Liczba akcji (tys. szt.),"37799,944","37800,000","37800,000","37800,000","4200,000","12600,000","12600,000","12600,000","1358,000","1358,000","4074,000","4200,000","1240,000","1358,000","1358,000","1358,000","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857","3542,857",,"3542,857","3542,857","3542,857"
Zysk na akcje (zl),"-0,273","0,587","-0,589","0,078","0,536","0,932","-0,726","0,086","0,471","5,317","0,114","-0,339","0,000","-0,038","0,587","6,543","-0,589","2,661","-0,743","0,255","-1,594","1,169","-0,697","-1,480","-0,771","-0,539","-0,697","-0,668","-0,817","-1,185","-0,032","-1,417",,"0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"4,546","0,000","4,521","4,202","0,000","0,000","5,057","7,825","1,564","0,000","4,515","4,586","-0,977","0,000","-0,341","10,107","4,370","6,253","5,644","5,886","5,076","6,878","5,833","4,246","8,558","8,042","7,321","6,688","11,560","10,384","10,966","9,526",,"11,916","13,723","12,380"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
