index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003, Q 0000,IV Q 2000,IV Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),51605,40446,36710,44715,47855,33069,41278,48143,31443,29437,33334,42460,27989,24937,25983,38903,33050,23773,25944,32209,28044,27436,24657,30057,28234,25070,29429,31897,30197,27765,23683,21703,39695,23436,26862,33286,31002,30854,23052,23590,29817,18073,17825,20563,18306,10310,9788,22637,13668,9625,10902,13777,13533,9130,10177,8989,18807,0,0
Zysk (strata) z dzialal. oper. (tys. zl),5146,4498,3079,8520,3589,3543,3935,9694,-913,3343,1711,4739,-8891,-490,390,8065,-1972,369,-293,-988,863,1907,-1257,2927,-335,1364,114,2516,1883,4178,-2041,-2196,8564,4202,5829,6247,8631,8379,6504,4496,6964,6336,4339,3842,3427,2129,1179,4412,1698,1846,2434,1914,3084,1627,2645,1916,3639,0,0
Zysk (strata) brutto (tys. zl),5543,5991,3988,8715,3407,4191,4642,9951,-1117,3112,1627,4597,-9133,-363,630,7963,-1503,420,-572,-1426,1664,1995,-1061,3279,-473,1260,628,1722,5181,4263,-1614,-1937,9863,5393,6887,7083,8777,8523,6609,5396,7087,6523,4520,5815,3991,2282,1006,4507,1529,2064,2804,2378,3158,668,2450,1445,4176,0,0
Zysk (strata) netto (tys. zl),4836,5174,3983,6723,6856,3392,3915,7557,-626,4040,2250,4611,-7855,-381,509,6684,-1239,421,-206,-1222,546,1442,-1018,2448,144,925,367,1296,3509,3181,-1465,-1607,7819,4171,5191,5237,7069,6801,5362,4274,5791,4696,3326,4734,3174,1831,593,3657,945,1578,2239,1895,2362,234,1970,1064,3316,0,0
Amortyzacja (tys. zl),5378,4547,4848,4845,5328,4924,4446,4509,5039,4952,4979,4761,4783,4788,4857,4840,4942,4202,5026,5064,4753,4450,4202,4606,5908,3394,3556,3475,3430,3159,3535,3441,2173,1965,2112,2406,1374,2736,1467,1731,1278,1442,1423,1376,1288,1241,1186,1326,886,970,958,1383,715,577,727,850,2578,0,0
EBITDA (tys. zl),10524,9045,7927,13365,8917,8467,8381,14203,4126,8295,6690,9500,-4108,4298,5247,12905,2970,4571,4733,4076,5616,6357,2945,7533,5573,4758,3670,5991,5313,7337,1494,1245,10737,6167,7941,8653,10005,11115,7971,6227,8242,7778,5762,5218,4715,3370,2365,5738,2584,2816,3392,3297,3799,2204,3372,2766,6217,0,0
Aktywa (tys. zl),333661,318915,307448,318592,316164,318624,308433,319344,309453,312269,299120,308027,313329,307877,304052,312831,289108,310276,310829,326519,279156,294297,293438,0,277310,281289,279198,0,301401,294705,294101,0,260473,262358,255298,0,98741,106569,106844,0,90554,93293,83546,0,78743,73222,73707,0,28481,72568,70136,0,18898,22561,24002,25524,78086,10849,20126
Kapital wlasny (tys. zl),225801,230975,216433,223156,219610,223002,216391,223927,220065,224105,212840,216018,216742,215297,213958,220691,215593,216014,205371,225284,229440,230882,214384,0,233186,234232,227598,0,246797,249978,234770,0,240560,244731,238056,0,83000,89801,91131,0,72679,77375,71197,0,63507,65338,63231,0,10490,60629,59341,0,5684,4368,6181,7245,63001,541,1497
Liczba akcji (tys. szt.),"84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","84300,000","86000,000","86000,000","86000,000","84300,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","86000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","72000,000","46000,000","72000,000","72000,000","72000,000","23000,000","23000,000","23000,000","23000,000","3600,000","23000,000","23000,000"
Zysk na akcje (zl),"0,057","0,061","0,047","0,080","0,081","0,040","0,046","0,090","-0,007","0,048","0,027","0,055","-0,091","-0,004","0,006","0,079","-0,014","0,005","-0,002","-0,014","0,006","0,017","-0,012","0,028","0,002","0,011","0,004","0,015","0,041","0,037","-0,017","-0,019","0,091","0,049","0,060","0,061","0,098","0,094","0,074","0,059","0,080","0,065","0,046","0,066","0,044","0,025","0,008","0,051","0,021","0,022","0,031","0,026","0,103","0,010","0,086","0,046","0,921","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"2,679","2,740","2,567","2,647","2,605","2,645","2,567","2,656","2,610","2,658","2,525","2,562","2,520","2,503","2,488","2,618","2,507","2,512","2,388","2,620","2,668","2,685","2,493","0,000","2,711","2,724","2,646","0,000","2,870","2,907","2,730","0,000","2,797","2,846","2,768","0,000","1,153","1,247","1,266","0,000","1,009","1,075","0,989","0,000","0,882","0,907","0,878","0,000","0,228","0,842","0,824","0,000","0,247","0,190","0,269","0,315","17,500","0,024","0,065"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
