index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,III Q 2003,IV Q 2003,II Q 2007,III Q 2007,III Q 2002,IV Q 2002,I Q 2003,II Q 2003,III Q 2001,IV Q 2001,I Q 2002,II Q 2002,III Q 2000,IV Q 2000,I Q 2001,II Q 2001,III Q 1999,IV Q 1999,I Q 2000,II Q 2000,III Q 1998,IV Q 1998,I Q 1999,II Q 1999, Q 0000,I Q 1998,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),39367,56533,59821,50196,40546,33712,45920,21909,25046,20533,31621,20046,28064,20549,62324,23479,24226,15267,15524,18190,6207,5858,9544,15522,4822,4872,5131,6252,7884,9813,4681,4846,6140,5964,6291,6436,2126,2375,5031,5215,378,1894,1484,1756,8087,8121,1429,496,24680,27324,15950,12108,13829,13691,16009,24752,16783,19306,14395,16058,0,12180,13479
Zysk (strata) z dzialal. oper. (tys. zl),24201,39992,42610,31529,20987,20353,33350,10337,7057,12221,22345,11790,14896,12402,49593,10989,17327,8356,6890,6475,710,536,3926,10203,-1076,-435,-170,1149,2450,-299,-733,-136,471,798,532,1385,1070,143,869,487,-935,2373,728,1856,-765,-11869,-2886,-1175,3507,-73275,-8325,45775,802,81,2406,2997,1048,-4675,691,-3333,0,709,995
Zysk (strata) brutto (tys. zl),18480,34579,9518,25248,18174,16888,29869,6083,5349,10461,20450,9766,13499,10577,48254,9513,15700,7176,5658,5225,1933,769,3447,8983,-1350,-427,-161,1152,2374,-288,-736,-127,380,727,892,1373,1035,-53,828,454,-606,1766,731,1859,-2457,-12259,-2831,-1027,3096,-73714,-8867,44831,-879,-409,1913,2389,1879,-6887,-236,-5028,0,1396,710
Zysk (strata) netto (tys. zl),20350,34088,9452,24803,21975,13838,23955,23666,4555,9376,18930,8451,12043,9756,47643,7793,12404,5657,4429,4085,1555,618,2781,7265,-1099,-348,-141,930,1921,-469,-602,-103,288,568,723,1092,673,573,546,321,-584,1630,511,1511,-2894,-11619,-2822,-995,288,-76173,-9264,45228,-1782,-855,861,-576,1081,-6817,-243,-5038,0,670,273
Amortyzacja (tys. zl),863,861,1018,1092,808,708,749,800,492,553,632,694,429,428,455,467,466,466,455,448,451,450,453,423,476,457,455,450,428,437,471,473,813,424,552,432,66,54,237,509,117,-287,84,84,3322,2923,460,572,3164,5701,4030,3368,5321,3706,4041,4205,3189,4041,3906,4144,0,1669,2240
EBITDA (tys. zl),25064,40853,43628,32621,21795,21061,34099,11137,7549,12774,22977,12484,15325,12830,50048,11456,17793,8822,7345,6923,1161,986,4379,10626,-600,22,285,1599,2878,138,-262,337,1284,1222,1084,1817,1136,197,1106,996,-818,2086,812,1940,2557,-8946,-2426,-603,6671,-67574,-4295,49143,6123,3787,6447,7202,4237,-634,4597,811,0,2378,3235
Aktywa (tys. zl),694108,746698,812898,871531,416893,473469,499208,671143,272544,270086,335429,344543,171755,205413,234260,249551,101839,109847,112930,0,28350,32273,76718,0,24058,24778,25043,0,25433,24358,24082,0,24253,24345,23175,0,6862,7249,19690,0,10836,8843,8704,7355,60076,19992,15286,12507,69479,63570,70166,64351,65742,60874,68789,66415,85657,91039,87759,82291,0,74634,78509
Kapital wlasny (tys. zl),282929,353557,364451,389901,199803,213641,237596,261262,150527,159086,178422,187740,79016,89192,137334,145371,51531,57061,62300,0,24585,27820,31407,0,20622,21133,21378,0,21830,21437,21039,0,17527,18095,18805,0,-9742,319,16918,0,-13644,-12007,-11501,-10415,-13576,-9229,-12124,-13056,38580,-46646,-55881,-10682,40776,28954,35269,34691,67793,60976,60733,53309,0,68690,66711
Liczba akcji (tys. szt.),"20853,220","22216,177","22216,177","22216,177","20853,220","20853,220","20853,220","20853,220","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","23400,004","26000,000","26000,000","26000,000","23400,004","26000,000","26000,000","26000,000","26000,000","20800,000","20800,000","26000,000","26000,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000","20800,000",,"20800,000","20800,000"
Zysk na akcje (zl),"0,976","1,534","0,425","1,116","1,054","0,664","1,149","1,135","0,195","0,401","0,809","0,361","0,515","0,417","2,036","0,333","0,530","0,242","0,189","0,175","0,066","0,026","0,119","0,310","-0,047","-0,015","-0,006","0,040","0,074","-0,018","-0,023","-0,004","0,011","0,022","0,028","0,042","0,032","0,028","0,021","0,012","-0,028","0,078","0,025","0,073","-0,139","-0,559","-0,136","-0,048","0,014","-3,662","-0,445","2,174","-0,086","-0,041","0,041","-0,028","0,052","-0,328","-0,012","-0,242",,"0,032","0,013"
