index,IV Q 2014,II Q 2015,III Q 2015,III Q 2016,IV Q 2012,IV Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,4161,3982,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,0,3576,-2812,0,0
Zysk (strata) brutto (tys. zl),0,0,1679,-1005,0,0
Zysk (strata) netto (tys. zl),0,0,1322,-779,0,0
Amortyzacja (tys. zl),0,0,55,0,0,0
EBITDA (tys. zl),0,0,3631,-2812,0,0
Aktywa (tys. zl),213105,188568,0,188599,168239,183319
Kapital wlasny (tys. zl),63369,65663,0,67329,52542,59998
Liczba akcji (tys. szt.),"3000,000","3000,000","3000,000","3000,000","3000,000","3000,000"
Zysk na akcje (zl),"0,000","0,000","0,441","-0,260","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"21,123","21,888","0,000","22,443","17,514","19,999"
Raport zbadany przez audytora,N,N,N,N,N,N
