index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),558387,420569,428376,465442,523224,428279,415281,483424,481531,481540,463831,544973,443561,430758,448146,539395,435588,477302,429236,485702,296223,309961,272120,283680,267721,294096,284003,356125,260020,244506,276289,329877,0,0,279329
Zysk (strata) z dzialal. oper. (tys. zl),-500766,78885,17680,58072,135707,48152,53168,73225,117244,85958,40700,99950,48439,89714,98442,119403,164048,119297,95051,126430,43332,43698,26711,31282,13408,62164,64474,106502,39560,59129,45417,108756,0,0,93800
Zysk (strata) brutto (tys. zl),-507236,72829,19296,53767,130011,42610,50602,70975,112760,79214,37582,99047,44944,87638,94337,118994,162864,123703,86976,126448,46316,44835,32194,32070,20591,65752,67067,109070,39226,58563,45670,113403,0,0,94035
Zysk (strata) netto (tys. zl),-411883,54088,20357,45330,101410,32522,42822,56696,104978,62381,28836,80218,35110,69863,71881,82695,133069,99106,71584,102802,38128,35860,26075,25917,17091,52957,53251,85475,30489,47186,36227,90968,0,0,73596
Amortyzacja (tys. zl),104171,94460,86354,89476,111762,96243,94224,93109,89357,88191,89419,98266,72527,81970,76424,82387,66811,78763,73765,75686,34446,33388,41388,43277,37428,32274,35797,35559,33427,32471,36678,34701,0,0,35708
EBITDA (tys. zl),-396595,173345,104034,147548,247469,144395,147392,166334,206601,174149,130119,198216,120966,171684,174866,201790,230859,198060,168816,202116,77778,77086,68099,74559,50836,94438,100271,142061,72987,91600,82095,143457,0,0,129508
Aktywa (tys. zl),3644024,3680535,3651410,3694210,4364415,4365783,4281522,4289335,3844130,3956178,3957149,4213919,3485156,3505889,3651415,3950712,3076228,3264744,3398082,3394709,2828045,2861509,2886153,2877339,2469814,2614119,2670370,2744192,1657430,0,1954036,2468237,1280774,1398398,0
Kapital wlasny (tys. zl),2112919,2154223,2173645,2218975,2514338,2534086,2473034,2529904,2445227,2514216,2343588,2415733,2286381,2356075,2255364,2330339,2133067,2232173,2169873,2273760,1959765,1995625,1974081,1999998,1729954,1782911,1836162,1921637,1106263,0,1100844,1712863,911782,955892,0
Liczba akcji (tys. szt.),"34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","34013,590","23013,590","23013,590","23013,590","34013,590","23013,590","23013,590","23013,590"
Zysk na akcje (zl),"-12,109","1,590","0,598","1,333","2,981","0,956","1,259","1,667","3,086","1,834","0,848","2,358","1,032","2,054","2,113","2,431","3,912","2,914","2,105","3,022","1,121","1,054","0,767","0,762","0,502","1,557","1,566","2,513","1,325","2,050","1,574","2,674","0,000","0,000","3,198"
Wartosc ksiegowa na akcje (zl),"62,120","63,334","63,905","65,238","73,922","74,502","72,707","74,379","71,890","73,918","68,902","71,023","67,220","69,269","66,308","68,512","62,712","65,626","63,794","66,849","57,617","58,671","58,038","58,800","50,861","52,418","53,983","56,496","48,070","0,000","47,835","50,358","39,619","41,536","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
