index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-1067,-1951,-2209,-3588,-809,-1143,-894,-1228,-457,-650,-849,-1282,-237,-671,-912,-747,0,0,0,-674,0,0
Zysk (strata) brutto (tys. zl),-892,-1838,-2092,-3503,-781,-1129,-827,-1162,-436,-635,-824,-1240,-211,-622,-859,-719,-284,-258,-377,-572,0,0
Zysk (strata) netto (tys. zl),-884,-1844,-2090,-3500,-777,-1134,-832,-1165,-1236,-665,-823,-1239,-369,-503,-707,-573,-228,-209,-33,-719,0,0
Amortyzacja (tys. zl),51,64,65,63,82,43,44,56,88,74,76,77,15,62,66,67,0,37,32,41,0,0
EBITDA (tys. zl),-1016,-1887,-2144,-3525,-727,-1100,-850,-1172,-369,-576,-773,-1205,-222,-609,-846,-680,0,37,32,-633,0,0
Aktywa (tys. zl),47667,46446,51721,50044,13623,16302,49499,48684,6352,5695,11262,13392,8986,8966,8057,7552,760,859,10146,9618,664,696
Kapital wlasny (tys. zl),41999,40155,45294,41794,8812,7678,44198,42883,5920,5255,10574,9298,8639,8333,7730,7157,65,-146,9758,9294,-81,369
Liczba akcji (tys. szt.),"5614,653","5614,653","6168,574","6674,308","3014,653","3014,653","5614,653","5614,653","2502,291","2502,291","3002,291","3002,291","2472,291","2472,291","2502,291","2502,291","2472,291","2472,291","2472,291","2472,291","2472,291","2472,291"
Zysk na akcje (zl),"-0,157","-0,328","-0,339","-0,524","-0,258","-0,376","-0,148","-0,207","-0,494","-0,266","-0,274","-0,413","-0,149","-0,203","-0,282","-0,229","-0,092","-0,085","-0,013","-0,291","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"7,480","7,152","7,343","6,262","2,923","2,547","7,872","7,638","2,366","2,100","3,522","3,097","3,494","3,371","3,089","2,860","0,026","-0,059","3,947","3,759","-0,033","0,149"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
