index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),58455,55904,55586,61274,48224,49740,49203,53920,41599,40987,38580,42590,34805,38410,37129,38516,29725,32803,30840,38892,24635,28806,27833,30287,21316,22538,23621,28009,0,0
Zysk (strata) z dzialal. oper. (tys. zl),7646,9396,7834,9034,7780,8555,7894,8821,5452,6194,5801,6045,3874,5700,4389,5210,5477,4556,4601,5383,3415,4214,4069,5678,3682,4791,5780,5111,0,0
Zysk (strata) brutto (tys. zl),7276,9286,7605,9046,7871,7922,12867,9093,5371,6434,6009,6158,4371,6122,4565,5893,6165,5842,4820,6241,2740,4642,3934,4851,3957,5603,3522,5784,0,0
Zysk (strata) netto (tys. zl),5477,7356,5881,7583,6443,6408,11468,7351,4338,5223,4956,4882,3501,4955,3642,4778,5443,4700,4000,4961,2819,3740,3147,3862,3501,4711,2300,4812,0,0
Amortyzacja (tys. zl),3070,3077,3276,3427,2683,2856,2875,3050,2202,2286,2300,2689,2254,2044,2164,2173,1511,1610,1853,1926,1363,1479,1458,1592,1209,1181,1362,1361,0,0
EBITDA (tys. zl),10716,12473,11110,12461,10463,11411,10769,11871,7654,8480,8101,8734,6128,7744,6553,7383,6988,6166,6454,7309,4778,5693,5527,7270,4891,5972,7142,6472,0,0
Aktywa (tys. zl),273982,279792,280577,284408,228491,239180,263723,270937,216958,220416,221758,220507,200605,207619,211179,210216,191293,196595,193128,199637,177506,180083,182856,0,116035,120690,123552,0,85643,95481
Kapital wlasny (tys. zl),217990,225386,224875,232995,191308,197716,204108,212612,174707,179930,179983,184865,161897,166852,165591,170370,149639,154339,153435,158397,133545,137285,140335,0,74042,78135,76023,0,52442,66481
Liczba akcji (tys. szt.),"9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","9807,516","6807,516","9807,516","9807,516","9807,516","6807,516","6807,516","6807,516","6807,516","6807,516","6807,516"
Zysk na akcje (zl),"0,558","0,750","0,600","0,773","0,657","0,653","1,169","0,750","0,442","0,533","0,505","0,498","0,357","0,505","0,371","0,487","0,555","0,479","0,408","0,506","0,414","0,381","0,321","0,394","0,514","0,692","0,338","0,707","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"22,227","22,981","22,929","23,757","19,506","20,160","20,811","21,678","17,814","18,346","18,352","18,849","16,507","17,013","16,884","17,371","15,258","15,737","15,645","16,151","19,617","13,998","14,309","0,000","10,877","11,478","11,168","0,000","7,704","9,766"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
