index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),1390954,987654,1442046,1689308,1237182,846416,1421824,1474800,1294242,834047,1319075,1559635,1497228,853043,1234622,1367552,1693813,1083349,1800416,1696667,1269560,797818,1451070,1573786,847949,577245,1146159,1437305,895780,681384,835372,925161,753543,652470,836164,966285,910715,654362,779617,888389,783188,481975,766742,883752,711297,403605,663286,852798,496529,310682,478406,651458,705632,399747,577386,673322,860189,412969,559393,761502,715830,457140,533200,647072,0,483025,480609,690980,715910,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),93278,62895,115375,130753,70993,46674,82102,70164,189579,52512,57479,66334,73011,42595,46034,55098,-102310,37225,19215,52958,71989,57879,87543,91539,57213,67609,95270,96498,25366,38240,49046,56012,16316,12432,40687,36295,-1228,163,2375,9187,-33597,3183,4935,3045,-25678,3328,-3868,36102,-5607,-3653,-8837,507,7263,-7435,14047,69888,-25136,-15106,-26031,38318,-10031,-17220,21035,30268,0,27376,7427,26923,-107484,0,0,0
Zysk (strata) brutto (tys. zl),93516,66141,116803,130554,68675,47833,86766,68686,191461,55761,56104,62079,73719,44067,44663,55764,-98505,48378,10969,75683,76001,58446,92059,92331,57166,66511,91867,100509,40353,51036,50589,63712,7242,19514,42212,37049,2410,1308,-4051,7465,7319,1994,4250,1714,-10516,1141,2369,-4648,6594,-2897,12183,7635,-13311,-15241,14655,69282,-58916,-16658,-31773,37065,-34497,-27655,25978,36675,0,24434,7815,23656,-12639,0,0,0
Zysk (strata) netto (tys. zl),74691,51542,94525,105024,57170,37339,69256,54560,189497,42753,44159,47891,109343,34966,32835,43182,-118297,37064,-14977,54552,60095,46652,73138,74101,43978,53343,73212,80759,31645,40123,35337,54220,17907,16074,30361,28761,935,-1197,-3046,1403,475,923,1771,265,-5153,166,18,1371,-7105,-4949,9969,7340,-12394,-16370,11554,57585,-43015,-17698,-30964,23044,-23320,-26287,12835,29844,0,7713,12162,13621,-9695,0,0,0
Amortyzacja (tys. zl),5600,6122,6459,6274,5700,5598,5677,5473,6825,6060,5649,5622,10465,7189,7684,7195,9052,13193,15073,11952,5916,6679,6959,7640,5084,5099,5009,5177,7862,5564,5412,5172,7145,4666,4881,4819,5654,5400,5359,5705,4559,5236,4979,5317,6777,5721,6134,4763,10810,6344,6922,6810,8990,6688,8258,7389,13442,9408,7781,8960,4215,11473,9447,10305,0,7717,7031,26272,2578,0,0,0
EBITDA (tys. zl),98878,69017,121834,137027,76693,52272,87779,75637,196404,58572,63128,71956,83476,49784,53718,62293,-93258,50418,34288,64910,77905,64558,94502,99179,62297,72708,100279,101675,33228,43804,54458,61184,23461,17098,45568,41114,4426,5563,7734,14892,-29038,8419,9914,8362,-18901,9049,2266,40865,5203,2691,-1915,7317,16253,-747,22305,77277,-11694,-5698,-18250,47278,-5816,-5747,30482,40573,0,35093,14458,53195,-104906,0,0,0
Aktywa (tys. zl),4713364,4637763,4914245,5372811,3858209,3996210,4205773,4670692,3686753,3277526,3319696,3671851,3448211,3033406,3127806,3450733,4462560,3802279,3913582,3879016,4067239,3446049,3400502,0,3339623,2749390,2892601,0,3286110,2421634,3165401,0,2344284,2158382,2369632,0,2311838,2028801,2198565,0,1934816,1710146,2042401,0,1754431,1938962,1885324,0,1356881,1268482,1410244,0,1407605,1273293,1380450,1477378,1501127,1341673,1357733,1462977,1450343,1363894,1340604,1460211,859535,1141196,1169060,1624778,1826107,500161,563213,659705
Kapital wlasny (tys. zl),599206,650490,537317,642084,519265,556564,470268,524950,626323,669140,410719,459694,433130,468264,389079,431843,525830,747701,267709,323288,680405,726957,568299,0,586180,638963,539581,0,561729,673721,488916,0,536229,551594,577355,0,523253,522415,517902,0,519674,521849,525111,0,520177,519674,519977,0,509938,501753,525033,0,454959,442093,456368,516924,494653,477789,437622,458484,526841,499798,515395,545937,399185,406915,412953,468875,496566,281126,297565,317910
Liczba akcji (tys. szt.),"25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098","25530,098"
Zysk na akcje (zl),"2,926","2,019","3,702","4,114","2,239","1,463","2,713","2,137","7,422","1,675","1,730","1,876","4,283","1,370","1,286","1,691","-4,634","1,452","-0,587","2,137","2,354","1,827","2,865","2,902","1,723","2,089","2,868","3,163","1,240","1,572","1,384","2,124","0,701","0,630","1,189","1,127","0,037","-0,047","-0,119","0,055","0,019","0,036","0,069","0,010","-0,202","0,007","0,001","0,054","-0,278","-0,194","0,390","0,288","-0,485","-0,641","0,453","2,256","-1,685","-0,693","-1,213","0,903","-0,913","-1,030","0,503","1,169","0,000","0,302","0,476","0,534","-0,380","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"23,471","25,479","21,046","25,150","20,339","21,800","18,420","20,562","24,533","26,210","16,088","18,006","16,965","18,342","15,240","16,915","20,596","29,287","10,486","12,663","26,651","28,475","22,260","0,000","22,960","25,028","21,135","0,000","22,003","26,389","19,151","0,000","21,004","21,606","22,615","0,000","20,496","20,463","20,286","0,000","20,355","20,441","20,568","0,000","20,375","20,355","20,367","0,000","19,974","19,653","20,565","0,000","17,820","17,317","17,876","20,248","19,375","18,715","17,141","17,959","20,636","19,577","20,188","21,384","15,636","15,939","16,175","18,366","19,450","11,012","11,655","12,452"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
