index,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,III Q 2005,IV Q 2005,III Q 2006,IV Q 2003
Przychody netto ze sprzedaÅ¼y (tys. zl),956,804,849,533,13987,9319,5478,1006,38626,25979,37984,22812,48870,34103,44346,42922,21818,11698,25109,44389,22577,11061,14277,22019,18063,31389,37042,30589,7396,10763,13569,15405,0,10482,0,2668,0
Zysk (strata) z dzialal. oper. (tys. zl),-17260,-1028,-9780,-359,-20248,-2495,210,-573,-2314,272,-372,-1373,1117,6108,757,1835,442,-2,1246,1378,-808,294,-41,-315,-23,1448,2982,1041,-882,98,169,1325,0,860,0,-911,0
Zysk (strata) brutto (tys. zl),-2277,-1445,-10129,-830,-40220,-3530,-2848,-2474,-1268,821,-234,-1326,1691,7111,1613,3070,1044,431,1958,2249,-4074,1396,889,406,65,1620,3058,1284,-878,301,839,1766,0,731,0,-1208,0
Zysk (strata) netto (tys. zl),-17045,-1447,-10129,-895,-50651,-3650,-2959,10501,-1880,794,1633,-1286,1824,6818,1613,3042,817,431,1384,2186,-3385,1150,756,205,995,1770,2491,1164,-878,349,901,1820,0,731,0,-1208,0
Amortyzacja (tys. zl),51,50,41,33,181,173,138,62,167,180,180,185,123,133,153,142,119,117,102,113,132,111,116,122,81,87,103,113,57,49,57,65,0,97,0,96,0
EBITDA (tys. zl),-17209,-978,-9739,-326,-20067,-2322,348,-511,-2147,452,-192,-1188,1240,6241,910,1977,561,115,1348,1491,-676,405,75,-193,58,1535,3085,1154,-825,147,226,1390,0,957,0,-815,0
Aktywa (tys. zl),57302,56757,56584,56435,102384,88358,82938,63883,124381,152575,167186,164402,95917,114996,114757,129339,74895,70375,86312,107886,71172,75810,76914,77309,29744,44253,52393,47191,21788,23781,26208,26245,12032,13286,8186,6623,10972
Kapital wlasny (tys. zl),4578,3132,-7425,-8129,17732,14082,10402,21623,66347,67182,68836,67331,56565,63447,65121,68193,50300,50705,52286,54522,45480,48618,49374,49579,15252,16722,18169,19246,13664,14013,14858,16048,-4926,-4356,-7152,1310,-251
Liczba akcji (tys. szt.),"5200000,000","5200000,000","52000,000","52000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","5200000,000","2600000,000","2600000,000","2600000,000","2600000,000","2600000,000","2600000,000","2600000,000","2600000,000","450000,000","450000,000","450000,000","1300000,000","450000,000"
Zysk na akcje (zl),"-0,003","0,000","-0,195","-0,017","-0,010","-0,001","-0,001","0,002","0,000","0,000","0,000","0,000","0,000","0,001","0,000","0,001","0,000","0,000","0,000","0,000","-0,001","0,000","0,000","0,000","0,000","0,001","0,001","0,000","0,000","0,000","0,000","0,001","0,000","0,002","0,000","-0,001","0,000"
Wartosc ksiegowa na akcje (zl),"0,001","0,001","-0,143","-0,156","0,003","0,003","0,002","0,004","0,013","0,013","0,013","0,013","0,011","0,012","0,013","0,013","0,010","0,010","0,010","0,010","0,009","0,009","0,009","0,010","0,006","0,006","0,007","0,007","0,005","0,005","0,006","0,006","-0,011","-0,010","-0,016","0,001","-0,001"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
