index,II Q 2013,III Q 2013,III Q 2015,III Q 2016,II Q 2012,III Q 2012,IV Q 2012,I Q 2013,II Q 2011,III Q 2011,IV Q 2011,I Q 2012,II Q 2010,III Q 2010,IV Q 2010,I Q 2011,II Q 2009,III Q 2009,IV Q 2009,I Q 2010,II Q 2008,III Q 2008,IV Q 2008,I Q 2009,II Q 2007,III Q 2007,IV Q 2007,I Q 2008,II Q 2006,III Q 2006,IV Q 2006,I Q 2007,II Q 2003,III Q 2003,IV Q 2003,IV Q 2005,II Q 2002,III Q 2002,IV Q 2002,I Q 2003,II Q 2001,III Q 2001,IV Q 2001,I Q 2002, Q 0000,II Q 1999,II Q 2000
Przychody netto ze sprzedaÅ¼y (tys. zl),22434,22061,32328,35908,18883,17355,19736,16193,15623,13659,16351,15916,18656,18602,15944,12546,27663,19919,21796,21016,33204,29819,28417,28139,19112,20652,26503,25751,18905,17820,21158,20948,5240,8419,6493,0,8822,9400,7899,7590,13614,8722,9344,9707,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),1423,373,3245,2647,-1294,-1146,-1483,-1259,270,-893,-3987,-2199,-17728,-3914,-14427,-158,-2660,-6081,-8064,-792,1535,1082,-3425,-2510,964,1493,3052,2529,692,918,194,1195,783,-385,1085,0,-1839,-1283,-1664,-1129,-2829,-2875,-4408,-3465,0,0,0
Zysk (strata) brutto (tys. zl),948,313,2911,2957,-1619,-1141,-500,-1635,399,-1516,-3184,-1962,-18320,-4652,-8723,-577,-3466,-6234,-9421,-1161,1610,339,-4871,-4172,1966,1089,3396,2182,6951,313,108,799,1516,-675,1815,0,-1268,-1036,-1869,-1087,-2488,-3405,-5832,-1359,0,0,0
Zysk (strata) netto (tys. zl),732,265,2853,4312,-1542,-1119,-657,-1716,6792,438,-4946,-2049,-16420,-4649,-8137,-866,-3611,-6121,-9593,-1161,1428,453,-5135,-4170,1995,1089,3035,2183,6972,359,678,767,884,-675,1789,0,-1242,-1036,-1833,-1123,-2460,-3405,-5786,-1359,0,0,0
Amortyzacja (tys. zl),685,622,0,0,704,639,781,638,735,605,952,709,1211,1146,-473,576,1317,1243,1202,1202,1222,1354,1362,1289,715,835,953,-1185,568,646,678,803,397,397,336,0,572,507,482,457,1094,580,832,613,0,0,0
EBITDA (tys. zl),2108,995,3245,2647,-590,-507,-702,-621,1005,-288,-3035,-1490,-16517,-2768,-14900,418,-1343,-4838,-6862,410,2757,2436,-2063,-1221,1679,2328,4005,1344,1260,1564,872,1998,1180,12,1421,0,-1267,-776,-1182,-672,-1735,-2295,-3576,-2852,0,0,0
Aktywa (tys. zl),0,56218,76538,89323,50744,53283,50689,52788,55876,0,53558,55469,79963,0,46626,58721,110273,0,93563,93389,116938,0,118229,119483,79546,0,93568,119172,0,0,81685,81507,16213,17300,16894,32109,24315,21582,19848,19388,48854,35282,35263,28729,0,64510,66428
Kapital wlasny (tys. zl),0,19282,35154,49085,22494,20758,20829,18736,31044,0,25919,23870,13283,0,4373,30465,41223,0,26446,33515,55787,0,49151,45308,32966,0,50977,53249,0,0,30155,30971,-11169,-11844,-10081,6964,-9704,-10741,-12915,-14012,2446,-1805,-7103,-8526,0,8488,7426
Liczba akcji (tys. szt.),"71250,000","71250,000","71250,000","71525,513","70610,000","71250,000","71250,000","71250,000","70610,000","70610,000","70610,000","70610,000","50500,000","50500,000","50500,000","70610,000","46000,000","46000,000","46000,000","50500,000","45330,492","45330,492","45330,492","46000,000","30000,000","30000,000","45000,000","45000,000","19761,120","19761,120","19761,120","30000,000","7500,000","7500,000","7500,000","14820,840","7500,000","7500,000","7500,000","7500,000","7500,000","7500,000","7500,000","7500,000",,"7500,000","7500,000"
Zysk na akcje (zl),"0,010","0,004","0,040","0,060","-0,022","-0,016","-0,009","-0,024","0,096","0,006","-0,070","-0,029","-0,325","-0,092","-0,161","-0,012","-0,079","-0,133","-0,209","-0,023","0,032","0,010","-0,113","-0,091","0,067","0,036","0,067","0,049","0,353","0,018","0,034","0,026","0,118","-0,090","0,239","0,000","-0,166","-0,138","-0,244","-0,150","-0,328","-0,454","-0,771","-0,181",,"0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,000","0,271","0,493","0,686","0,319","0,291","0,292","0,263","0,440","0,000","0,367","0,338","0,263","0,000","0,087","0,431","0,896","0,000","0,575","0,664","1,231","0,000","1,084","0,985","1,099","0,000","1,133","1,183","0,000","0,000","1,526","1,032","-1,489","-1,579","-1,344","0,470","-1,294","-1,432","-1,722","-1,868","0,326","-0,241","-0,947","-1,137",,"1,132","0,990"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
