index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,III Q 2008,IV Q 2008,II Q 2009,III Q 2009,III Q 2007,IV Q 2007,I Q 2008,II Q 2008,III Q 2006,IV Q 2006,I Q 2007,II Q 2007,III Q 2005,IV Q 2005,I Q 2006,II Q 2006,III Q 2004,IV Q 2004,I Q 2005,II Q 2005,III Q 2003,IV Q 2003,I Q 2004,II Q 2004,III Q 2002,IV Q 2002,I Q 2003,II Q 2003,III Q 2001,IV Q 2001,I Q 2002,II Q 2002,IV Q 2000,I Q 2001,II Q 2001,II Q 2001, Q 0000, Q 0000,IV Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),172067,86995,232001,100903,-14560,25587,487110,113150,38961,30804,43784,36025,50932,27814,35244,40222,33456,17677,53765,42081,26577,15764,64536,25877,238,233,13817,9952,10934,11414,0,218,10100,14534,14945,10891,27445,23104,10096,65476,44560,114450,39226,52079,46285,78681,44984,40183,46550,76432,41803,47652,59341,68641,37264,38099,117202,201094,80588,67847,0,134535,114082,114082,79588,114082,0
Zysk (strata) z dzialal. oper. (tys. zl),84468,38580,124538,44842,6501,-2676,291223,51151,2501,1211,3862,-2604,8790,2602,4378,4946,972,128,13734,5777,3250,4676,18743,5197,-735,-703,3358,-5419,-1801,3663,0,608,-3080,-6587,322,635,-553,-3620,-3047,-4508,-1130,-3556,-2402,-4117,114,1740,-356,-1296,-2823,8297,-68,2620,2230,8011,-2194,41087,-1729,9794,-2536,-60167,0,-10038,-10797,-10797,1396,-10797,0
Zysk (strata) brutto (tys. zl),85384,40178,127338,45915,5395,-4624,288642,52179,3856,1940,4414,-2415,8493,3306,4313,5244,800,248,13933,5612,3032,4521,18482,5617,-903,-885,2221,-5890,-1770,3675,0,605,-3254,-11582,204,-247,-2754,-3621,-3278,-4395,-684,-3736,-1823,-4760,742,3997,-697,-2251,-4244,7915,153,2009,-2378,17567,-11934,53341,-12667,3848,-5301,-70528,0,-12223,-10270,-10270,4028,-10270,0
Zysk (strata) netto (tys. zl),65769,32562,102120,36595,2520,-5216,241468,40409,2381,1586,2987,-1882,8539,4071,3640,4427,936,469,13341,5776,1802,4131,16318,4772,-903,-885,1367,-5942,-1770,3675,0,605,-3254,-11582,204,-247,-2703,-3621,-3278,-4395,-542,-3382,-1676,-4388,985,4229,-563,-2115,-4123,7686,394,2070,-2323,22143,-11842,53239,-9866,-1996,-4293,-67365,0,-13854,-4729,-4729,4260,-4729,0
Amortyzacja (tys. zl),-71922,1896,32223,1264,583,1175,62508,13386,801,826,832,921,782,740,794,804,505,563,585,687,530,471,554,447,88,80,422,491,148,121,0,89,283,235,168,146,0,0,274,288,0,0,0,0,0,0,730,0,926,894,851,873,3618,4346,2614,2531,4009,3791,3884,7783,0,2609,4058,4058,1,1,0
EBITDA (tys. zl),12546,40476,156761,46106,7084,-1501,353731,64537,3302,2037,4694,-1683,9572,3342,5172,5750,1477,691,14319,6464,3780,5147,19297,5644,-647,-623,3780,-4928,-1653,3784,0,697,-2797,-6352,490,781,-553,-3620,-2773,-4220,-1130,-3556,-2402,-4117,114,1740,374,-1296,-1897,9191,783,3493,5848,12357,420,43618,2280,13585,1348,-52384,0,-7429,-6739,-6739,1397,-10796,0
Aktywa (tys. zl),673946,693697,760760,787904,248945,264061,566906,568705,217635,239889,262878,265661,202892,193015,200819,212128,185275,168617,189325,199536,167514,169450,181689,0,35227,35335,152740,0,0,24056,10117,0,0,23030,36136,22020,0,38937,28546,23768,0,80562,50468,53906,0,75246,57352,51757,76876,77419,62865,59127,297369,237230,222412,57943,367149,358433,298738,307346,352181,269920,399714,399714,76368,399714,425819
Kapital wlasny (tys. zl),513675,547119,650846,691834,168018,164521,405846,446860,166119,168338,165892,165043,151530,155992,160114,164431,123412,123565,137148,142896,77665,100674,119859,0,3620,2753,56771,0,0,5734,3873,0,0,-14152,-13948,4573,0,8381,5103,708,0,20720,19044,14362,0,27318,26755,24640,12380,20066,20149,22104,-46785,-24874,-36736,16503,43227,33147,22699,-44429,77377,60571,53947,53947,27349,53947,139489
Liczba akcji (tys. szt.),"94950,000","94950,000","95160,000","95820,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","94950,000","70000,000","94950,000","94950,000","94950,000","28152,324","28152,324","70000,000","70000,000","28152,324","28152,324","28152,324","28152,324","9384,108","9384,108","9384,108","28152,324","13284,108","13284,108","13284,108","9384,108","9384,108","9384,108","9384,108","13284,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108","9384,108"
Zysk na akcje (zl),"0,693","0,343","1,073","0,382","0,027","-0,055","2,543","0,426","0,025","0,017","0,031","-0,020","0,090","0,043","0,038","0,047","0,010","0,005","0,141","0,061","0,026","0,044","0,172","0,050","-0,032","-0,031","0,020","-0,085","-0,063","0,131","0,000","0,021","-0,347","-1,234","0,022","-0,009","-0,203","-0,273","-0,247","-0,468","-0,058","-0,360","-0,179","-0,330","0,105","0,451","-0,060","-0,225","-0,439","0,819","0,042","0,221","-0,248","2,360","-1,262","5,673","-1,051","-0,213","-0,457","-7,179","0,000","-1,476","-0,504","-0,504","0,454","-0,504","0,000"
Wartosc ksiegowa na akcje (zl),"5,410","5,762","6,839","7,220","1,770","1,733","4,274","4,706","1,750","1,773","1,747","1,738","1,596","1,643","1,686","1,732","1,300","1,301","1,444","1,505","1,110","1,060","1,262","0,000","0,129","0,098","0,811","0,000","0,000","0,204","0,138","0,000","0,000","-1,508","-1,486","0,162","0,000","0,631","0,384","0,075","0,000","2,208","2,029","1,081","0,000","2,911","2,851","2,626","1,319","2,138","2,147","2,355","-4,986","-2,651","-3,915","1,759","4,606","3,532","2,419","-4,734","8,246","6,455","5,749","5,749","2,914","5,749","14,864"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
