index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,I Q 2007,II Q 2007,III Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),13477,7724,3794,6215,81126,25019,3502,4086,5738,6673,19139,2084,13148,79395,12953,9204,15400,9638,8369,10051,21791,13021,29847,23090,8628,11426,17457,35857,11626,9298,7435,2700,7367,7282,7011,7468,2094,4021,4812
Zysk (strata) z dzialal. oper. (tys. zl),344,-1081,-1475,-2370,22763,-9001,-4170,-4567,-15576,-1460,-11805,-7086,-14596,30898,1490,-1053,841,-790,-2512,-3532,3992,1526,10956,7794,-10243,4549,7250,18397,1253,-950,-690,-5320,1553,1540,83,-413,-29,1881,789
Zysk (strata) brutto (tys. zl),220,-1011,-993,-2799,22692,-8065,-4258,-4560,-16002,-1540,-11954,-6882,-14932,30432,1006,-1397,1526,-2130,-3197,-3113,4068,1538,10829,8409,-10641,3922,8629,15924,2577,-669,-547,-6003,1570,1710,349,-520,73,1744,499
Zysk (strata) netto (tys. zl),-431,-1502,-1157,-2795,22353,-7860,-2827,-4637,-13388,-1455,-11929,-6882,-12321,24201,20460,-1559,82,-2048,-2587,-2838,3292,1132,8985,6712,-8328,3297,7199,13106,2219,-58,-506,-5648,1612,1367,88,-485,59,1344,373
Amortyzacja (tys. zl),2922,3188,1461,1627,20761,10774,-5765,2843,5880,2065,16421,3011,556,6653,2218,1999,1463,828,672,478,1733,1580,1627,1523,2745,1397,1261,1593,1986,2446,2458,2780,523,1005,1201,1484,237,281,575
EBITDA (tys. zl),3266,2107,-14,-743,43524,1773,-9935,-1724,-9696,605,4616,-4075,-14040,37551,3708,946,2304,38,-1840,-3054,5725,3106,12583,9317,-7498,5946,8511,19990,3239,1496,1768,-2540,2076,2545,1284,1071,208,2162,1364
Aktywa (tys. zl),90678,96371,93530,97455,99258,92835,92474,85243,97997,95620,92768,89474,72457,128049,100440,103540,70654,69127,0,80787,59617,53264,0,0,35713,38582,0,0,44084,46681,44531,0,36107,36880,35913,0,5430,13069,0
Kapital wlasny (tys. zl),75227,73695,72497,69647,83041,83110,80256,75620,80547,79073,67334,60447,39657,63563,83532,82698,57772,58357,0,52387,42962,44101,0,0,16805,20553,0,0,33030,32863,30355,0,30009,31343,31566,0,3513,7313,0
Liczba akcji (tys. szt.),"13914,999","13914,999","13914,999","13914,999","13914,999","13914,999","13914,999","13914,999","12650,000","13914,999","13914,999","13914,999","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12650,000","12540,000","12540,000","12540,000","12540,000","12540,000","12540,000","12540,000","12540,000","10040,000","10040,000","10040,000"
Zysk na akcje (zl),"-0,031","-0,108","-0,083","-0,201","1,606","-0,565","-0,203","-0,333","-1,058","-0,105","-0,857","-0,495","-0,974","1,913","1,617","-0,123","0,006","-0,162","-0,205","-0,224","0,260","0,089","0,710","0,531","-0,658","0,261","0,569","1,036","0,177","-0,005","-0,040","-0,450","0,129","0,109","0,007","-0,039","0,006","0,134","0,037"
Wartosc ksiegowa na akcje (zl),"5,406","5,296","5,210","5,005","5,968","5,973","5,768","5,434","6,367","5,683","4,839","4,344","3,135","5,025","6,603","6,537","4,567","4,613","0,000","4,141","3,396","3,486","0,000","0,000","1,328","1,625","0,000","0,000","2,634","2,621","2,421","0,000","2,393","2,499","2,517","0,000","0,350","0,728","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
