index,IV Q 2014,III Q 2015,IV Q 2015,III Q 2016,IV Q 2012,IV Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),0,28485,29991,22391,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,4951,11415,8805,0,0
Zysk (strata) brutto (tys. zl),0,4738,11116,8364,0,0
Zysk (strata) netto (tys. zl),0,4085,7278,7201,0,0
Amortyzacja (tys. zl),0,2273,2574,3493,0,0
EBITDA (tys. zl),0,7224,13989,12298,0,0
Aktywa (tys. zl),105435,145366,168289,197724,69798,82591
Kapital wlasny (tys. zl),69619,93539,100817,131461,36035,52202
Liczba akcji (tys. szt.),"30000,000","30000,000","30000,000","30000,000","30000,000","30000,000"
Zysk na akcje (zl),"0,000","0,136","0,243","0,240","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"2,321","3,118","3,361","4,382","1,201","1,740"
Raport zbadany przez audytora,N,N,N,N,N,N
