index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),238496,222789,221724,235510,237770,222708,210734,217026,249440,201717,216909,227432,174608,146929,188482,222649,180552,147793,158174,153849,177974,149470,150929,157768,158236,139415,150417,153785,156672,131597,139581,150999,145863,118686,118726,140197,131383,118623,102333,122827,92430,99732,97063,102887
Zysk (strata) z dzialal. oper. (tys. zl),13359,18033,3563,14627,-596,21014,17522,17121,-3760,11858,206,19083,-13351,5081,-589,21333,-1843,1548,11453,4818,15349,11399,3111,13869,14048,11574,1074,11297,-33162,11458,14113,12981,-4404,4368,-5848,7574,8749,12224,87501,4164,760,10460,4487,2710
Zysk (strata) brutto (tys. zl),15294,18127,4232,14327,561,19949,16990,17685,-3474,9564,3407,16913,-11709,4429,-2178,19419,-1194,4026,9854,6278,15500,12027,3615,11413,13913,10437,2006,11322,-36282,9546,12893,12972,-6850,2353,-6841,4895,9254,11911,87064,2746,1429,9987,4158,2588
Zysk (strata) netto (tys. zl),21637,14765,4197,15175,-3692,15826,13103,16256,11032,5857,3645,14981,30282,4142,1962,10298,-1665,3216,7660,5269,12037,9198,2629,9372,9030,7992,1716,8913,-32170,5921,7496,10329,-4665,1692,-8389,4302,7336,9631,70331,2323,1071,8063,3286,1990
Amortyzacja (tys. zl),8136,7818,7680,7726,7491,7955,7930,6989,7399,7267,7269,7985,5675,5439,6390,6773,4647,4748,4839,4814,6020,4774,4789,4715,6441,6249,6203,6076,5597,6991,6033,6591,5028,5151,5261,6635,3607,3333,3189,3912,0,2984,3002,3138
EBITDA (tys. zl),21495,25851,11243,22353,6895,28969,25452,24110,3639,19125,7475,27068,-7676,10520,5801,28106,2804,6296,16292,9632,21369,16173,7900,18584,20489,17823,7277,17373,-27565,18449,20146,19572,624,9519,-587,14209,12356,15557,90690,8076,760,13444,7489,5848
Aktywa (tys. zl),1090571,1077437,1083337,1108255,1062962,1075323,1053970,1083051,1129527,1071338,1080879,1087269,821759,871819,1080556,1112536,868733,807249,819262,833418,791538,804846,783229,0,799827,786171,784212,0,826660,812742,802284,0,502564,498796,843943,0,286446,297737,442803,0,260590,0,0,0
Kapital wlasny (tys. zl),852091,868342,865453,880167,784845,800671,815075,831242,663155,669073,667433,682414,639991,639772,641435,651741,601241,601037,608283,612206,587655,595407,596065,0,555866,564160,565796,0,529593,534627,538239,0,240399,241162,555769,0,163729,172263,243032,0,143433,0,0,0
Liczba akcji (tys. szt.),"192803,769","192803,769","192803,769","192803,769","143359,460","143359,460","192803,769","192803,769","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143359,460","143511,000","143359,460","143359,460","143359,460","52253,560","52253,560","52253,560","143511,000","52253,560","52253,560","52253,560","52253,560","52253,560","52253,560","52253,560","52253,560"
Zysk na akcje (zl),"0,112","0,077","0,022","0,079","-0,026","0,110","0,068","0,084","0,077","0,041","0,025","0,104","0,211","0,029","0,014","0,072","-0,012","0,022","0,053","0,037","0,084","0,064","0,018","0,065","0,063","0,056","0,012","0,062","-0,224","0,041","0,052","0,072","-0,089","0,032","-0,161","0,030","0,140","0,184","1,346","0,044","0,020","0,154","0,063","0,038"
Wartosc ksiegowa na akcje (zl),"4,419","4,504","4,489","4,565","5,475","5,585","4,227","4,311","4,626","4,667","4,656","4,760","4,464","4,463","4,474","4,546","4,194","4,193","4,243","4,270","4,099","4,153","4,158","0,000","3,877","3,935","3,947","0,000","3,690","3,729","3,754","0,000","4,601","4,615","10,636","0,000","3,133","3,297","4,651","0,000","2,745","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
