index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007,II Q 2008,III Q 2008,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),122432,139728,140404,147598,108967,125533,119877,127827,115491,124242,124929,128648,115982,135424,134880,135508,127736,143540,130885,138427,114807,145604,143885,151223,110646,122877,128467,137363,93518,101786,103754,116904,0,0,0,105824,0
Zysk (strata) z dzialal. oper. (tys. zl),2032,4391,3722,4773,2153,3448,2765,3321,2088,2520,2791,3167,546,2136,3096,2956,-1554,-925,-2184,-538,2195,2583,2016,1520,2686,2526,1615,3017,2280,2175,2391,3326,0,0,0,2894,0
Zysk (strata) brutto (tys. zl),1795,3951,3228,4380,1815,3102,2506,3063,1573,1962,2319,2800,-272,1462,2545,2424,-2218,-1683,-2983,-1404,1768,2102,1406,895,2501,2269,1293,2671,1819,1757,2078,2983,0,0,0,2261,0
Zysk (strata) netto (tys. zl),1339,3258,2634,3600,1359,2311,1963,2277,1094,1508,1600,1974,971,920,1918,1618,-1886,-2105,-3043,-1770,912,1206,891,308,1912,1583,857,1884,1298,1132,1074,2049,0,0,0,1415,0
Amortyzacja (tys. zl),518,598,604,622,495,437,412,398,653,598,575,550,807,722,682,661,710,806,853,871,456,556,558,601,342,314,298,310,352,364,345,345,0,0,0,311,0
EBITDA (tys. zl),2550,4989,4326,5395,2648,3885,3177,3719,2741,3118,3366,3717,1353,2858,3778,3617,-844,-119,-1331,333,2651,3139,2574,2121,3028,2840,1913,3327,2632,2539,2736,3671,0,0,0,3205,0
Aktywa (tys. zl),156933,175961,181358,183537,106778,128510,126904,133564,117667,131033,134356,131748,126527,148143,146853,140929,0,166740,161015,160328,116418,163865,159619,0,91704,105137,119436,0,86722,101356,101939,0,63871,80757,104685,0,55700
Kapital wlasny (tys. zl),49705,52964,53867,57469,43165,45477,45947,48225,36736,38245,39847,41822,32705,33626,35546,37166,0,36676,32660,30832,41118,42324,42500,0,36379,37962,38819,0,17208,18341,19413,0,10898,12034,14495,0,9379
Liczba akcji (tys. szt.),"5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","5980,000","4480,000","4480,000","4480,000","4480,000","4480,000","4480,000","4480,000","4480,000","4480,000"
Zysk na akcje (zl),"0,224","0,545","0,440","0,602","0,227","0,386","0,328","0,381","0,183","0,252","0,268","0,330","0,162","0,154","0,321","0,271","-0,315","-0,352","-0,509","-0,296","0,153","0,202","0,149","0,052","0,320","0,265","0,143","0,315","0,290","0,253","0,240","0,457","0,000","0,000","0,000","0,316","0,000"
Wartosc ksiegowa na akcje (zl),"8,312","8,857","9,008","9,610","7,218","7,605","7,683","8,064","6,143","6,395","6,663","6,994","5,469","5,623","5,944","6,215","0,000","6,133","5,462","5,156","6,876","7,078","7,107","0,000","6,083","6,348","6,491","0,000","3,841","4,094","4,333","0,000","2,433","2,686","3,235","0,000","2,094"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
