index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),9724,7482,13176,14942,8861,7005,11757,12993,8887,6389,11850,12339,8564,6786,10718,12389,9823,7196,10078,11438,11087,9041,11504,13131,10385,8960,10536,13678,11674,10405,12135,13535,11494,10680,13091,14041,11814,9564,12789,13760,11979,9866,12813,13997,11399,8840,12894,14469,10483,9672,12673,14351,11372,8602,10908,11872,11892,9248,12053,10913,0,8514,10941,13789,0,0,0,0,11399,0
Zysk (strata) z dzialal. oper. (tys. zl),1805,268,4730,6356,1302,70,3757,4384,1604,-139,3785,4348,303,-130,1756,4127,1093,-492,5087,2984,544,-797,1660,3094,-338,-1032,823,3476,-558,-1231,822,2070,-1,-500,1257,1143,442,143,3636,2101,16,567,1303,1898,101,3287,851,1604,-403,-246,1044,1945,-2084,355,322,2152,512,26,802,1104,0,141,473,779,0,0,0,0,101,0
Zysk (strata) brutto (tys. zl),889,-123,3473,6048,200,-2283,2589,4467,1074,-1111,2840,3260,-853,-1440,423,3339,-351,-806,2467,2433,-1423,-1474,-863,-197,-1508,-2239,-2631,3098,-2288,-2593,-327,927,-522,-629,1454,1476,-140,-283,2032,1892,-499,-12,916,1558,-442,1425,343,3008,753,-599,1257,1469,-2882,133,26,845,381,211,578,857,0,-205,79,673,0,0,0,0,-442,0
Zysk (strata) netto (tys. zl),684,-368,3099,5370,154,-2195,2262,3749,930,-1270,2399,2855,-1052,-1403,271,2832,-454,-1042,1708,1958,-1335,-1582,-652,-158,-1439,-2303,-2214,2614,-2194,-2593,-301,929,-576,-693,1365,933,-107,-326,1667,1667,-321,-390,753,1306,-441,669,318,2380,721,-632,1060,1142,-2962,-8,-139,444,196,131,361,515,0,-263,-94,418,0,0,0,0,-441,0
Amortyzacja (tys. zl),913,911,917,914,933,922,925,934,910,920,913,915,1065,1044,1030,998,1115,1091,1076,1063,1101,1102,1097,1098,1054,1076,1091,1093,1100,1110,1013,1075,626,632,566,721,623,628,633,631,662,629,657,646,713,638,630,627,718,714,671,678,398,378,601,711,480,416,402,397,0,474,476,444,0,0,0,0,2578,0
EBITDA (tys. zl),2718,1179,5647,7270,2235,992,4682,5318,2514,781,4698,5263,1368,914,2786,5125,2208,599,6163,4047,1645,305,2757,4192,716,44,1914,4569,542,-121,1835,3145,625,132,1823,1864,1065,771,4269,2732,678,1196,1960,2544,814,3925,1481,2231,315,468,1715,2623,-1686,733,923,2863,992,442,1204,1501,0,615,949,1223,0,0,0,0,2679,0
Aktywa (tys. zl),109938,109744,112934,113714,108814,109838,111747,111757,110858,110872,111019,110574,115530,114290,113520,113241,117347,116618,118791,118739,121105,120958,119708,119495,125169,124837,125418,124658,137214,128928,128236,127883,90809,107716,129822,141214,76641,75583,78591,85622,77270,77118,77553,77802,81843,76256,76826,79172,87656,85554,85368,84878,86100,94382,92932,89577,63539,64383,71210,81699,59795,61419,63667,62823,28378,30849,37114,39958,81669,30062
Kapital wlasny (tys. zl),29926,29558,30947,36317,26935,24740,25493,29242,24022,22752,23926,26781,21875,21414,20260,23092,19628,18585,20970,22928,23640,22058,20151,19993,31212,28909,22362,24975,35221,33279,31723,32652,37463,36370,36481,37414,35797,35471,36372,38039,35370,34689,34473,35904,37085,37582,35176,35695,33322,32690,32377,33519,33430,33422,32302,32601,36035,36917,36251,36760,27335,42126,41226,36126,19733,19499,19542,19732,32948,20429
Liczba akcji (tys. szt.),"1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150","1665,150"
Zysk na akcje (zl),"0,411","-0,221","1,861","3,225","0,092","-1,318","1,358","2,251","0,559","-0,763","1,441","1,715","-0,632","-0,843","0,163","1,701","-0,273","-0,626","1,026","1,176","-0,802","-0,950","-0,392","-0,095","-0,864","-1,383","-1,330","1,570","-1,318","-1,557","-0,181","0,558","-0,346","-0,416","0,820","0,560","-0,064","-0,196","1,001","1,001","-0,193","-0,234","0,452","0,784","-0,265","0,402","0,191","1,429","0,433","-0,380","0,637","0,686","-1,779","-0,005","-0,083","0,267","0,118","0,079","0,217","0,309","0,000","-0,158","-0,056","0,251","0,000","0,000","0,000","0,000","-0,265","0,000"
Wartosc ksiegowa na akcje (zl),"17,972","17,751","18,585","21,810","16,176","14,858","15,310","17,561","14,426","13,664","14,369","16,083","13,137","12,860","12,167","13,868","11,788","11,161","12,593","13,769","14,197","13,247","12,102","12,007","18,744","17,361","13,429","14,999","21,152","19,986","19,051","19,609","22,498","21,842","21,909","22,469","21,498","21,302","21,843","22,844","21,241","20,832","20,703","21,562","22,271","22,570","21,125","21,437","20,011","19,632","19,444","20,130","20,076","20,071","19,399","19,578","21,641","22,170","21,770","22,076","16,416","25,299","24,758","21,695","11,851","11,710","11,736","11,850","19,787","12,269"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
