index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),310414,214830,313398,251694,351518,245835,347066,339515,270905,184441,257901,314456,329699,166524,216319,251805,332659,184843,256377,247083,286603,145077,227422,240057,222722,129429,183205,187511,228420,122710,181698,173818,243677,169618,204782,208166,187299,132980,153102,149883,116086,69085,89700,128259,113262,45202,79718,103912,726518,38716,64200,69775,608772,558922,927225,991358,597649,559201,880372,908193,0,491014,0,776213,0,0,0,0,0,113262,0
Zysk (strata) z dzialal. oper. (tys. zl),8228,2531,20912,19505,13623,14129,21856,18877,16284,-466,5498,17701,6160,3798,-1893,6493,17656,9509,-8057,14846,14720,4291,8265,19075,23289,6682,19551,12105,15496,12586,19961,13116,11329,12709,16968,26097,8157,8317,9911,14685,4608,4529,2130,8697,7568,-1599,5022,4927,-12130,-1103,3431,1388,-94784,26497,131111,144078,-27567,19629,116218,115970,0,13933,0,56581,0,0,0,0,0,7568,0
Zysk (strata) brutto (tys. zl),8515,2024,26186,21624,12523,12750,22099,18217,14159,-708,4582,17107,8121,3244,-1619,7053,18504,10206,-6181,15708,15475,3847,8437,18332,22917,6362,19875,13142,15807,12697,21373,13632,11900,13501,17607,27592,7793,8109,9522,15263,4727,4317,1795,8348,7089,-1502,4923,4633,-19221,-1300,2925,330,-103410,20632,117091,139039,-56162,2655,99057,104286,0,-34316,0,4545,0,0,0,0,0,7089,0
Zysk (strata) netto (tys. zl),6380,1639,21301,17204,11047,9863,17465,16450,11746,-3248,5363,14159,6336,3834,-3007,4640,14525,8065,-4266,12764,12344,3452,7477,12464,18111,5942,15485,11279,12952,9515,15528,11373,9678,10963,14420,21958,5321,5865,6733,12434,4249,1327,2616,6113,5351,1176,2750,3457,-2242,-1913,3024,-471,-89406,10555,90025,107880,-53531,-635,81603,87030,0,-32068,0,-3177,0,0,0,0,0,5351,0
Amortyzacja (tys. zl),3606,3336,3246,3393,3411,3543,3912,3588,2954,3186,3586,3398,3105,3590,3558,4028,2775,3172,2935,2954,2685,2983,3287,3271,2623,2717,2718,2796,2261,2414,2410,2608,1456,1642,5991,2186,1252,1252,1318,1338,1233,1145,1097,1172,1347,1307,1273,1246,1564,1475,1606,1430,1564,1564,1564,1564,1564,1564,1564,1564,0,1657,0,1564,0,0,0,0,0,2578,0
EBITDA (tys. zl),11834,5867,24158,22898,17034,17672,25768,22465,19238,2720,9084,21099,9265,7388,1665,10521,20431,12681,-5122,17800,17405,7274,11552,22346,25912,9399,22269,14901,17757,15000,22371,15724,12785,14351,22959,28283,9409,9569,11229,16023,5841,5674,3227,9869,8915,-292,6295,6173,-10566,372,5037,2818,-93220,28061,132675,145642,-26003,21193,117782,117534,0,15590,0,58145,0,0,0,0,0,10146,0
Aktywa (tys. zl),897827,801020,859924,831780,911812,868086,847935,962005,775664,746721,804985,824437,691834,603221,646864,749084,659560,587690,623583,615198,579383,496737,557897,0,474004,434170,471793,0,448552,406604,429319,0,338886,376348,407944,0,273843,273129,251618,0,175408,161366,187915,0,172525,148305,165358,0,2032546,126841,154255,0,1893856,2016619,2169979,2056390,1957683,1954476,2098317,1991608,146835,1899364,143076,1998869,144076,155183,152340,147021,0,172525,141862
Kapital wlasny (tys. zl),386841,389029,388692,404709,338046,348665,367162,381478,325614,319171,317002,329775,318102,323652,311798,313980,329490,336830,302144,313008,319956,324843,303513,0,289179,295503,296358,0,249624,258486,260287,0,111654,211334,213882,0,84539,90479,89175,0,70086,71472,68132,0,64755,63614,62395,0,1105856,61814,59843,0,1121861,1138259,1001197,1111814,1051585,1030233,1120753,1210413,65238,488830,63647,450616,93857,86418,88196,79746,0,64755,84698
Liczba akcji (tys. szt.),"5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","5001,645","4474,133","5001,645","5001,645","5001,645","4474,133","4474,133","4474,133","4474,133","4225,037","4225,037","4225,037","4474,133","4225,037","4225,037","4225,037","4225,037","11335,454","4225,037","4225,037","4225,037","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","4225,037","7392,686","4225,037","7392,686","4225,037","4225,037","4225,037","4225,037",,"3971,000","4225,037"
Zysk na akcje (zl),"1,276","0,328","4,259","3,440","2,209","1,972","3,492","3,289","2,348","-0,649","1,072","2,831","1,267","0,767","-0,601","0,928","2,904","1,612","-0,853","2,552","2,468","0,690","1,495","2,492","3,621","1,188","3,096","2,255","2,590","1,902","3,105","2,274","2,163","2,192","2,883","4,390","1,189","1,311","1,505","2,779","1,006","0,314","0,619","1,366","1,266","0,278","0,651","0,818","-0,198","-0,453","0,716","-0,111","-7,887","0,931","7,942","9,517","-4,722","-0,056","7,199","7,678","0,000","-4,338","0,000","-0,430","0,000","0,000","0,000","0,000",,"1,348","0,000"
