index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,II Q 2013,III Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),62935,65596,68324,68120,54277,56416,58089,57219,56222,54009,54920,50470,0,52816
Zysk (strata) z dzialal. oper. (tys. zl),-1723,-835,1369,3926,54,1273,28,1300,2364,722,37019,3045,0,2847
Zysk (strata) brutto (tys. zl),-2093,-1160,1100,3669,267,2068,-33,1345,1633,306,38144,2822,0,2276
Zysk (strata) netto (tys. zl),-1936,-1100,944,2665,-113,1735,-248,1006,1353,807,38392,2473,0,1650
Amortyzacja (tys. zl),3432,3772,4084,4141,2413,2550,2610,2930,2621,2684,2334,2257,0,2639
EBITDA (tys. zl),1709,2937,5453,8067,2467,3823,2638,4230,4985,3406,39353,5302,0,5486
Aktywa (tys. zl),187798,183221,182031,187472,170076,174681,174401,182508,136820,135029,162624,165073,139771,0
Kapital wlasny (tys. zl),107374,105982,107036,109724,109386,111122,108478,109310,67842,68649,107041,109499,64840,0
Liczba akcji (tys. szt.),"23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900","23566,900"
Zysk na akcje (zl),"-0,082","-0,047","0,040","0,113","-0,005","0,074","-0,011","0,043","0,057","0,034","1,629","0,105","0,000","0,070"
Wartosc ksiegowa na akcje (zl),"4,556","4,497","4,542","4,656","4,642","4,715","4,603","4,638","2,879","2,913","4,542","4,646","2,751","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N
