index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),233640,135589,160564,178104,168657,179612,230729,197845,78554,92337,121310,154817,72525,63866,102314,104940,58722,79521,82807,99288,71550,50392,65578,72511,29315,28174,42006,44257,67413,69012,60253,46796,31270,26447,26671,39104,68862,38268,50238,48190,0,0,0,32410
Zysk (strata) z dzialal. oper. (tys. zl),7053,2856,1903,-426,5207,2013,7887,9074,3313,4587,3885,7832,4519,2479,4664,6214,3453,5520,4628,7031,-543,1373,2200,6860,-10217,-6154,-1089,-2070,8363,10641,8409,-80,-1473,4708,2881,2228,4161,9065,8379,5958,0,0,0,2830
Zysk (strata) brutto (tys. zl),5619,537,672,-4999,5089,800,7300,8003,2825,4465,3866,7190,3412,4147,6672,4668,3269,3470,5725,5078,172,1344,2304,6598,-10856,-6824,-1172,-1535,5670,9334,8277,-1834,-3481,3552,-1756,1691,2210,11122,5950,5533,0,0,0,2483
Zysk (strata) netto (tys. zl),3987,-550,-358,-2848,2139,-243,4268,3903,2030,3453,2653,4681,2770,3053,5330,3393,2498,2951,4465,3026,557,356,2174,5557,-9460,-6529,-1007,-1680,4364,7595,5672,-1692,-2383,2097,-2008,1362,531,9238,4410,3967,0,0,0,1909
Amortyzacja (tys. zl),1781,1914,1884,1830,1555,1493,1560,1525,1803,1595,1659,1366,1898,1826,1731,1716,2195,1865,1877,1859,1809,2127,2169,2172,2117,1935,2027,2270,1751,1817,1797,1771,1285,1141,1143,1352,938,999,998,1302,0,0,0,848
EBITDA (tys. zl),8834,4770,3787,1404,6762,3506,9447,10599,5116,6182,5544,9198,6417,4305,6395,7930,5648,7385,6505,8890,1266,3500,4369,9032,-8100,-4219,938,200,10114,12458,10206,1691,-188,5849,4024,3580,5099,10064,9377,7260,0,0,0,3678
Aktywa (tys. zl),424559,377672,382744,364442,295315,299442,357970,372364,307664,296119,290252,311576,248199,266202,308367,257633,263739,223080,235930,240716,208334,211549,213983,0,179006,174752,185212,0,203495,210208,200192,0,175618,163760,157142,0,140618,131951,138710,0,101849,82829,97465,0
Kapital wlasny (tys. zl),140166,139783,130398,127520,139752,139688,132294,136206,137973,141173,133004,137686,129436,132534,132549,135934,120873,123899,123713,126700,110411,110721,112902,0,119168,112925,111337,0,119009,125845,130147,0,112628,114625,112859,0,54652,44523,48797,0,41540,42504,48617,0
Liczba akcji (tys. szt.),"18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","18000,000","14400,000","14400,000","14400,000","14400,000","14400,000","14400,000","14400,000","14400,000"
Zysk na akcje (zl),"0,222","-0,031","-0,020","-0,158","0,119","-0,014","0,237","0,217","0,113","0,192","0,147","0,260","0,154","0,170","0,296","0,189","0,139","0,164","0,248","0,168","0,031","0,020","0,121","0,309","-0,526","-0,363","-0,056","-0,093","0,242","0,422","0,315","-0,094","-0,132","0,117","-0,112","0,076","0,037","0,642","0,306","0,275","0,000","0,000","0,000","0,133"
Wartosc ksiegowa na akcje (zl),"7,787","7,766","7,244","7,084","7,764","7,760","7,350","7,567","7,665","7,843","7,389","7,649","7,191","7,363","7,364","7,552","6,715","6,883","6,873","7,039","6,134","6,151","6,272","0,000","6,620","6,274","6,185","0,000","6,612","6,991","7,230","0,000","6,257","6,368","6,270","0,000","3,795","3,092","3,389","0,000","2,885","2,952","3,376","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
