index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,I Q 2005,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),5044174,4764047,5340766,5761179,4445835,4605767,5181696,5486575,4230152,3721364,4288738,4507908,4211052,3863847,4198969,4244565,2619983,3734762,4222235,4402465,2297550,2079371,2564629,2716613,1648350,1540627,1764363,2189219,1603417,1486607,1713015,1850370,1276145,1225585,1569322,1732340,1032914,1008764,1150424,1293612,420412,395973,863003,945087,379546,422850,464329
Zysk (strata) z dzialal. oper. (tys. zl),145275,6643,70038,81078,125012,6761,75339,97708,94355,12062,69576,80521,160700,21212,84279,85840,84429,33869,84959,97298,73894,14556,46313,47657,59262,16274,38789,41491,41309,15909,34883,35145,32196,13239,31015,29947,21082,8146,22546,23900,13543,-1431,18302,17263,5489,11623,13996
Zysk (strata) brutto (tys. zl),118130,3361,63065,75854,92804,-5471,65634,88117,72458,690,58849,66801,130516,6767,72004,75440,61208,13306,62007,77827,53235,10709,40332,41107,46480,15268,38588,38767,31726,13457,34224,34960,25940,12073,29089,21807,20275,5918,20681,22501,12063,-1182,17616,17421,4046,11588,13985
Zysk (strata) netto (tys. zl),96997,1178,52483,58660,72346,-3359,48613,70119,74823,1344,49340,57508,120932,11267,61048,73871,53839,10267,52458,66724,47756,8781,35262,36516,36982,13480,33451,33769,27338,10554,27189,27809,19617,9079,23198,18880,15409,4455,16721,18087,8958,-1853,14598,13418,2408,9818,11381
Amortyzacja (tys. zl),39438,40698,40227,42163,32285,35024,38686,37404,29756,29498,31264,32244,33757,28967,28404,29332,18720,26134,25323,28148,17406,18115,17982,17982,13017,13239,13574,16048,11967,11824,12099,12377,9028,9383,10208,11402,8215,8355,9136,9166,6796,6657,7528,9656,6123,6138,6497
EBITDA (tys. zl),184713,47341,110265,123241,157297,41785,114025,135112,124111,41560,100840,112765,194457,50179,112683,115172,103149,60003,110282,125446,91300,32671,64295,65639,72279,29513,52363,57539,53276,27733,46982,47522,41224,22622,41223,41349,29297,16501,31682,33066,20339,5226,25830,26919,11612,17761,20493
Aktywa (tys. zl),5024551,5157313,5530756,5448950,5385515,5019585,5246492,5137120,4825560,4665812,4960743,4913706,4678861,4568353,4811608,4558731,4690511,4306166,0,4545456,2402981,2146769,0,2289695,1392252,1359753,0,2075952,1244023,1112443,1181080,1236551,869728,867268,1189385,1114972,698120,692160,763567,781700,441942,565697,0,648223,370591,0,408268
Kapital wlasny (tys. zl),1107315,1111665,986592,1046940,996232,999364,935156,1003306,884356,889431,828983,886318,777451,795046,734654,811366,548493,560811,0,661622,457093,468677,0,494032,366789,380728,0,407721,282890,302111,295184,324990,233393,247682,231587,251972,199033,204459,192611,211585,175750,174287,0,182777,145233,0,166661
Liczba akcji (tys. szt.),"138829,311","138920,436","139085,536","139085,536","138578,386","138680,636","138680,636","138680,636","138427,636","138455,136","138551,136","138573,386","137976,536","138048,336","138295,136","138301,736","136930,136","136930,136","137302,536","137873,436","136351,991","136657,761","136922,211","136930,136","134392,736","135246,736","136320,261","136326,511","130777,550","132368,100","133519,274","133686,878","127742,000","129135,000","129569,550","130254,550","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000","127742,000"
Zysk na akcje (zl),"0,699","0,008","0,377","0,422","0,522","-0,024","0,351","0,506","0,541","0,010","0,356","0,415","0,876","0,082","0,441","0,534","0,393","0,075","0,382","0,484","0,350","0,064","0,258","0,267","0,275","0,100","0,245","0,248","0,209","0,080","0,204","0,208","0,154","0,070","0,179","0,145","0,121","0,035","0,131","0,142","0,070","-0,015","0,114","0,105","0,019","0,077","0,089"
Wartosc ksiegowa na akcje (zl),"7,976","8,002","7,093","7,527","7,189","7,206","6,743","7,235","6,389","6,424","5,983","6,396","5,635","5,759","5,312","5,867","4,006","4,096","0,000","4,799","3,352","3,430","0,000","3,608","2,729","2,815","0,000","2,991","2,163","2,282","2,211","2,431","1,827","1,918","1,787","1,934","1,558","1,601","1,508","1,656","1,376","1,364","0,000","1,431","1,137","0,000","1,305"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
