index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),83271,92419,64861,84259,54182,68988,75618,53815,38115,30312,34769,45316,36578,28828,36310,33966,29752,28406,29036,33334,33449,26891,25805,31028,35404,24541,28412,27509,25835,22807,22547,24498
Zysk (strata) z dzialal. oper. (tys. zl),2775,3214,1240,3659,1548,3630,1529,2118,1429,452,1210,3525,2769,1915,2394,1132,2764,2017,2337,3265,3032,2280,1665,2729,3030,772,2385,2456,2633,1425,821,2153
Zysk (strata) brutto (tys. zl),2763,3183,1288,3617,2047,3503,1642,2087,1447,426,1237,3521,2902,1930,2465,1084,2842,2041,2407,3309,3088,2288,1718,2780,2991,771,2352,2438,2756,1499,946,2151
Zysk (strata) netto (tys. zl),2196,2455,1034,2864,1475,2622,1604,1608,1318,450,987,2822,2092,1237,1689,929,2102,1485,1834,2328,2385,1791,1278,2030,2281,613,1815,1889,0,1172,810,1762
Amortyzacja (tys. zl),571,550,498,547,259,473,484,488,375,473,534,539,247,273,273,343,218,188,205,169,88,193,205,209,153,135,137,132,94,89,91,80
EBITDA (tys. zl),3346,3764,1738,4206,1807,4103,2013,2606,1804,925,1744,4064,3016,2188,2667,1475,2982,2205,2542,3434,3120,2473,1870,2938,3183,907,2522,2588,2727,1514,912,2233
Aktywa (tys. zl),86585,81655,83660,83582,80723,84479,76903,69964,75983,67940,71283,81421,70643,69438,70370,66668,65834,72662,69997,72451,54788,60006,54224,0,50982,46364,45981,0,42001,41276,37376,0
Kapital wlasny (tys. zl),44298,46753,42539,45403,40016,42638,40494,42102,38360,38809,39796,42619,39248,40420,36113,37042,37132,38616,34828,37156,35179,36970,33000,0,33036,33652,30920,0,32406,32472,28956,0
Liczba akcji (tys. szt.),"3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3748,255","3906,250","3906,250","3748,255","3748,255","3906,250","3906,250","3906,250","3906,250"
Zysk na akcje (zl),"0,586","0,655","0,276","0,764","0,394","0,700","0,428","0,429","0,352","0,120","0,263","0,753","0,558","0,330","0,451","0,248","0,561","0,396","0,489","0,621","0,636","0,478","0,341","0,542","0,584","0,157","0,484","0,504","0,000","0,300","0,207","0,451"
Wartosc ksiegowa na akcje (zl),"11,818","12,473","11,349","12,113","10,676","11,375","10,803","11,232","10,234","10,354","10,617","11,370","10,471","10,784","9,635","9,882","9,906","10,302","9,292","9,913","9,385","9,863","8,804","0,000","8,457","8,615","8,249","0,000","8,296","8,313","7,413","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
