index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2011,IV Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),12,8,10,76,2323,0,0,0,2268,154,354,2978,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-490,-300,-279,-221,124,-206,-190,-284,588,-1071,-1418,2352,0,0
Zysk (strata) brutto (tys. zl),-132,68,-20205,-301,-44151,-198,-364,-298,4332,18721,-5478,-11726,0,0
Zysk (strata) netto (tys. zl),-194,-7,-20158,-259,-42171,-194,-318,-421,1969,14963,-4693,-9033,0,0
Amortyzacja (tys. zl),15,21,14,14,0,0,8,5,0,2,2,0,0,0
EBITDA (tys. zl),-475,-279,-265,-207,124,-206,-182,-279,588,-1069,-1416,2352,0,0
Aktywa (tys. zl),24891,24960,4704,4841,21743,22731,23049,23849,96594,115409,110029,101302,52786,54470
Kapital wlasny (tys. zl),24437,24430,4274,4015,21655,22571,23008,23634,65123,80101,73679,64199,18878,27003
Liczba akcji (tys. szt.),"13815,294","13815,294","13815,294","13818,294","13000,000","13000,000","13000,000","13000,000","13000,000","13000,000","13000,000","13000,000","13000,000","13000,000"
Zysk na akcje (zl),"-0,014","-0,001","-1,459","-0,019","-3,244","-0,015","-0,024","-0,032","0,151","1,151","-0,361","-0,695","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,769","1,768","0,309","0,291","1,666","1,736","1,770","1,818","5,009","6,162","5,668","4,938","1,452","2,077"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N
