index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,IV Q 2012,II Q 2013,IV Q 2013,II Q 2014,IV Q 2009,IV Q 2010,IV Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) netto (tys. zl),0,0,0,0,0,0,0,0,0,0,0
Amortyzacja (tys. zl),0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. zl),0,0,0,0,0,0,0,0,0,0,0
Aktywa (tys. zl),514334,510273,450623,516986,776463,740372,785344,797132,469516,539751,674274
Kapital wlasny (tys. zl),377579,395203,358053,421536,567534,543177,568917,585708,383813,408016,521454
Liczba akcji (tys. szt.),"161510,911","161510,911","161510,911","161510,911","161510,911","161510,911","161510,911","161510,911","161510,911","161510,911","161510,911"
Zysk na akcje (zl),"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"2,338","2,447","2,217","2,610","3,514","3,363","3,522","3,626","2,376","2,526","3,229"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N
