index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001, Q 0000,IV Q 1998,IV Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),51399,46911,45629,38762,54368,70694,76160,58363,52428,56203,44249,51850,48023,40079,47288,45413,57181,55747,57141,48635,44567,40487,42365,50112,37125,33745,35399,37441,24636,43820,39690,34731,23734,21310,21412,22999,19892,24632,19768,23908,24125,24693,22000,21715,17790,21158,19960,21508,18409,18298,19527,19795,16865,15638,14089,16743,19807,20708,15590,13289,0,15659,13505,20423,17790,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-1316,2872,2942,3471,4207,6872,5304,5407,5333,8494,-158,6306,1018,2242,5736,1903,2803,7838,6476,3897,-496,6188,4182,4555,5511,755,4063,1276,-413,3802,-429,1040,-641,2126,1623,3817,707,4206,1719,3085,1938,375,1069,2999,2101,125,363,494,299,970,2137,978,213,976,1091,478,881,1926,1237,754,0,1647,58,2213,2101,0,0
Zysk (strata) brutto (tys. zl),-3109,1596,2741,2306,1277,4838,5139,4302,3017,5660,993,5319,706,1687,5628,889,2362,5958,6470,3306,-1113,5426,4008,5033,4779,215,3896,41,1249,3799,-2165,182,-1079,1838,135,3471,73,3769,322,9359,551,-127,826,2265,-117,689,479,334,-620,779,834,214,210,561,904,83,-115,1486,765,-804,0,1256,-892,1081,-117,0,0
Zysk (strata) netto (tys. zl),-3085,915,1928,1416,-162,3399,3831,3841,2176,3580,967,3861,633,1525,4550,1124,1987,4598,4804,2337,-1072,3899,2517,3103,3091,443,2807,7,234,2948,-1390,-31,-1280,698,-40,2850,-558,2839,894,9328,872,-254,604,1726,-148,466,210,-79,-582,662,770,108,153,440,921,152,-193,1538,732,-911,0,1256,-937,1040,-148,0,0
Amortyzacja (tys. zl),3138,3062,2973,2457,2723,2676,2921,2780,2283,2917,2910,2839,2376,2352,2491,2201,2795,2075,2187,3136,1888,1541,1429,1829,3606,1926,1867,1995,2876,1998,1888,1842,1524,1166,1087,1167,780,898,1003,898,805,906,823,823,1026,612,776,634,582,556,566,845,885,671,784,594,832,883,793,579,0,738,768,749,9071,0,0
EBITDA (tys. zl),1822,5934,5915,5928,6930,9548,8225,8187,7616,11411,2752,9145,3394,4594,8227,4104,5598,9913,8663,7033,1392,7729,5611,6384,9117,2681,5930,3271,2463,5800,1459,2882,883,3292,2710,4984,1487,5104,2722,3983,2743,1281,1892,3822,3127,737,1139,1128,881,1526,2703,1823,1098,1647,1875,1072,1713,2809,2030,1333,0,2385,826,2962,11172,0,0
Aktywa (tys. zl),286202,274205,268510,264148,259125,276142,292980,285054,239627,237061,241941,260069,218656,226616,238006,231311,215421,217763,225901,225928,192923,196294,200564,0,175764,175662,187025,0,182061,183074,171058,0,119610,114318,114464,119776,85556,89611,92172,121492,83539,89266,84247,85559,85533,86234,84947,83964,73838,75457,81789,85495,62724,66758,73006,73841,67262,69577,67446,66205,58357,60224,59266,65405,90762,71598,54615
Kapital wlasny (tys. zl),108807,109304,109761,110907,102350,106129,107696,111758,96077,98715,96197,101765,89396,94108,95198,94958,80748,83359,87726,88815,67144,70712,71937,0,66704,66725,69553,0,63162,66761,65169,0,57816,55696,54540,61844,46190,48421,50635,59298,44288,44037,44489,46215,46051,46065,45789,43350,40402,41071,45599,45707,39233,39877,40838,40990,37470,39678,40405,38306,36494,38529,37266,37506,42611,42195,34747
Liczba akcji (tys. szt.),"3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249","3107,249"
Zysk na akcje (zl),"-0,993","0,294","0,620","0,456","-0,052","1,094","1,233","1,236","0,700","1,152","0,311","1,243","0,204","0,491","1,464","0,362","0,639","1,480","1,546","0,752","-0,345","1,255","0,810","0,999","0,995","0,143","0,903","0,002","0,075","0,949","-0,447","-0,010","-0,412","0,225","-0,013","0,917","-0,180","0,914","0,288","3,002","0,281","-0,082","0,194","0,555","-0,048","0,150","0,068","-0,025","-0,187","0,213","0,248","0,035","0,049","0,142","0,296","0,049","-0,062","0,495","0,236","-0,293","0,000","0,404","-0,302","0,335","-0,048","0,000","0,000"
