index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,I Q 2014,IV Q 2014,II Q 2015,III Q 2015,IV Q 2012,I Q 2013,III Q 2013,IV Q 2013,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),14902,11202,13189,9522,14041,0,0,54346,12732,12897,0,15901,0
Zysk (strata) z dzialal. oper. (tys. zl),-467,525,-7,-2444,1857,0,0,5761,671,2081,0,2783,0
Zysk (strata) brutto (tys. zl),-540,489,125,-2567,1863,0,0,5527,450,1890,0,2413,0
Zysk (strata) netto (tys. zl),-304,326,382,-2311,1810,0,0,5005,191,1768,0,2162,0
Amortyzacja (tys. zl),2092,2451,2376,2336,863,0,0,2020,689,693,0,755,0
EBITDA (tys. zl),1625,2976,2369,-108,2720,0,0,7781,1360,2774,0,3538,0
Aktywa (tys. zl),173090,165848,164280,163508,140411,144222,173606,192979,87740,95811,123688,129311,67485
Kapital wlasny (tys. zl),103492,103818,104199,101888,91440,96578,98759,103762,60487,62255,87468,89630,39285
Liczba akcji (tys. szt.),"9537,916","9537,916","9537,916","9537,916","9537,916","9537,916","9537,916","9537,916","7337,916","7337,916","9537,916","9537,916","7337,916"
Zysk na akcje (zl),"-0,032","0,034","0,040","-0,242","0,190","0,000","0,000","0,525","0,026","0,241","0,000","0,227","0,000"
Wartosc ksiegowa na akcje (zl),"10,851","10,885","10,925","10,682","9,587","10,126","10,354","10,879","8,243","8,484","9,171","9,397","5,354"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N
